nummer;gebied;onderwerp;aangemaakt;gewijzigd;buurt;geo_shape;locatie_ter_hoogte_van;wijkcode;stadsdeelcode_;wijknaam;stadsdeelnaam;geo_point_2d
990533935;2-Stratum;6.1 Illegale stort;2018-11-24T13:20:00+00:00;2018-11-30T11:58:00+00:00;BU07721211;"{""coordinates"": [5.491000884722323, 51.43594068112848], ""type"": ""Point""}";Stuiverstraat 38;21;2;Wijk Oud-Stratum;Stadsdeel Stratum;51.43594068112848, 5.491000884722323
990534435;2-Stratum;6.1 Illegale stort;2018-11-27T19:33:00+00:00;2018-11-30T11:58:00+00:00;BU07721211;"{""coordinates"": [5.486638862928387, 51.43687668099946], ""type"": ""Point""}";Havenstraat 1;21;2;Wijk Oud-Stratum;Stadsdeel Stratum;51.43687668099946, 5.486638862928387
990534020;2-Stratum;6.1 Illegale stort;2018-11-25T13:08:00+00:00;2018-11-30T11:58:00+00:00;BU07721211;"{""coordinates"": [5.492940898369131, 51.43487968141736], ""type"": ""Point""}";Lucas Gasselstraat 31;21;2;Wijk Oud-Stratum;Stadsdeel Stratum;51.43487968141736, 5.492940898369131
990534007;2-Stratum;6.1 Illegale stort;2018-11-25T11:46:00+00:00;2018-11-30T11:58:00+00:00;BU07721236;"{""coordinates"": [5.4953989679378115, 51.42141869212674], ""type"": ""Point""}";Heideveldstraat 6;23;2;Wijk Putten;Stadsdeel Stratum;51.42141869212674, 5.4953989679378115
990534037;2-Stratum;6.1 Illegale stort;2018-11-25T14:17:00+00:00;2018-11-30T11:58:00+00:00;BU07721225;"{""coordinates"": [5.4867703296816215, 51.40620364285977], ""type"": ""Point""}";van der Beken Pasteelweg 2;22;2;Wijk Kortonjo;Stadsdeel Stratum;51.40620364285977, 5.4867703296816215
990533996;6-Strijp;9.3 Zwerfvuil;2018-11-25T10:52:00+00:00;2018-11-30T12:31:00+00:00;BU07721627;"{""coordinates"": [5.436285726230628, 51.464421987812905], ""type"": ""Point""}";Achtseweg Zuid;62;6;Wijk Halve Maan;Stadsdeel Strijp;51.464421987812905, 5.436285726230628
990534845;3-Tongelre;1.2 Oud papier;2018-11-30T12:25:00+00:00;2018-11-30T12:46:00+00:00;BU07721312;"{""coordinates"": [5.504501928912163, 51.43734967568681], ""type"": ""Point""}";Jeroen Boschlaan 196;31;3;Wijk De Laak;Stadsdeel Tongelre;51.43734967568681, 5.504501928912163
990534846;3-Tongelre;1.2 Oud papier;2018-11-30T12:27:00+00:00;2018-11-30T12:46:00+00:00;BU07721312;"{""coordinates"": [5.50456292857453, 51.437424675952116], ""type"": ""Point""}";Jeroen Boschlaan 184;31;3;Wijk De Laak;Stadsdeel Tongelre;51.437424675952116, 5.50456292857453
990534420;1-Centrum;13.1 Straatverlichting;2018-11-27T17:56:00+00:00;2018-11-30T13:00:00+00:00;BU07721111;"{""coordinates"": [5.480603713917031, 51.44142277746035], ""type"": ""Point""}";Stationsplein 62 / Enexis 5211590;11;1;Wijk Centrum;Stadsdeel Centrum;51.44142277746035, 5.480603713917031
990535512;1-Centrum;1.3 Ondergrondse afvalcontainer;2018-12-04T12:40:00+00:00;2018-12-04T16:11:00+00:00;BU07721212;"{""coordinates"": [5.485803206081405, 51.43297749557854], ""type"": ""Point""}";Hertogstraat 28;21;2;Wijk Oud-Stratum;Stadsdeel Stratum;51.43297749557854, 5.485803206081405
990534784;4-Woensel-Zuid;2.1 Bomen;2018-11-29T23:10:00+00:00;2018-12-04T16:13:00+00:00;BU07721422;"{""coordinates"": [5.47034218251815, 51.456112363503436], ""type"": ""Point""}";De Greide 3;42;4;Wijk Erp;Stadsdeel Woensel-Zuid;51.456112363503436, 5.47034218251815
990535518;4-Woensel-Zuid;9.5 Bladafval;2018-12-04T12:55:00+00:00;2018-12-04T16:23:00+00:00;BU07721421;"{""coordinates"": [5.455248852262937, 51.452900873896546], ""type"": ""Point""}";Groenewoudseweg 199;42;4;Wijk Erp;Stadsdeel Woensel-Zuid;51.452900873896546, 5.455248852262937
990535127;4-Woensel-Zuid;14.2 Tegels en klinkers;2018-12-02T15:33:00+00:00;2018-12-04T16:24:00+00:00;BU07721435;"{""coordinates"": [5.49249974369602, 51.46093565072278], ""type"": ""Point""}";Leanderlaan 1;43;4;Wijk Begijnenbroek;Stadsdeel Woensel-Zuid;51.46093565072278, 5.49249974369602
990535053;4-Woensel-Zuid;12.1 Verkeersbord;2018-12-02T00:05:00+00:00;2018-12-04T16:30:00+00:00;BU07721436;"{""coordinates"": [5.50609946443734, 51.4676575385521], ""type"": ""Point""}";Sterrenlaan;43;4;Wijk Begijnenbroek;Stadsdeel Woensel-Zuid;51.4676575385521, 5.50609946443734
990534935;4-Woensel-Zuid;2.1 Bomen;2018-11-30T18:40:00+00:00;2018-12-04T16:48:00+00:00;BU07721421;"{""coordinates"": [5.458386543234443, 51.455743868618235], ""type"": ""Point""}";Minckelersstraat 17;42;4;Wijk Erp;Stadsdeel Woensel-Zuid;51.455743868618235, 5.458386543234443
990535555;10-Woensel-Noord 2;6.1 Illegale stort;2018-12-04T15:50:00+00:00;2018-12-04T17:00:00+00:00;BU07721546;"{""coordinates"": [5.506023163894098, 51.492769815631505], ""type"": ""Point""}";Bokt 8;54;5;Wijk Dommelbeemd;Stadsdeel Woensel-Noord;51.492769815631505, 5.506023163894098
