FID,cte,datum,dtm,layer,omschr,thema,themb,se_anno_cad_data
dtb2000_2000_2007_lijn.1,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.2,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.3,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.4,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.5,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.6,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.7,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.8,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.9,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.10,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.11,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.12,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.13,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.14,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.15,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.16,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.17,B0553,1999-12-23T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.18,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.19,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.20,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.21,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.22,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.23,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.24,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.25,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.26,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.27,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.28,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.29,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.30,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.31,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.32,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
dtb2000_2000_2007_lijn.33,B0553,2000-05-05T00:00:00,N,1,dakrand geb/kunstw/instal, , ,
