GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,NAAM,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,PUIC,RELATIEVEHOOGTELIGGING,STATUS,TIJDSTIP_REGISTRATIE,WEGNAAM,ID,Shape__Area,Shape__Length
,,,,,,,,,,,103114.988,427089.003396,51.8299861308932,4.63449757183448,Waterschap Hollandse Delta,W0655,bestaand,,12.524004,283,8bf839168f124b95a68d2f85a27ec1cf,1,gerealiseerd,2015/05/08 11:04:05+00,,6063047,0,0
,,,,,,,,,,,104760.594761,428031.5145,51.838607838274,4.65823175631554,Hendrik-Ido-Ambacht,G0531,bestaand,,51.041103,283,5e7da2a566884949883421faf74d7b98,1,gerealiseerd,2015/05/04 13:29:45+00,,6063048,0,0
463,,463,463__,Stadskanaal Hoofdstation - Musselkanaal=Valthermond,Skn-Mkv,Stadskanaal Hoofdstation - Musselkanaal-Valthermond ,9.63584,"9,635840",Noord-Oost,NO,264520.386,549879.090017,52.9248648234655,7.01584251401071,Stadskanaal,G0037,bestaand,,56.281083,283,e1ad22e4ad514798a6f02eae230617c4,1,gerealiseerd,2020/10/29 13:27:52+00,,6063597,0,0
128,,128,128__,Diemen Aansl. - Weesp Aansl.,Asd-Zp,Amsterdam Centraal - Zutphen ,13.472282,"13,472282",Randstad Noord,RN,131881.705663,480266.972,52.3098790174718,5.04820948815795,Prorail,L0004,bestaand,,3.917471,283,741eb5119d984cd7bfe2c5ca7fcd5c3b,1,gerealiseerd,2015/05/19 14:17:06+00,,6064293,0,0
520,a,520,520_a,Maastricht,Mt-Vl,Maastricht - Venlo ,0.248144,"0,248144",Zuid,Z,177474.1,317837.752358,50.8499345676926,5.70631277057467,Prorail,L0004,bestaand,,10.196095,283,5b16df3ae5dc48c794d7fdd30d44876a,0,,2021/10/14 06:53:27+00,,6064563,0,0
055,,55,055__,Blerick - Eindhoven,Vl-Ehv,Venlo - Eindhoven ,47.401592,"47,401592",Zuid,Z,165539.943255,384495.4575,51.4494468631206,5.53882489118556,Prorail,L0004,bestaand,,15.74655,283,38311addadb7407f81258ab4b2f3b5e6,1,gerealiseerd,2015/04/30 08:58:57+00,,6064628,0,0
079,,79,079__,Zaandam - Hoorn,Zd-Ekz,Zaandam - Enkhuizen ,1.734651,"1,734651",Randstad Noord,RN,115935.992782,496502.72,52.4548914536305,4.81251079421021,Prorail,L0004,bestaand,,9.77128,283,e4af0643f5c64a96951b92cb0b779e1e,1,gerealiseerd,2021/01/21 13:25:07+00,,6064993,0,0
,,,,,,,,,,,75311.4425,435452.072825,51.9018644543285,4.22927960218153,Rotterdam,G0599,bestaand,,6.40439,283,16fd017009f4acac9e050210a7e24119,1,gerealiseerd,2015/01/20 11:28:54+00,,6065135,0,0
017,,17,017__,Amersfoort Aansl. - Hattemerbroek,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,37.226884,"37,226884",Noord-Oost,NO,166155.867,473300.671184,52.2476400678433,5.55055852727821,Prorail,L0004,bestaand,,1.019916,283,8620e54cfda74f13838a8ed04c456d0e,1,,2022/07/28 08:14:11+00,,6065282,0,0
,,,,,,,,,,,104348.708068,448177.0325,52.0196311386292,4.64928820521059,Zuidplas,G1892,bestaand,,30.749357,283,1754d94f681e43e1a612bb9d90cdb2f8,1,gerealiseerd,2015/03/27 15:14:28+00,,6065347,0,0
201,,201,201__,Sauwerd - Delfzijl,Gn-Dz,Groningen - Delfzijl ,30.244674,"30,244674",Noord-Oost,NO,249900.514,594648.371,53.3298181789852,6.81166132086275,Prorail,L0004,bestaand,,3.478206,283,a12471286f324b8fb3b6b380f4e8b05f,2,gerealiseerd,2021/08/11 07:01:09+00,,6065397,0,0
,,,,,,,,,,,79230.606221,387675.374,51.4730352616328,4.29661663701416,Prorail,L0004,bestaand,,6.791553,283,c60e7caf7e3b4460a95c9bb438c4b505,1,gerealiseerd,2020/08/20 07:49:14+00,,6065552,0,0
127,a,127,127_a,Roosendaal - Vlissingen,Rsd-Vs,Roosendaal - Vlissingen ,50.648475,"50,648475",Zuid,Z,49597.846,391006.880655,51.498209374666,3.86922234139239,Prorail,L0004,bestaand,,1.081615,283,465756e493ec44a7af5fc72e1f1a759a,1,gerealiseerd,2015/07/09 09:03:45+00,,6065564,0,0
,,,,,,,,,,,235416.5475,496852.649383,52.4535228195631,6.57025185435228,Twenterand,G1700,bestaand,,23.486762,283,78e568e8174648818de435f87e9fa886,1,gerealiseerd,2022/01/26 09:40:49+00,,6065566,0,0
,,,,,,,,,,,235426.402031,497166.9965,52.4563460479496,6.57047237453159,Twenterand,G1700,bestaand,,4.099358,283,d0f94c49fc3e42c49668407b08c370cf,1,gerealiseerd,2015/09/22 09:33:46+00,,6065569,0,0
,,,,,,,,,,,133906.573421,517874.5695,52.6479491491602,5.07552782263132,,G0405,bestaand,,2.599304,283,d972c7fa31e64f7aa6c89c169a32c05f,1,gerealiseerd,2015/05/07 12:59:00+00,,6065634,0,0
,,,,,,,,,,,108038.468301,424013.844,51.8027832945007,4.70633584250449,Dordrecht,G0505,bestaand,,53.993675,283,047fc0f923ebc003e0532b00500a66e1,1,gerealiseerd,2015/11/05 14:50:46+00,,6065747,0,0
,,,,,,,,,,,108595.801,423910.293,51.8018991973484,4.71442961602509,Dordrecht,G0505,bestaand,,16.721738,283,047fc0f922bdc003e0532b00500a66e1,1,gerealiseerd,2015/11/05 14:50:46+00,,6065921,0,0
,,,,,,,,,,,108016.482,424018.64066,51.8028245562345,4.70601644695286,Dordrecht,G0505,bestaand,,6.651096,283,047fc0f923ecc003e0532b00500a66e1,1,gerealiseerd,2015/11/05 14:50:46+00,,6065995,0,0
