Stembureau_naam;Stembureau_nummer;Stembureau_adres;Stembureau_plaats;VVD;PvdA;PVV;CDA;SP;D66;GL;CU;SGP;PvdD;PIRAT;MenS;N Lok;LIBER;DPK;50+;LIBDP;AEP;SOPN;PvdT;Geldig;Blanco;Ongeldig;Oproep
1 Stadhuis;1;ingang Voorstraat 367;Dordrecht;238;216;55;33;94;121;36;28;15;33;10;0;0;0;0;14;0;0;1;2;896;2;4;1436
2 Stadskantoor;2;Spuiboulevard 300;Dordrecht;317;339;135;73;146;187;74;41;45;41;13;2;0;6;1;15;1;0;5;0;1441;6;6;1353
3 Het Praathuis;3;Mariënbornstraat 3a;Dordrecht;76;161;57;14;83;58;15;21;4;18;3;0;0;1;0;1;0;0;0;1;513;0;3;1135
4 Centrum Stapal;4;Otto Dickeplein 1;Dordrecht;202;261;95;47;89;71;23;21;3;29;2;3;0;1;0;33;1;0;1;1;883;3;5;1243
5 Schoolgebouw;5;Vest 92;Dordrecht;126;270;54;23;102;61;38;19;10;35;5;3;0;1;0;12;0;1;1;1;762;3;5;1284
6 Wielborgh, het Stadswiel;6;Beverwijckstraat 49;Dordrecht;245;201;73;39;65;87;39;31;15;31;2;1;0;0;0;12;0;1;2;1;845;0;1;1397
7 Schoolgebouw;7;Blekersdijk 94;Dordrecht;174;221;56;47;82;101;45;35;19;34;4;1;0;0;0;6;0;1;0;2;828;1;1;1284
8 Kunstkerk;8;Museumstraat 65;Dordrecht;145;242;51;36;98;92;38;12;7;25;1;0;0;0;0;12;0;0;1;0;760;0;2;1358
9 Regiokantoor;9;Noordendijk 250;Dordrecht;153;342;59;35;97;56;22;14;1;19;1;1;0;2;1;10;0;0;0;1;814;0;3;1355
10 Inter Amicos;10;Christiaan de Wetstraat 2a;Dordrecht;125;176;95;35;101;62;28;39;25;28;5;4;0;1;0;7;0;0;0;1;732;4;1;1263
11 Stadhuis (extra);11;ingang Voorstraat 367;Dordrecht;203;161;47;19;102;103;34;21;9;22;3;1;0;1;0;6;1;0;1;1;735;6;4;0
15 Buurthuis de Driesprong;15;Bankastraat 10;Dordrecht;193;269;93;45;126;86;40;56;21;25;6;3;0;0;2;21;1;0;2;0;989;2;3;1187
17 Lokalencomplex;17;Aalscholverstraat 2;Dordrecht;40;140;54;20;52;24;13;28;12;2;3;1;0;0;0;11;0;0;1;0;401;1;1;878
18 Zorgcentrum De Linde;18;Bankastraat 158;Dordrecht;226;289;99;60;100;99;44;64;47;32;1;1;0;0;1;19;0;0;3;3;1088;4;1;1245
19 Kerkgebouw Pinkstergemeente;19;Noordendijk 262;Dordrecht;241;182;85;48;68;57;12;28;19;21;7;3;0;0;1;13;0;0;0;0;785;1;0;1324
