Leverancier;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
&Samhoud Nederland B.V.;;;;;2;;;;2
2 Facilitate 4 Best Results;;;;;1;;;;1
2KNOWHOW, art of change B.V.;;;;;2;;;;2
2U GetSmarter (UK) LTD;;;;;1;;;;1
3DMens;;;;;1;;;;1
401 Reinventure B.V.;;;1;;;;;;1
5hart-IT Opleidingen B.V.;;;;;4;;;;4
A. van Helden Relatiegeschenken B.V.;;;1;;;;;;1
A.V. Webwinkels;;;1;;;;;;1
A5tien B.V.;;;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;;;1;1
Aardbeienkwekerij Richard en Annet Kalter;;;1;;;;;;1
ABGL B.V.;5;;;;;;;;5
Absoluta B.V.;;;1;;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;;1
Academie voor Vastgoed B.V.;;;;;1;;;;1
Academy for Leadership B.V.;;;;;1;;;;1
Academy of European Law;;;;;1;;;;1
Academy Payroll Professionals;;;;;1;;;;1
Acquire Publishing B.V.;;;;;;;;1;1
Acte de Présence;;;;;1;;;;1
A'DAM Six Senses B.V.;;;1;;;;;;1
Adviesbureau De Overstap B.V.;;1;;;;;;;1
Adviesbureau Elburg;;1;;;2;;;;2
Adviesbureau Kleywegt B.V.;;;;;1;;;;1
Adviesgr.v. Organisatie Psychologie (AVOP) BV;;;;;1;;;;1
Aeilkema Organisatie Coach;;;;;1;;;;1
AEVES B.V.;;;;;2;;;;2
Agile Scrum Group B.V.;;;;;1;;;;1
Agnita Twigt B.V.;;;;;1;;;;1
AKD;;;;;1;;;;1
Albron Nederland B.V.;1;;2;;;;;;2
alles anderZ;;;;;1;;;;1
Alliance for Regenerative Medicine;;;;;;;;1;1
Alliance FranÃ§aise d'Amsterdam;;;;;1;;;;1
Alliance Francaise Utrecht Cursuscentrum;;;;;1;;;;1
Almeida Dohrn Consultoria Ltda;;;;;;;;1;1
altershape;;;;;;;;1;1
Amaze Escape Events;;;1;;;;;;1
Amberwin;;;;;1;;;;1
AMC NEGRO;;;1;;;;;;1
Amplooi;;1;;1;;;;;2
Amsterdam Center for Integrity and Leadership;;;;;1;;;;1
aNewSpring;;;;;1;;;;1
Angie's Kitchen Beers & Bites;1;;;;;;;;1
Antropia B.V.;;;;;;;;1;1
AOG Contractonderwijs B.V.;;;;;1;;;;1
Aon Nederland C.V.;;;;;;;;1;1
APCOA Parking Nederland B.V.;;;;;;;;1;1
Arab. Translation Service;;;;;1;;;;1
Arconis IT Consulting;;;;;2;;;;2
Ardis Opleidingen B.V.;;;;;3;;;;3
Ardis Organisatieontwikkeling B.V.;;;;;2;;;;2
Argos Coaching;;;;;1;;;;1
Argus Media Limited;;;;;;;;1;1
Arising;;;;;1;;;;1
Array Media B.V.;;;;;1;;;;1
Art and the City;;;;;1;;;;1
Arteos;;;;;1;;;;1
Artiestenbureau van Otterloo B.V.;;;1;;;;;;1
Artigrafie;;;;;;;;1;1
Artpub B.V.;;;1;;;;;;1
Arvalis;;;;;;;;1;1
Asgard Hotel B.V.;;;1;;;;;;1
Association d'EUREKA;;;;;;;;1;1
Atelier Mariaheim;;;2;;;;;;2
Athene Palace B.V.;;;1;;;;;;1
Atos Nederland B.V.;4;;;;;;;;4
AT-SIGN automatisering;;;;;1;;;;1
August;;;1;;;;;;1
Aureus;;;;1;;;;;1
Authent Ltd;;;;;1;;;;1
Automotive Publishing B.V.;;;;;1;;;;1
Avance PMC B.V.;;;;;1;;;;1
AVK Training & Coaching;;;;;1;;;;1
AWL-Techniek B.V.;;;1;;;;;;1
Axis into Management B.V.;;;;;1;;;;1
B. van Dekken Beheer B.V.;;;;;1;;;;1
B.S.E.;;;1;;;;;;1
B.V. Het Refter;;;1;;;;;;1
B+B Vakmedianet B.V.;;;;;1;;;;1
B2Bakery B.V.;;;1;;;;;;1
baatkracht;;1;;;;;;;1
Babbage Company B.V.;4;;;;;;;;4
Babycompany.nl;;;1;;;;;;1
Bacco Perbacco;;;1;;;;;;1
Bakkerij & Bakkerscafé Royal;;;1;;;;;;1
Bakkerij Beukeveld B.V.;;;1;;;;;;1
Bakkerij Hamersma;;;1;;;;;;1
Bakkerij Nollen;;;1;;;;;;1
Balans & Impuls B.V.;;1;;;;;;;1
Ballonboog Delft;;;1;;;;;;1
Bambook V.O.F.;;;1;;;;;;1
Banketbakkerij Boheemen;;;1;;;;;;1
Banketbakkerij Borgman;;;1;;;;;;1
Banketkoerier.nl B.V.;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;1;;;;;;1
Barbarossa Beach B.V.;;;1;;;;;;1
BarsOnSight;;;1;;;;;;1
Bartine;1;;;;;;;;1
baukejonkmans.nl;;;;;1;;;;1
Bax Bier Brouwerij B.V.;;;1;;;;;;1
BBKWmediation;;;;;1;;;;1
BCL Instituut B.V.;;;;;1;;;;1
BDO Audit & Assurance B.V.;4;;;;;;;;4
Beach Club WOW B.V.;;;1;;;;;;1
Beachclub Indigo B.V.;;;1;;;;;;1
Beachclub Titus B.V.;;;1;;;;;;1
Bedrijfsuitjes Groningen;;;1;;;;;;1
Behavior Change Group B.V.;;;;;2;;;;2
"Beheerstichting ""de Kargadoor""";;;;;;;;1;1
Beijk Catering Service B.V.;;;1;;;;;;1
Belevenissen.nl;;;1;;;;;;1
Beleving aan zee;;;1;;;;;;1
Berenschot B.V.;;;;;1;;;;1
Berenschot Groep B.V.;3;;;;2;;;;3
Berghauser Pont Academy B.V.;;;;;1;;;;1
Beroepsvereniging Vide;;;;;1;;1;;1
Bert Hellinger Instituut Nederland;;;1;;1;;;;1
Bestman B.V.;;;;2;;;;;2
Bestuursacademie;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;2;;;;2
Between Staffing Nederland B.V.;3;;;;;;;;3
BHV-SPECIALIST.NL;;1;;;;;;;1
Bierbewustzijn.nl;;;1;;;;;;1
Bijzondere Locaties Groningen B.V.;;;;;;;;1;1
Billink B.V.;;1;;;;;;;1
Bing Ie;;;1;;1;;;1;2
Binnenlands Bestuur B.V.;;;;;;;;1;1
BinQ;;;1;;;;;;1
BirdView Expertises B.V.;;1;;;;;;;1
BitesWeLove B.V.;;;1;;;;;;1
Bloemsierkunst Wim Huis;;;1;;;;;;1
BlommaBerg;;;;;2;;;;2
Blommestein Groep B.V.;;;1;;;;;;1
Blue Pelican Sustainability Services;;;;;1;;;1;1
Bluebird Holding B.V.;;;;;1;;;;1
Blueriq B.V.;;;;;1;;;;1
BlueTerra Energy Experts;;;;;;;1;;1
BMC Implementatie B.V.;3;;;;;;;;3
Body Language Academy;;;;;1;;;;1
BOEL;;;1;;;;;;1
Boerderijwinkel De Balloohoeve;;;1;;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;2;;;;2
Bollywood Indian Restaurant;;;1;;;;;;1
Boom uitgevers Amsterdam B.V.;;;;;1;;;;1
Borrel Experience B.V.;;;1;;;;;;1
Boterwaag Den Haag B.V.;;;1;;;;;;1
Bowling Scheveningen B.V.;;;1;;;;;;1
Box of Chocolates;;;1;;;;;;1
Brabants Lederwarenhuis s Gravenhage B.V.;;;1;;;;;;1
Brandchart;;;;;1;;;;1
Brasserie Soho B.V.;;;1;;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;;1;;;;;;1
Bravo-Preventie;;;;;1;;;;1
Breinkorf;;;;;2;;;;2
Bribenco B.V.;;;1;;;;;;1
Broekhuizen Communicatie;;;;;2;;;;2
Brouwerij Martinus;;;1;;;;;;1
Brunel Nederland B.V.;4;;1;;;;;1;4
Brussels School of Competition Foundation;;;;;1;;;;1
BSA Schaderegeling B.V.;;1;;;;;;;1
Budget Rent a Car;;;;;;;;1;1
Buitenverblijf Buiten Westen;;;1;;1;;;;1
Bundesverband BioEnergie BBE e.V.;;;;;;;;1;1
Bureau Bohré;;;;;1;;;;1
Bureau Edixhoven Training & Advies;1;;1;;;;;;1
Bureau Tromp B.V.;;;;;1;;;;1
Bureau voor Overheidscommunicatie B.V.;4;;;;;;;;4
Bureau Zuidema B.V.;;;;;2;;;;2
Bureau Zuidema Learning Solutions B.V.;;;;;2;;;;2
Bureautaal B.V.;;;;;1;;;;1
Burger Coaching & Advies;;;;;1;;;;1
Burgundy Street B.V.;;;1;;;;;;1
Buro Bis;;;1;;;;;;1
Buro BRAND Creative Factory B.V.;;;;;1;;;;1
Buro BRAND Visuele Communicatie B.V.;;;;;1;;;;1
Burrata Turfmarkt B.V.;1;;1;;;;;;1
Business Development Holland B.V.;;;;;;;;1;1
BVO Opleidingen B.V.;;;;;3;;;;3
C.I.V.A.S. B.V.;;;;;1;;;;1
C.R.M. van Veen B.V.;;;;;2;;;;2
Café Bolhuis;;;1;;;;;;1
Café Mano;;;1;;;;;1;1
Café Partycentrum Hutten;;;1;;;;;;1
Café-Restaurant De Plantage B.V.;;;1;;;;;;1
Café-Restaurant Leopold;;;1;;;;;;1
Café-Restaurant Pan;;;1;;;1;;;1
CAOP;;;;;1;;;;1
Capgemini Educational Services B.V.;;;;;1;;;;1
Capgemini Nederland B.V.;;;;;3;;;;3
Capo Cucina;;;1;;;;;;1
Caringe Chocoladewerken;;;1;;;;;;1
Carlton Ambassador Hotel B.V.;;;1;;;;;;1
Carrièrepartner;;;;;1;;;;1
Catering Groep Nederland B.V.;;;1;;;;;;1
Cedere B.V.;;;;;1;;;;1
Center for Sustainability & Excellence;;;;;1;;;;1
Centre de Cours Alliance Française de La Haye;;;;;1;;;;1
Centre for Economic Policy Research CEPR;;;;;1;;;;1
Centre for European Policy Studies CEPS;;;;;1;;;;1
Century Autogroep B.V.;;;;;;;;1;1
Certified Secure B.V.;;;;;1;;;;1
Cesar Moerman Communicatie;;;;;1;;;;1
