FID,bladnr,se_anno_cad_data,gdb_geomattr_data,shape
dtb_kaartbladen.1,d12hz,,,"POLYGON ((260000 550000, 250000 550000, 250000 556250, 260000 556250, 260000 550000))"
dtb_kaartbladen.2,d13cz,,,"POLYGON ((270000 550000, 260000 550000, 260000 556250, 270000 556250, 270000 550000))"
dtb_kaartbladen.3,d13dz,,,"POLYGON ((280000 550000, 270000 550000, 270000 556250, 280000 556250, 280000 550000))"
dtb_kaartbladen.4,d15en,,,"POLYGON ((170000 543750, 160000 543750, 160000 550000, 170000 550000, 170000 543750))"
dtb_kaartbladen.5,d16en,,,"POLYGON ((210000 543750, 200000 543750, 200000 550000, 210000 550000, 210000 543750))"
dtb_kaartbladen.6,d16fn,,,"POLYGON ((220000 543750, 210000 543750, 210000 550000, 220000 550000, 220000 543750))"
dtb_kaartbladen.7,d17an,,,"POLYGON ((230000 543750, 220000 543750, 220000 550000, 230000 550000, 230000 543750))"
dtb_kaartbladen.8,d17en,,,"POLYGON ((250000 543750, 240000 543750, 240000 550000, 250000 550000, 250000 543750))"
dtb_kaartbladen.9,d17fn,,,"POLYGON ((260000 543750, 250000 543750, 250000 550000, 260000 550000, 260000 543750))"
dtb_kaartbladen.10,d18an,,,"POLYGON ((270000 543750, 260000 543750, 260000 550000, 270000 550000, 270000 543750))"
dtb_kaartbladen.11,d18bn,,,"POLYGON ((272000 543750, 270000 543750, 270000 550000, 280000 550000, 280000 543750, 272000 543750))"
dtb_kaartbladen.12,d14az,,,"POLYGON ((110000 537500, 100000 537500, 100000 543750, 109000 543750, 110000 543750, 110000 537500))"
dtb_kaartbladen.13,d14ez,,,"POLYGON ((130000 537500, 120000 537500, 120000 543750, 130000 543750, 130000 537500))"
dtb_kaartbladen.14,d16az,,,"POLYGON ((190000 537500, 180000 537500, 180000 543750, 190000 543750, 190000 537500))"
dtb_kaartbladen.15,d16fz,,,"POLYGON ((220000 537500, 210000 537500, 210000 543750, 220000 543750, 220000 537500))"
dtb_kaartbladen.16,d17ez,,,"POLYGON ((250000 537500, 240000 537500, 240000 543750, 250000 543750, 250000 537500))"
dtb_kaartbladen.17,d17fz,,,"POLYGON ((260000 537500, 250000 537500, 250000 543750, 260000 543750, 260000 537500))"
dtb_kaartbladen.18,d18az,,,"POLYGON ((270000 537500, 260000 537500, 260000 543750, 270000 543750, 272000 543750, 272000 537500, 270000 537500))"
dtb_kaartbladen.19,d16dn,,,"POLYGON ((200000 531250, 190000 531250, 190000 537500, 200000 537500, 200000 531250))"
dtb_kaartbladen.20,d16hn,,,"POLYGON ((220000 531250, 210000 531250, 210000 537500, 220000 537500, 220000 531250))"
dtb_kaartbladen.21,d17dn,,,"POLYGON ((240000 531250, 230000 531250, 230000 537500, 240000 537500, 240000 531250))"
dtb_kaartbladen.22,d17gn,,,"POLYGON ((250000 531250, 240000 531250, 240000 537500, 250000 537500, 250000 531250))"
dtb_kaartbladen.23,d17hn,,,"POLYGON ((260000 531250, 250000 531250, 250000 537500, 260000 537500, 260000 531250))"
dtb_kaartbladen.24,d18cn,,,"POLYGON ((270000 531250, 260000 531250, 260000 537500, 270000 537500, 270000 531250))"
dtb_kaartbladen.25,d14dz,,,"POLYGON ((120000 525000, 110000 525000, 110000 531250, 120000 531250, 120000 525000))"
dtb_kaartbladen.26,d14gz,,,"POLYGON ((130000 525000, 120000 525000, 120000 531250, 130000 531250, 130000 525000))"
dtb_kaartbladen.27,d16cz,,,"POLYGON ((190000 525000, 180000 525000, 180000 531250, 190000 531250, 190000 525000))"
dtb_kaartbladen.28,d16gz,,,"POLYGON ((210000 525000, 200000 525000, 200000 531250, 210000 531250, 210000 525000))"
dtb_kaartbladen.29,d16hz,,,"POLYGON ((220000 525000, 210000 525000, 210000 531250, 220000 531250, 220000 525000))"
dtb_kaartbladen.30,d17cz,,,"POLYGON ((230000 525000, 220000 525000, 220000 531250, 230000 531250, 230000 525000))"
dtb_kaartbladen.31,d17dz,,,"POLYGON ((240000 525000, 230000 525000, 230000 531250, 240000 531250, 240000 525000))"
dtb_kaartbladen.32,d17gz,,,"POLYGON ((250000 525000, 240000 525000, 240000 531250, 250000 531250, 250000 525000))"
dtb_kaartbladen.33,d17hz,,,"POLYGON ((260000 525000, 250000 525000, 250000 531250, 260000 531250, 260000 525000))"
dtb_kaartbladen.34,d18cz,,,"POLYGON ((270000 525000, 260000 525000, 260000 531250, 270000 531250, 270000 525000))"
dtb_kaartbladen.35,d19an,,,"POLYGON ((110000 518750, 100000 518750, 100000 525000, 110000 525000, 110000 518750))"
dtb_kaartbladen.36,d19bn,,,"POLYGON ((120000 518750, 110000 518750, 110000 525000, 120000 525000, 120000 518750))"
dtb_kaartbladen.37,d19fn,,,"POLYGON ((140000 518750, 130000 518750, 130000 525000, 140000 525000, 140000 518750))"
dtb_kaartbladen.38,d20an,,,"POLYGON ((150000 518750, 140000 518750, 140000 525000, 150000 525000, 150000 518750))"
dtb_kaartbladen.39,d20bn,,,"POLYGON ((160000 518750, 150000 518750, 150000 525000, 160000 525000, 160000 518750))"
dtb_kaartbladen.40,d20fn,,,"POLYGON ((180000 518750, 168000 518750, 168000 525000, 180000 525000, 180000 518750))"
dtb_kaartbladen.41,d21an,,,"POLYGON ((190000 518750, 180000 518750, 180000 525000, 190000 525000, 190000 518750))"
dtb_kaartbladen.42,d21bn,,,"POLYGON ((200000 518750, 190000 518750, 190000 525000, 200000 525000, 200000 518750))"
dtb_kaartbladen.43,d21en,,,"POLYGON ((210000 518750, 200000 518750, 200000 525000, 210000 525000, 210000 518750))"
dtb_kaartbladen.44,d21fn,,,"POLYGON ((220000 518750, 210000 518750, 210000 525000, 220000 525000, 220000 518750))"
dtb_kaartbladen.45,d22an,,,"POLYGON ((230000 518750, 220000 518750, 220000 525000, 230000 525000, 230000 518750))"
dtb_kaartbladen.46,d19az,,,"POLYGON ((110000 512500, 100000 512500, 100000 518750, 110000 518750, 110000 512500))"
