IMGEO_LOKAALID;ID;IMGEO_OBJECTBEGIN;IMGEO_TYPE_PLUS;IMGEO_BRONHOUDER;IMGEO_KLASSE;X;Y;LONG;LAT;STADSDEELCODE;STADSDEELNAAM;WIJKCODE;WIJKNAAM;BUURTCODE;BUURTNAAM;STRAAT
G0518.A919C5B6-D40B-4FAE-B81A-7A6D1D2AD095;66739954;2022-08-22;bank;'s-Gravenhage (G);Straatmeubilair;78725.168;455430.776;4.27442758811297;52.08188743538012;3;Segbroek;12;Bomen- en Bloemenbuurt;52;Bomenbuurt;Beeklaan
G0518.9C568671-175D-4ABE-84C4-BE943B2F5C92;65654540;2018-09-07;bank;'s-Gravenhage (G);Straatmeubilair;80913.198;454908.6;4.306456705518296;52.077491906357174;5;Centrum;28;Centrum;11;Kortenbos;Kerkplein
G0518.9E881B37-F855-4B0E-9EE8-4346C95537B8;65654541;2018-09-07;bank;'s-Gravenhage (G);Straatmeubilair;80910.406;454909.63;4.306415760311116;52.07750078914991;5;Centrum;28;Centrum;11;Kortenbos;Kerkplein
G0518.57E49E94-AD15-46C9-B812-D6684612BA10;65654675;2018-09-07;bank;'s-Gravenhage (G);Straatmeubilair;81019.686;454911.86;4.308009134795609;52.07753544082699;5;Centrum;28;Centrum;11;Kortenbos;Kerkplein
G0518.5EAB8159-E25A-42BB-B974-77CA104DF05D;65654677;2018-09-07;bank;'s-Gravenhage (G);Straatmeubilair;80995.013;454927.489;4.307645886609944;52.07767259794742;5;Centrum;28;Centrum;11;Kortenbos;Kerkplein
G0518.AD791CDA-41F1-4E8B-8787-899633B36974;65654681;2018-09-07;bank;'s-Gravenhage (G);Straatmeubilair;81018.842;454910.698;4.307997076944557;52.07752488544336;5;Centrum;28;Centrum;11;Kortenbos;Kerkplein
G0518.EABB4051-9F02-465C-92CA-D05EF2682962;65654945;2018-10-11;bank;'s-Gravenhage (G);Straatmeubilair;81019.239;454172.966;4.308162808646811;52.0708951103935;5;Centrum;28;Centrum;14;Zuidwal;Zuidwal
G0518.939AC97E-7544-4090-8C26-3D083AA449F8;66534723;2021-02-05;bank;'s-Gravenhage (G);Straatmeubilair;76761.597;449291.993;4.247192279587764;52.02644623024843;2;Escamp;33;Bouwlust;99;De Uithof;Ter Leedepad
G0518.AD540294-F6C8-4283-9B6F-AA742E9A3529;66534724;2021-02-05;bank;'s-Gravenhage (G);Straatmeubilair;76772.071;449276.678;4.247348369123291;52.026310076603316;2;Escamp;33;Bouwlust;99;De Uithof;Ter Leedepad
G0518.E667712F-252A-4409-BD1C-96095C62377F;66544367;2021-03-18;bank;'s-Gravenhage (G);Straatmeubilair;79557.348;451562.312;4.287420955889227;52.047236593900195;2;Escamp;36;Moerwijk;37;Moerwijk-West;De Lannoystraat
G0518.2A68567D-8CCE-4AE6-A11E-D98D8E57B12B;66561006;2021-04-29;bank;'s-Gravenhage (G);Straatmeubilair;80238.088;451384.333;4.297381805282047;52.04572939306941;2;Escamp;36;Moerwijk;39;Moerwijk-Zuid;Westhovenplein
