Rijlabels;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;Eindtotaal
Alpheios B.V.;;;7;;;;;7
Ambius B.V.;;;;;;1;;1
Anticimex B.V.;;;1;;;;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;2;;;2
BCN B.V.;1;;;;;;;1
Blok;;1;;;;;1;1
Blue Molenkamp Glas & Gevel B.V.;;;3;;;;;3
BPI Services B.V.;;;;;;;1;1
BSH Huishoudapparaten B.V.;;;;;;1;;1
Buyitdirect.com B.V.;;2;;;;1;1;2
Cameraland B.V.;;1;;;;;;1
CAOP;;;1;;;;;1
Central Point Nederland B.V.;;2;;;;;1;2
Centrum Quadraat;1;;;;;;;1
Circuit Bedrijfskleding B.V.;;;;;;;1;1
Cloose;1;;;;;;;1
Comfoor B.V.;;1;;;;;;1
Compass Group Nederland B.V.;1;;;;;;;1
Conferentiehotel Landgoed Rhederoord B.V.;1;;;;;;;1
Conrad Electronic Benelux B.V.;;;;;;;1;1
Croonwolter&dros B.V.;;2;;;;;;2
CSU B.V.;;;6;;;;;6
CWS Nederland B.V.;;;4;;;;;4
DataExpert B.V.;;1;;;;;;1
De Horeca Academie Zakelijk B.V.;1;;;;;;;1
De Singel & Naber B.V.;;;;;;;1;1
De Stempelplaats B.V.;;;;;;;1;1
DeFaCo B.V.;;;1;;;;;1
Dehaco B.V.;;1;;;;;;1
Diebels Relatiegeschenken B.V.;;1;;;;;;1
Digital Revolution B.V.;;;;;;;1;1
Discountoffice.nl B.V.;;;;;;;1;1
Diversey B.V.;;;1;;;;;1
Dolmans Calamiteiten Diensten;;;4;;;;;4
Dolmans Specialistische Reiniging B.V.;;;5;;;;;5
Douwe Egberts Horeca;1;;;;;;;1
Drentea Kantoormeubelen;;1;;;;1;;1
EG West B.V.;;;1;;;;;1
Elis Nederland B.V.;;;1;;;;;1
Elzenboom Online Retail B.V.;;;;;;;1;1
Ergo2Work B.V.;;;;;;1;;1
Ergozit;;1;;;;;;1
Exodus Services;;;1;;;;;1
Expofit B.V.;;;;;;;1;1
Faas Audiovisuele Dienstverlening;;1;;;;;;1
Facilion B.V.;;;;;1;;;1
Fotografie : Paul Voorham;;;1;;;;;1
Gispen Kantoorinrichting;;1;;;;3;;3
Gom Schoonhouden;;;5;;;;;5
Groenendijk Bedrijfskleding B.V.;;1;;;;;;1
Habitat Solutions B.V.;1;;;;;;;1
Happy Spirits;1;;;;;;;1
Health2Work B.V.;;1;;;;1;1;2
Heigo Nederland B.V.;;2;;;;;;2
High Five Health Promotion B.V.;;;;;;;1;1
Holding Beheermaatschappij Ropeni B.V.;1;;;;;;;1
Holland Gebouw Onderhoudsgroep B.V.;;;3;;;;;3
ID Ware International B.V.;;1;;;;;;1
In2Content B.V.;;;1;;;;;1
Indomo B.V.;1;;;;;;;1
Initial B.V.;;;4;;;;;4
Intenz Gezondheidsplan B.V.;;;;;;;4;4
Intersafe Groeneveld B.V.;;1;;;;;;1
Into Office B.V.;;;;;;1;;1
Ipse de Bruggen;1;;;;;;;1
Jamie's Italian Den Haag;1;;;;;;;1
Kamera Express;;;;;;;1;1
klittenbandwinkel;;;;;;;1;1
kluisopening.nl;;;;;;1;;1
Koninklijke van der Most B.V.;;;;;1;;1;1
Lambert & Company B.V.;;1;;;;;;1
Landuwasco B.V.;;;1;;;3;2;3
Lasaulec B.V.;;2;;;;;;2
Manutan B.V.;;1;;;;;;1
Meetingselect B.V.;1;;;;;;;1
Moduli Print B.V.;;;;;1;;1;1
Mullerwenskaarten;;;;;;;1;1
Naturalite Benelux B.V.;;1;;;;;;1
Nespresso Nederland B.V.;1;;;;;;;1
Office Depot B.V.;;;;;1;1;2;2
Op Eigen Houtje Meubels;;;;;;;1;1
Orthocor.nl;;;;;;1;;1
Papyrus Groep Nederland B.V.;;;;;;;1;1
POL Heteren B.V.;;2;;;;;;2
PostNL N.V.;;;;1;;;;1
Preventcare B.V.;;;1;;;;;1
Primera Van der Zwaan;1;;;;;;1;1
Prixos B.V.;;;;;;;1;1
Promis Electro-Optics B.V.;;1;;;;;;1
Promostore Merchandising B.V.;;;;;;;1;1
Protinus IT B.V.;;1;;;;;1;1
Questionmarkgroup B.V.;;;3;;;;;3
Rentokil pest control;;;2;;;;;2
ROSE stories B.V.;1;;;;;;;1
Ruys Handelsvereniging B.V.;;;;1;;;;1
Schiphol Nederland B.V.;;;1;;;;;1
Scholten Awater B.V.;;1;;;;;;1
Secumar Benelux B.V.;;1;;;;;;1
Securitech Detection & Verification B.V.;;1;;;;;;1
Sit Design International B.V.;;;;;;;1;1
SNR Schouten & Nelissen Recovery B.V.;;;1;;;;;1
Staples Nederland B.V.;;;;;1;;1;1
stempels.com B.V.;;;;1;;;;1
Stichting Duurzaamheidcentrum De Papaver;1;;;;;;;1
Stichting L.E.F.;1;;;;;;;1
SVC SchoolvoorCoaching B.V.;;;;;;;1;1
Sysmex Nederland B.V.;;1;;;;;;1
Taartenwinkel.nl B.V.;;;1;;;;;1
TES Install.techn. Service & Onderhoud B.V.;;1;;;;;;1
Testo;;1;;;;;;1
Thot;;;1;;;;;1
Top Movers Nederland B.V.;;;;1;;;;1
Transit Services B.V.;;;;;1;;;1
Transposafe Systems Holland BV;;;;;;;1;1
Trigion Beveiliging B.V.;;1;;;;;;1
V.O.F. Marakesh;1;;;;;;;1
Valerie Kuypers Fotografie;;;;;1;;;1
Van Eck Bedrijfshygiëne B.V.;;;2;;;;;2
Van Ekeris Schoonmakers B.V.;;;2;;;;;2
Van Hal Telecom B.V.;;2;;;;;;2
Van Noort Bedrijven B.V.;;;;;1;;;1
Vink Lisse B.V.;;;;;;;1;1
Voorberg Bouwkunde B.V.;;;;;;1;;1
Voskamp Beveiligingstechniek Soest B.V.;;1;;;;;;1
Wiltec B.V.;;;;;;;3;3
