FID,dtb_id,objecttekst,datummutatie,datumopname,muteerder,status,objectcode,datuminwin,inwinner,oudedbwaarde,soort,type,datumaanleg,niveau,hyperlink,onderhouder,beheerder,eigenaar,tekening,photo,gisobjid,systeemdeel,beheerobject,element,bouwdeel,datum_vervallen,se_anno_cad_data,boom_id,gdb_geomattr_data,shape
groen_punten.1,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186281.30000000075 421986.3999999985)
groen_punten.2,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186284.3999999985 421980.5)
groen_punten.3,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186287.30000000075 421975.5)
groen_punten.4,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186296.80000000075 421960.69999999925)
groen_punten.5,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186303.3999999985 421950.30000000075)
groen_punten.6,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186305.3999999985 421945.19999999925)
groen_punten.7,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186308.30000000075 421939.8999999985)
groen_punten.8,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (185324.60700000077 423092.561999999)
groen_punten.9,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (185328.60200000182 423087.8110000007)
groen_punten.10,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (185332.54300000146 423081.64400000125)
groen_punten.11,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184213 428126.1000000015)
groen_punten.12,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184208.3999999985 428117)
groen_punten.13,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184204 428108.19999999925)
groen_punten.14,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184195.1000000015 428090.30000000075)
groen_punten.15,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184190.5 428081.1000000015)
groen_punten.16,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184186.19999999925 428072.19999999925)
groen_punten.17,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184181.6000000015 428063.1000000015)
groen_punten.18,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184177.30000000075 428054.5)
groen_punten.19,,,,,,,,,,,Excelsior,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184788.5 429323.3999999985)
groen_punten.20,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186374.3999999985 421591.8999999985)
groen_punten.21,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186371.69999999925 421597.1000000015)
groen_punten.22,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186368.69999999925 421602.5)
groen_punten.23,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186363.1000000015 421613.69999999925)
groen_punten.24,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186360.30000000075 421619.1000000015)
groen_punten.25,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186387.80000000075 421565.1000000015)
groen_punten.26,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186379.69999999925 421581.1000000015)
groen_punten.27,,,,,,,,,,,Pseudoacacia,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (187069.6000000015 420075.3999999985)
groen_punten.28,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (187059.5 420072.1000000015)
groen_punten.29,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (185848.51399999857 422443.94999999925)
groen_punten.30,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (185885.90199999884 422391.91600000113)
groen_punten.31,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (185863.20600000024 422425.0150000006)
groen_punten.32,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184070.6000000015 427839.80000000075)
groen_punten.33,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184083.80000000075 427866.6000000015)
groen_punten.34,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184079.5 427857.30000000075)
groen_punten.35,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184074.80000000075 427848.5)
groen_punten.36,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184066.19999999925 427830.1000000015)
groen_punten.37,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184062 427821)
groen_punten.38,,,,,,,,,,,Europaea,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (184053.69999999925 427802.80000000075)
groen_punten.39,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186155.8999999985 422198.8999999985)
groen_punten.40,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186152.3999999985 422204)
groen_punten.41,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186092 422293.5)
groen_punten.42,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (185846.0450000018 422447.71499999985)
groen_punten.43,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186098.69999999925 422284)
groen_punten.44,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186095.5 422288.69999999925)
groen_punten.45,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186088.5 422298.6000000015)
groen_punten.46,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186085.30000000075 422303.30000000075)
groen_punten.47,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186081.69999999925 422308.5)
groen_punten.48,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186078.19999999925 422313.3999999985)
groen_punten.49,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186074.80000000075 422318.30000000075)
groen_punten.50,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186071.3999999985 422323.1000000015)
groen_punten.51,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186139.1000000015 422223.8999999985)
groen_punten.52,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186149.30000000075 422209)
groen_punten.53,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186145.80000000075 422214)
groen_punten.54,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186142.5 422218.8999999985)
groen_punten.55,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186135.80000000075 422229.1000000015)
groen_punten.56,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186132.30000000075 422234.1000000015)
groen_punten.57,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186129.19999999925 422239)
groen_punten.58,,,,,,,,,,,Robur,4,,,,RWS,RWS,RWS,,,,,,gr,,,,,,POINT (186125.6000000015 422244.19999999925)
