JAAR;PERIODE;BELEIDSPROGRAMMA;ORGANISATIE;SUBSIDIE_BESCHIKT;BEKOSTIGD_UIT_RIJKSINKOMSTEN;WETTELIJKE_TAAK;GLOB_OVERZ_GESUB_ACTIVITEITEN;INLEES_DATUM;GEMEENTE;GEMEENTE_CODE;LAND_CODE
2021;Q1;Programma Kunst en Cultuur;Stichting Anders Kijken;1.200,00;Nee;Nee;;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting Restauratie en Heroprichting Stadskraan Vlaardingen;2.750,00;Nee;Nee;monumentensubsidie/onderhoudssubsidie;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Kiran;4.000,00;Nee;Nee;monumentensubsidie/onderhoudssubsidie;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting Stadspodium ;4.000,00;Nee;Nee;Culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Vlaardings Centrum voor Amateurtoneel;4.750,00;Nee;Nee;Culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting tot Exploitatie van de Grote Kerk;5.000,00;Nee;Nee;Culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting Waterweg Cultuurprijs;6.000,00;Nee;Nee;Culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting Van Peteghem orgel Vlaardingen;6.515,00;Nee;Nee;Cullturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting Het Vlaardings Museum;7.500,00;Nee;Nee;culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting Kwartiermakers;7.500,00;Nee;Nee;Culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting Buitenbios / Filmtheater Het Zeepaard;15.000,00;Nee;Nee;Culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting Kwartiermakers ;20.000,00;Nee;Nee;Culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;DIV 3 (nieuwe NAW: nog op te nemen door DIV);20.000,00;Nee;Nee;Culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting Zomerterras;20.600,00;Nee;Nee;Culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Kunst en Cultuur;Stichting Centrum Kunsteducatie Kade 40;50000;Nee;Nee;Culturele activiteit;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Onderwijs, economie en haven;Jinc;4.079,00;Ja;Nee;Taaltrip;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Onderwijs, economie en haven;Petje af Waterweg;10.000,00;Ja;Nee;petje af;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Onderwijs, economie en haven;Stichting Zorg voor Onderwijs Nieuwe Waterweg Noord;35.648,00;Nee;Nee;het voorkomen van voortijdig schoolverlaten;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Onderwijs, economie en haven;Stichting Wijzer  in Opvang en Onderwijs;43.600,00;Ja;Nee;2e kleutergroep;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Onderwijs, economie en haven;Un1ek Kinderopvang B.V.;63.000,00;Nee;Nee;Het bieden van 7395 uur kinderopvang als onderdeel van hulpverleningstraject op indicatie van het wijkteam;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Onderwijs, economie en haven;Stichting Bibliotheek De Plataan;71.000,00;Ja;Nee;"Inzet 0,89 fte combinatiefunctionaris. De combinatiefunctionaris is werkzaam als mediacoach binnen de organisaties van het samenwerkingsverband en hij voert de activiteiten uit zoals opgenomen in het jaarplan 2020 welke bijgesloten is bij uw subsidieaanvraag.
Met de activiteiten uit het jaarplan streeft u de volgende doelen na:
? De positie van de bibliotheek versterken, zowel onder als na schooltijd.
briefnummer
1754188
!n";04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Sociaal domein;Stichting Mamacafe Vlaardingen, Schiedam en Maassluis;4.000,00;Nee;Nee;;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Sociaal domein;Stichting De Windwijzer;15.000,00;Nee;Nee;;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Sociaal domein;Stichting Dierennoodhulp West Nederland;15.000,00;Ja;Ja;Het vervoeren en tijdelijk opvangen van zwervend aangetroffen (huis)dieren.;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Sociaal domein;Stichting de Buurtvrouw;15300;Nee;Nee;;04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Sociaal domein;Ipse de Bruggen;57258;Nee;Ja;"FTE leveren aan de vier wijkteams voor jeugd en ouders.
Stichting Minters stuurt de fte van Ipse de Bruggen inhoudelijk aan.";04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Sociaal domein;Centrum voor Jeugd en Gezin Vlaardingen;2409340;Nee;Ja;"Basispakket jeugdgezondheidszorg;  Rijksvaccinatieprogramma; aanvullend preventief pakket (APP) jeugdgezondheidszorgen huisvesting.  ";04-05-2021;Vlaardingen;0622;NL
2021;Q1;Programma Sport en Recreatie;Vlaardingse Reddingsbrigade;10000;Nee;Nee;Het geven van lessen reddend zwemmen, het geven van duiktrainingen en aanbieden van onderwaterhockey en verzorgen van bewaking tijdens evenementen in Vlaardingen.;04-05-2021;Vlaardingen;0622;NL
