Ministerie;Leverancier;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
AZ;(BBP) Beerens-Business Press B.V.;;1;;;;;1
AZ;1848 B.V.;;1;;;;1;2
AZ;About Flowers;;;;1;;;1
AZ;Adfo Groep B.V.;;1;;;;;1
AZ;Agility PR Solutions;;;;;;1;1
AZ;Amigoe-E N.V;;1;;;;;1
AZ;Andermanskeuken;;;;1;;;1
AZ;ANP Photo;;;;;;6;6
AZ;Antiliaans Dagblad;;1;;;;;1
AZ;Arbor Media Services B.V.;;;;;;1;1
AZ;Ardis Organisatieontwikkeling B.V.;;;;;;1;1
AZ;Arenda Oomen Fotografie;;;;;;1;1
AZ;Audax Publishing B.V.;;1;;;;;1
AZ;B.V. Weekbladpers;;1;;;;;1
AZ;Bart Maat Fotografie;;;;;;1;1
AZ;Binnenlands Bestuur B.V.;;1;;;;;1
AZ;Bobbe International B.V.;;3;;;;;3
AZ;Boekhandel Van Stockum Belinfante & Coebergh;;1;;;;;1
AZ;bol.com B.V.;;1;;;;;1
AZ;Boom uitgevers Den Haag;;1;;;;;1
AZ;Bredemeijer Group B.V.;;;;1;;;1
AZ;Brug in Bedrijf;;;;;1;;1
AZ;Bureau Zuidema B.V.;;;;;2;;2
AZ;Compaijen C&C B.V.;;;;;1;;1
AZ;Coöperatief Congrestolkensecretariaat UA;;;1;1;;;1
AZ;De Denksmederij;;;;;1;;1
AZ;De Groene Amsterdammer weekbl. voor Nederland;;1;;;;;1
AZ;De Helling;;1;;;;;1
AZ;De Issuemakers B.V.;;;;;1;;1
AZ;de Redactietoko;;;;;1;1;2
AZ;De Ruiter Communicatie-Advies;;;;;;2;2
AZ;De Stadskwekerij B.V.;;;;;1;;1
AZ;De Volkskrant B.V.;;1;;;;;1
AZ;De Wit Fotografie;;;;;;1;1
AZ;Dentsu Netherlands B.V.;;;;;;2;2
AZ;Der Spiegel;;1;;;;;1
AZ;DPG Media B.V.;;1;;;;;1
AZ;Drive Innovation Insights;;;;;1;;1
AZ;Dutch Photo Press;;;;;;1;1
AZ;Dutch Press Photo Agency Mischa Schoemaker;;;;;;1;1
AZ;Dux Pactum B.V.;;;;;;1;1
AZ;Elja Daae Marketingadvies;;;;;1;;1
AZ;Erdee Media B.V.;;1;;;;;1
AZ;Erik Jansen Fotografie;;;;;;1;1
AZ;every media;;;;;;2;2
AZ;Evite Services B.V.;;;;;1;;1
AZ;faculteit Koninklijk Conservatorium;;;;;;1;1
AZ;Ferro Explore B.V.;;;;;;2;2
AZ;Follow The Money B.V.;;1;;;;;1
AZ;Fotogeniek;;;;;;1;1
