Rijlabels;9304 - Aankoop onderzoeksmateriaal;9540 - EZ specifiek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;Eindtotaal
Nihon Food B.V.;1;;;;1
JT International Company Netherlands B.V.;1;;;;1
Deva Food B.V.;1;;;;1
Roche Diagnostics Nederland B.V.;;;1;;1
Versunie B.V.;1;;;;1
Bonusan B.V.;1;;;;1
AW Accu B.V.;;2;;;2
Biotage Sweden AB;;;;2;2
Post Workboats B.V.;;3;;;3
Malhi Import Export B.V.;1;;;;1
Sous Fresh B.V.;1;;;;1
Innovital B.V.;1;;;;1
Ovatem B.V.;;1;;;1
Versto B.V.;1;;;;1
Hilal Import-Export;1;;;;1
Allehand Wooden Toys B.V.;1;;;;1
F. Sheriff;1;;;;1
Fourage-Weihandel Toontje Hendriks B.V.;;1;;;1
Fresh Food Den Haag B.V.;1;;;;1
CCV Holland B.V.;;1;;;1
AlterMedi B.V.;1;;;;1
Nutacon B.V.;;;1;;1
Promega Benelux B.V.;;;1;;1
De Weerd Specerijen B.V.;1;;;;1
De Apostelhoeve;1;;;;1
AB Brabant Bedrijfsverzorging B.V.;;1;;;1
Koornstra & Co. B.V.;1;;;;1
PAK Aanhangwagens B.V.;;1;;;1
Delta Star Nutrients B.V.;1;;;;1
Br. Heemskerk en Zn. B.V.;1;;;;1
Dierenartsenpraktijk Nijkerk-Wellensiek;;1;;;1
CarePack Holland B.V.;;;1;;1
Boca V.O.F.;;1;;;1
Groentehandel D. De Vries B.V.;1;;;;1
GC Biotech B.V.;;;1;;1
Catec B.V.;;;;2;2
Coöperatieve Fruitveiling 'Zuid Limburg' BA;1;;;;1
Eierhandel R. van Zetten;1;;;;1
Dun Yong Foodservices B.V.;1;;;;1
Sigarenhandel Piet van Kuijk;1;;;;1
Tuinderij Vers B.V.;1;;;;1
Bakker Seed Productions B.V.;;1;;;1
B.V. Nettorama Verbruikersmarkten;1;;;;1
Vishandel Mike de Houck B.V.;1;;;;1
Sunda B.V.;1;;;;1
Eurofresh B.V.;1;;;;1
Tovano B.V.;1;;;;1
Anthonie Verwijs;1;;;;1
Bud Holland B.V.;1;;;;1
Wijndomein St. Martinus (algemeen);1;;;;1
Wijn Verlinden;1;;;;1
Vishandel VD 119 B.V.;1;;;;1
123 3D B.V.;;;1;;1
Faja Lobi Food B.V.;1;;;;1
zorgzoeken.nl;1;;;;1
Vanka-Kawat Import en Export B.V.;1;;;;1
Autoservice Jan Welters;;1;;;1
Beauty XL;1;;;;1
Blok Specerijen B.V.;1;;;;1
Naproz B.V.;1;;;;1
De Groot van Dommele B.V.;1;;;;1
O. Smeding en Zoon B.V.;1;;;;1
Stichting Dierenhulpdienst Nederland;;1;;;1
Kohl Fruit Trading B.V.;1;;;;1
Boreg B.V.;1;;;;1
Euro Meat Oss B.V.;1;;;;1
Boni-Markten B.V.;1;;;;1
Natudis Nederland B.V.;1;;;;1
REMONDIS Dusseldorp vestiging Lichtenvoorde;;1;;;1
G.H. Lukassen en Zoon B.V.;1;;;;1
Chipsi;1;;;;1
Fix-Fisch B.V.;1;;;;1
Dierenartspraktijk de Eenhoorn B.V.;;1;;;1
Minerva Meettechniek B.V.;;;;1;1
Wilkofruit;1;;;;1
Horticoop B.V.;;;1;;1
A. Jaggoe;1;;;;1
Van Olphen Viande Select B.V.;1;;;;1
V@twork B.V.;;7;;;7
Serhat Impex Velp B.V.;1;;;;1
Miguel GonzÃƒÂ¡lez Fruit B.V.;1;;;;1
Truvion Healthcare Logistics B.V.;1;;;;1
Alba Food Trading B.V.;1;;;;1
Health Ingredients Trading B.V.;1;;;;1
Veehandel Daniël Mols;;1;;;1
AGF Siere B.V.;1;;;;1
APHA - Animal and Plant Health Agency;1;;;;1
Staay Food Group;1;;;;1
New Mountain Innovations;;;1;;1
Import- en Exportonderneming 'Amboina' B.V.;1;;;;1
Sibelco Benelux B.V.;;;1;;1
Koppejan Noten B.V.;1;;;;1
SuperfoodsAndMore Wholesale;1;;;;1
De Jong Zuurmond Infrabeheer, Onderhoud & Services B.V.;;1;;;1
Dekimo Goes B.V.;;1;;;1
Odin Groothandel B.V.;1;;;;1
B en B snijderij B.V.;1;;;;1
B.V. Handelsonderneming E. Zann;1;;;;1
Burg Service B.V.;;1;;;1
Elbeka Electro B.V.;1;;;;1
Henk van Walderveen en Zonen B.V.;1;;;;1
Snack Connection B.V.;1;;;;1
Tura Food B.V.;1;;;;1
Edugro B.V.;1;;;;1
Van Doorn Groothandel Amsterdam B.V.;1;;;;1
Sano-Pharm Nederland B.V.;1;;;;1
Mts R.R. van den Berg & B.J. van den Berg;;1;;;1
Kosar Fruit B.V.;1;;;;1
Detailresult Logistiek B.V.;1;;;;1
Mij. v. Oestercult. Eensgezindh. Yerseke B.V.;1;;;;1
Heupink & Bloemen Tabak B.V.;1;;;;1
Daelmans Banket;1;;;;1
Dasselaar B.V.;1;;;;1
Transportbedrijf Van Duijn en Zonen B.V.;;1;;;1
Naturz Organics Europe B.V.;1;;;;1
Dierenkliniek Wolvega;;1;;;1
MBF Savannah B.V.;1;;;;1
Firma Postuma-Kampen;1;;;;1
Deen Supermarkten B.V.;1;;;;1
Simon Levelt B.V.;1;;;;1
Holland & Barrett;1;;;;1
Huijbregts Groep;1;;;;1
WITASEK Pflanzenschutz GmbH;;;1;;1
AB Werkt;;1;;;1
King Nuts & Raaphorst;1;;;;1
FlexVet B.V.;1;8;;;8
Kebco B.V.;1;;;;1
Axxent Masters in Tea B.V.;1;;;;1
JustCompare;1;;;;1
Global Choice Foods;1;;;;1
Cotraco Meat Traders B.V.;1;;;;1
Heli Holland Air Service B.V.;;2;;;2
Rob Peters Meel- en Graanhandel B.V.;1;;;;1
Van Leendert Maastricht B.V.;1;;;;1
Biotheka B.V.;1;;;;1
Air Products Nederland B.V.;;;1;;1
Boon Food Group B.V.;1;;;;1
Bosscher Delicatessen B.V.;1;;;;1
Body Supplies B.V.;1;;;;1
Dilka (Nederland);1;;;;1
Egro B.V.;1;;;;1
Fa. C. van der Meij en Zn.;1;;;;1
Schoonderwoerd Vlees B.V.;1;;;;1
Algra Koffie en Thee;1;;;;1
De Kruidenaer B.V.;1;;;;1
Bio-Connect Services B.V.;1;;4;;4
BIPEA;1;;;;1
TestQual;1;;1;;1
Vereecken Fruitkwekerij;1;;;;1
Campro Scientific GmbH;;;1;;1
V.O.F. Inacom Instruments;;;1;;1
ClearDetections B.V.;;;1;;1
EURL-SRM;1;;;;1
Zethof Olie en Gashandel;;;1;;1
DSMZ - Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH;;;1;;1
B.V. Otten AGF;1;;;;1
Verdi Import B.V.;1;;;;1
Coöperat. Tuinbouwveiling Zaltbommel e.o. BA;1;;;;1
De Notenshop;1;;;;1
ATL Seafood IJmuiden B.V.;1;;;;1
WeFutureCompany B.V.;1;;;;1
Rexel Nederland B.V.;;;1;;1
Studio 3005;;1;;;1
Romer Labs Diagnostic GmbH - Europe;;;1;;1
Brocacef Supplies & Services B.V.;;;1;;1
De smaakspecialist;1;;;;1
Aluminiumboten;;1;;;1
Billink B.V.;1;;;;1
Sushi Q B.V.;1;;;;1
Koman's Vishandel B.V.;1;;;;1
Dayseaday Fresh B.V.;1;1;;;1
TBIH B.V.;1;;;;1
Fysiotherapie de Vijfhoek;;1;;;1
Test Veritas;1;;;;1
Jan de Geus en Zn. B.V.;1;;;;1
Delinuts B.V.;1;;;;1
Dierenartsenpraktijk Beilen;;1;;;1
Nguyen Oriental Foods;1;;;;1
Combilo B.V.;1;;;;1
Pronk Hollandvis B.V.;1;;;;1
Hip by (b)engel speelgoed;1;;;;1
Exotimex Europe B.V.;1;;;;1
Biogents AG;;;2;;2
Wijnkoperij La Persistance;1;;;;1
Bouvigne Wijnimport B.V.;1;;;;1
Asian Dim-Sum B.V.;1;;;;1
Good Nuts Holland B.V.;1;;;;1
Van Vliet The Candy Company B.V.;1;;;;1
Electrade;1;;;;1
W. Dijk Holding B.V.;1;;;;1
Van Gelder Ridderkerk B.V.;1;;;;1
Bio-Connect B.V.;;;2;;2
Rene Tiel;1;;;;1
Poisson & Cuisine - Fresh Quality Fish B.V.;1;;;;1
De Haan Lifestyle;1;;;;1
Van Ooijen Citrus B.V.;1;;;;1
Francis Trading B.V.;1;;;;1
Fruit Factor B.V.;1;;;;1
FishPartners B.V.;1;;;;1
Organic Flavour Company B.V.;1;;;;1
Coop Groothandel B.V.;1;;;;1
Vishandel Bunschoten;1;;;;1
Vita Producten B.V.;1;;;;1
Heuschen & Schrouff Orient. Foods Trad. B.V.;1;;;;1
Ana Aslan;1;;;;1
Beij Ching B.V.;1;;;;1
Lekkerland Nederland B.V.;1;;;;1
Fisher Emergo B.V.;;;4;1;4
W & A Fish B.V.;1;;;;1
Classic International Holding B.V.;1;;;;1
Brima Fruit B.V.;1;;;;1
Compagnieshaven Enkhuizen B.V.;;1;;;1
Jumbo Supermarkten B.V.;1;;;;1
Nutland B.V.;1;;;;1
VB Nederland;1;;;;1
Aurion-Immuno Gold Reagents & Accessoires;;;1;;1
Enes B.V.;1;;;;1
De Nieuwe Band;1;;;;1
Tuincentrum De Oude Tol B.V.;1;;;;1
Maxima Seafood B.V.;1;;;;1
Show-Biz Centre;1;;;;1
Public Health England;1;;1;;1
Agricultural Research Council;;;1;;1
Emonta B.V.;1;;;;1
NewBahar International B.V.;1;;;;1
Nuts4You;1;;;;1
A.G.F. Kerkdriel B.V.;1;;;;1
Aartsenfruit Breda B.V.;1;;;;1
Dierenartsenpraktijk Deil G.H. Mensen;;1;;;1
Gebr. Regter;;1;;;1
Stichting 'De Oude Molen';1;;;;1
V.O.F. Harrie Goesten;1;;;;1
Hanos Eindhoven B.V.;1;;;;1
Air Cargo Netherlands;;1;;;1
Albert Heijn B.V.;1;;;;1
Renes AGF Services B.V.;;1;;;1
Kossen Boten Oudesluis B.V.;;1;;;1
Enes Impex V.O.F.;1;;;;1
Bakker Centrale Inkoop B.V.;1;;;;1
Van Belzen B.V.;1;;;;1
Linde Gas Cryoservices B.V.;;;1;;1
Choi Kwai International B.V.;1;;;;1
Vanem;;;1;;1
Snijders Hammerlit;;;;1;1
EURL-AO;1;;;;1
HANOS-ISPC Breda B.V.;1;;;;1
Fa. Dirk Tel;1;;;;1
Jacob Hooy & Co. B.V.;1;;;;1
Rappange Verzekeringen B.V.;;1;;;1
Sushi Ran B.V.;1;;;;1
Geostick Self-Adhesive Labels;;;1;;1
Agrico Research;;;1;;1
Vishandel Jan van As en Zonen B.V.;1;;;;1
Roxs-Electro;;;1;;1
www.basboernoten.nl;1;;;;1
Fine Food Yerseke B.V.;1;;;;1
D.A.P. H.A. Gorter;;1;;;1
New Care Supplements B.V.;1;;;;1
Bel Impex;1;;;;1
Adri & Zn. Schaal- en Schelpdierenhandel B.V.;1;;;;1
Aldi Roosendaal;1;;;;1
Hoogvliet;1;;;;1
FZ Organic Food;1;;;;1
HP PRODUCTS B.V.;;;2;;2
Al Hoceima Import- Export B.V.;1;;;;1
Stolp International B.V.;1;;;;1
Tritium Microbiologie B.V.;;;1;;1
Sin Wah Foods B.V.;1;;;;1
CIRM-CFBP IRHS;;;1;;1
Nanhoe Holding B.V.;1;;;;1
Choconut;1;;;;1
AccuCompany B.V.;;;1;;1
Alwafa Levensmiddelen;1;;;;1
Schepens Verhuur B.V.;;;2;;2
Rosies B.V.;1;;;;1
G. Schönhage & Zn. B.V.;1;;;;1
Tempcontrol Industr. Electronic Products B.V.;;;1;;1
J. BarbÃƒÂ© B.V.;1;;;;1
Oxoid;;;3;;3
Vandentempel Service B.V.;;;1;;1
Superfoodsonline B.V.;1;;;;1
Quartel Modelbouw B.V.;;1;;;1
Retailtrade;1;;;;1
All4Trade B.V.;1;;;;1
Université de Liège;1;;;;1
Wijntransport B.V.;1;;;;1
AB Zuid-Holland Bedrijfsverzorging B.V.;;1;;;1
UPS SCS (Nederland) B.V.;;;1;;1
Yama Products B.V.;1;;;;1
Hogervorst Handel in Groente en Fruit B.V.;1;;;;1
Farnell (Netherlands) B.V.;;;1;;1
Scala Scientific;;;;1;1
Integrated DNA Technologies;;;1;;1
Tema Fine Foods B.V.;1;;;;1
Triple Meat & Specials B.V.;1;;;;1
Frankort & Koning B.V.;1;;;;1
NUDE Beauty Brands;1;;;;1
Nutrio-Shop B.V.;1;;;;1
Arkopharma Nederland;1;;;;1
K. v.d. Spijk en Zn. IJsselmuiden B.V.;1;;;;1
Vishandel Heinen & Koelewijn B.V.;1;;;;1
BioControl Systems B.V.;1;;1;;1
Takara Bio Europe SAS;;;1;;1
Beijer Internationale Expediteurs B.V.;;1;;;1
De Roode Roos B.V.;1;;;;1
Catz International B.V.;1;;;;1
Vroegop Windig;1;;;;1
Charm Sciences;;;1;;1
bioTRADING Benelux;;;5;;5
PHEROBANK B.V.;;;2;;2
VHC Jongens B.V.;1;;;;1
Mercer (Nederland) B.V.;;;;;
CoÃƒÂ¶p. Vereniging Agrarische Bedrijfsverz. UA;;2;;;2
B.V. Peter van Halder Grootverbruik in A.G.F.;1;;;;1
Landewyck Tabak Holland B.V.;1;;;;1
Terra Sana Natuurvoeding Leimuiden B.V.;1;;;;1
Labrecycling B.V.;;;;1;1
Mix Food B.V.;1;;;;1
DAP Salland;;1;;;1
Smink Groenten en Fruit B.V.;1;;;;1
Immunosource bvba;;;1;;1
Weinmann - Sondermaschinen u. Steuerungsbau GmbH;;;1;;1
Check-Points B.V.;;;2;1;2
Eurogentec Nederland B.V.;;;3;;3
FN Global Meat B.V.;1;;;;1
FOOX - Willie Robben B.V.;1;;;;1
Phenomenex B.V.;;;1;;1
NIVO Im- en Export Beverwijk;1;;;;1
Hela Thissen B.V.;1;;;;1
Koas Foods B.V.;1;;;;1
Mister Fish;1;;;;1
Boris Electronics B.V.;1;;;;1
Van der Meulen Sneek B.V.;1;;;;1
Van Dijk Banket B.V.;1;;;;1
Den Hollander Advocaten B.V.;;1;;;1
Alla Marca Food;1;;;;1
Klaas de Poel B.V.;1;;;;1
Columbus Concepts B.V.;1;;;;1
Giesko B.V.;1;;;;1
Intersnack Nederland B.V.;1;;;;1
Profile Tyrecenter Heuver Hardenberg;;1;;;1
Atariya Foods Netherlands B.V.;1;;;;1
Bambolino Toys B.V.;1;;;;1
De Stigter Fruithandel B.V.;1;;;;1
Unidex B.V.;1;;;;1
United Parcel Service Nederland B.V.;;1;;;1
Bourmana B.V.;1;;;;1
Vleesgroothandel Gebrs. Zandbergen B.V.;1;;;;1
C.O.H.E.;1;;;;1
Dorivit B.V.;1;;;;1
G. Krikke & Zn. B.V.;1;;;;1
Kai Tak Company B.V.;1;;;;1
Rib Parts Budding;;;1;;1
AlphaVit B.V.;1;;;;1
EHF Nutrition B.V.;1;;;;1
Aquafleur International B.V.;1;;;;1
Fresh Food Amsterdam B.V.;1;;;;1
Maatschap Dierenartsenpraktijk West-Betuwe;;1;;;1
Agrifirm Plant B.V.;;1;;;1
Jean Arnaud Pensioen B.V.;1;;;;1
TS Health Products B.V.;1;;;;1
U2pi B.V.;1;1;;;1
LOEWE Biochemica GmbH;;;1;;1
EBO van den Bor B.V.;1;;;;1
Rimex Toys;1;;;;1
Dierenartscombinatie Overschelde;;1;;;1
Roben Meat B.V.;1;;;;1
Stichting World of Birds Foundation;;1;;;1
Mattisson;1;;;;1
De Westfriesche Pindabranderij B.V.;1;;;;1
Ultimoo Incasso B.V.;;1;;;1
Frukar B.V.;1;;;;1
Aartsenfruit Venlo B.V.;1;;;;1
Demir Nut Company;1;;;;1
De Gouden Mandarijn B.V.;1;;;;1
De Hazelaar Art Supplies;;;1;;1
Wylax International B.V.;1;;;;1
Luiten Food;1;;;;1
Udea B.V.;1;;;;1
Zoutewelle Import B.V.;1;;;;1
Groothandel Ustaca B.V.;1;;;;1
Yarafood B.V.;1;;;;1
Gebroeders De Mooy Amsterdam B.V.;1;;;;1
Scanimex Seafood B.V.;1;;;;1
Van Wieren Watersport;;1;;;1
Aldi Drachten B.V.;1;;;;1
Hebbehebbe B.V.;1;;;;1
OTC Organics B.V.;1;;;;1
Fadie Food B.V.;1;;;;1
FedEx Express Netherlands B.V.;;;1;;1
De Groot International B.V.;1;;;;1
Herman Kuijper B.V.;1;;;;1
Groenveld B.V.;1;;;;1
Spar Holding B.V.;1;;;;1
AGF Overtoom Groothandel & Horecalever. B.V.;1;;;;1
Avonturia De Vogelkelder B.V.;;1;;;1
Beko Groothandel B.V.;1;;;;1
Thaimas B.V.;1;;;;1
v. Manen's Handelsonderneming Veenendaal B.V.;1;;;;1
Oolaboo B.V.;1;;;;1
Natuurgroothandel B.V.;1;;;;1
Brooks Instrument B.V.;;;1;;1
Aldi Ommen B.V.;1;;;;1
Kreko B.V.;;;1;;1
Joannusmolen B.V.;1;;;;1
Vogely B.V.;1;;;;1
De Hooge Werff;1;;;;1
De Kok Horeca Groothandel;1;;;;1
Plus Retail B.V.;1;;;;1
MADI s.r.l.;;;1;;1
Vonmarcken;;;1;;1
Kargro;;1;;;1
Aroma Fresh Green Limited;1;;;;1
Fruitpartner B.V.;1;;;;1
Nvirox Benelux B.V.;1;;;;1
Engelhart Handelsonderneming B.V.;1;;;;1
H.A. de Bruijn Landbouwmech.bedr. B.V.;;1;;;1
Anaco & Greeve International B.V.;1;;;;1
Sidhu Food B.V.;1;;;;1
China NIL Research Center For Proficiency Testing;1;;;;1
Sopachem B.V.;;;1;;1
Sanvir groenten import/export;1;;;;1
Dierenartsenpraktijk Zelhem B.V.;;1;;;1
S.C. van Ravenswaaij;1;;;;1
Poeliersbedrijf Cuno Moormann en Zonen B.V.;1;;;;1
Revolution Tea Europe B.V.;1;;;;1
LGC Standards GmbH;1;;;;1
Aygun Notenhandel;1;;;;1
A.C. Loogman & Zonen B.V.;1;;;;1
A.S. Watson B.V.;1;;;;1
B.V. Denimpex;1;;;;1
Verstegen Spices & Sauces B.V.;1;;;;1
Vier Leeuwen Incasso B.V.;;1;;;1
Hoek-Agro B.V.;1;;;;1
Stg. Beheer Derdengelden Van Veen Advokaten;;1;;;1
Van Dijk Toys B.V.;1;;;;1
Agilent Technologies Sanigi B.V.;;;;2;2
Casula Alimentari;1;;;;1
W. Karsten;1;;;;1
Mertex;1;;;;1
Roots Fish Smokery B.V.;1;;;;1
Schmidt Zeevis Rotterdam B.V.;1;;;;1
Aldi Zaandam B.V.;1;;;;1
NetherlAnts;;;1;;1
SASA;;;1;;1
Eriks B.V.;;;1;;1
www.fitness-support.nl;1;;;;1
Rustenburg Groothandel B.V.;1;;;;1
Greens and Salads;1;;;;1
Van Geest International B.V.;1;;;;1
Anses - Agence nationale de sécurité sanitaire;1;;;;1
AR Benelux;;;;2;2
Hannah Skin Improvement Research Company;1;;;;1
V.O.F. Verdouw;;;1;;1
J.S. Polak Kon. Specerijenmaalderij B.V.;1;;;;1
Life Extension Europe B.V.;1;;;;1
Thermo-Electra temperature sensor solutions;;;1;;1
AB Vakwerk Agri B.V.;;1;;;1
Varuvo B.V.;1;;;;1
Alluris GmbH & Co. KG;;;1;;1
D.H.Z. Garage en Automaterialengroothandel Weert B.V.;;1;;;1
Murko Seafood B.V.;1;;;;1
Horizon Natuurvoeding B.V.;1;;;;1
I.N.Z. Trading;1;;;;1
ILG;1;;;;1
De Notenbeurs B.V.;1;;;;1
Frenchtop Natural Care Products B.V.;1;;;;1
Clindia Benelux B.V.;;;1;;1
Kwekerij Heutinck;1;;;;1
L.P. Antheunis B.V.;1;;;;1
Medicsteel B.V.;;;1;;1
ABBEoptics;;;1;;1
De NatuurApotheek B.V.;1;;;;1
EURL-FV Pesticides;1;;;;1
Logicx;;2;;;2
Los Picos B.V.;1;;;;1
Linde Gas Benelux B.V.;;1;1;;1
Tradin Organic Agriculture B.V.;1;;;;1
Iris Health B.V.;1;;;;1
ASF Holland B.V.;1;;;;1
Bosch Wijnkopers;1;;;;1
Platvis Holland B.V.;1;;;;1
B.V. Levensmiddelengroothandel 'De Kweker';1;;;;1
Stichting Merita;;5;;;5
Flevosap B.V.;1;;;;1
Horeca Groothandel Jeruzalem B.V.;1;;;;1
IG Impex B.V.;1;;;;1
Imkerij De Traay;1;;;;1
Loonbedrijf Louwerse C.V.;;1;;;1
Natusor Gezondheidsproducten B.V.;1;;;;1
Karel de Mooy AGF B.V.;1;;;;1
Matthijs B.V.;1;;;;1
South American Food Express B.V.;1;;;;1
Integra International B.V.;1;;;;1
A3 Products B.V.;1;;;;1
AB Midden Nederland;;1;;;1
The Beef Company B.V.;1;;;;1
Isogen Life Science B.V.;;;4;;4
Klassenoten B.V.;1;;;;1
Koffiebrand./Theehnd. 'Drie Mollen 1818 B.V.';1;;;;1
Lucullus;1;;;;1
J.J. Darboven B.V.;1;;;;1
Lehmann & Troost B.V.;1;;;;1
Makerpoint B.V.;;;1;;1
Masr Fruit Holland B.V.;1;;;;1
MVD Installation and Consultancy;;1;;;1
Solgar Vitamins (Holland) B.V.;1;;;;1
SoyBeanCompany B.V.;1;;;;1
LGC Biosearch Technologies;;;1;;1
Intrum Justitia Nederland B.V.;;1;;;1
Horecaslagerij van der Heijden;;1;;;1
L.A. van der Zwan Zeevishandel B.V.;1;;;;1
IJmuiden Vis Online.nl;1;;;;1
Hollander Barendrecht B.V.;1;;;;1
Iris Biotech GmbH;;;1;;1
Snel Import V.O.F.;1;;;;1
Asia Express Food;1;;;;1
Impex-Heemskerk B.V.;1;;;;1
Smooth & Co B.V.;1;;;;1
Tsantos Import Export B.V.;1;;;;1
Amar Import en Export B.V.;1;;;;1
Edco Eindhoven B.V.;1;;;;1
Eindtotaal;5;9;7;7;9
