Kenteken,Rupsband set volgnummer,Geremde rupsband indicator,Aangedreven rupsband indicator,Technisch toelaatbaar maximum massa rupsbandset,Technisch toelaatbaar maximum massa rupsband set minimum,Technisch toelaatbaar maximum massa rupsband set maximum
LDL60R,1,N,N,4000,,
LDS11L,1,N,N,600,,
LDS22L,1,N,N,600,,
LFB04R,1,N,N,4000,,
LGD53S,1,N,N,4000,,
LGD54S,1,N,N,4000,,
LLK93R,1,N,N,600,,
LNX45S,1,N,N,,,
LPB80Z,1,N,N,,,
LPG79J,1,N,N,,,
LPJ84X,1,N,N,960,,
LPS40P,1,N,N,,,
LRB44K,1,N,N,,,
LRB51J,1,N,N,600,,
LRB51X,1,N,N,,,
LRB55J,1,N,N,600,,
LRB56J,1,N,N,600,,
LRB63J,1,N,N,800,,
LRB95J,1,N,N,1400,,
LRD12X,1,N,N,,,
LRD33T,1,N,N,2150,,
LRD46Z,1,N,N,600,,
LRD47T,1,N,N,600,,
LRD63P,1,N,N,,,
LRF01J,1,N,N,,,
LRF26G,1,N,N,2000,,
LRF72G,1,N,N,,,
LRF77J,1,N,N,,,
LRF81G,1,N,N,9000,,
LRG03B,1,N,N,,,
LRG56J,1,N,N,,,
LRG63H,1,N,N,,,
LRG75V,1,N,N,,,
LRG91N,1,N,N,,,
LRG92N,1,N,N,,,
LRG93N,1,N,N,,,
LRG97V,1,N,N,,,
LRH02Z,1,N,N,,,
LRH03X,1,N,N,3000,,
LRH04G,1,N,N,,,
LRH05G,1,N,N,,,
LRH05S,1,N,N,,,
LRH11G,1,N,N,,,
LRH16L,1,N,N,100,,
LRH22P,1,N,N,,,
LRH29N,1,N,N,,,
LRH40J,1,N,N,,,
LRH59L,1,N,N,4000,,
LRH60L,1,N,N,4000,,
LRH60R,1,N,N,,,
LRH60X,1,N,N,,,
LRH69Z,1,N,N,,,
LRH72N,1,N,N,,,
LRH76P,1,N,N,,,
LRH76Z,1,N,N,,,
LRH83G,1,N,N,4000,,
LRH83X,1,N,N,350,,
LRH84F,1,N,N,,,
LRH84G,1,N,N,4000,,
LRH97X,1,N,N,,,
LRJ02R,1,N,N,,,
LRJ03R,1,N,N,,,
LRJ10D,1,N,N,,,
LRJ13F,1,N,N,840,,
LRJ14F,1,N,N,,,
LRJ14R,1,N,N,1500,,
LRJ15R,1,N,N,,,
LRJ34R,1,N,N,,,
LRJ35R,1,N,N,,,
LRJ38R,1,N,N,,,
LRJ39V,1,N,N,3000,,
LRJ44B,1,N,N,,,
LRJ52P,1,N,N,,,
LRJ55N,1,N,N,,,
LRJ56P,1,N,N,3000,,
LRJ56R,1,N,N,,,
LRJ60P,1,N,N,,,
LRJ62K,1,N,N,3000,,
LRJ68D,1,N,N,,,
LRJ74L,1,N,N,4000,,
LRJ75L,1,N,N,4000,,
LRJ82L,1,N,N,,,
LRJ96V,1,N,N,,,
T07DVK,1,J,J,20000,,
T11FBL,1,J,J,18000,,
T15FHJ,1,N,N,,,
T16DZD,1,J,J,24000,,
T17BVJ,1,N,J,3050,,
T21FGX,1,J,J,19000,,
T25DZP,1,J,J,22600,,
T27DZV,1,J,J,24000,,
T32FBR,1,J,J,16000,,
T33FHZ,1,N,N,,,
T33FHZ,2,J,J,,,
T36DZN,1,J,J,12000,,
T37DZN,1,J,J,24000,,
T38DVF,1,N,N,25,,
T41FGF,1,J,J,24000,,
T43FFB,1,J,J,42000,,
T51FGT,1,J,J,20000,,
T53FHD,1,J,J,9500,,
T57DST,1,N,N,,,
T69FFP,1,J,J,,,
T73FBR,1,N,N,24000,,
T78FDS,1,J,J,,,
T81FBF,1,J,J,24000,,
T82FFV,1,J,J,16000,,
T85DJL,1,N,J,2450,,
T85DJL,2,N,J,2800,,
T85DZP,1,J,J,12000,,
T88DVH,1,J,J,10000,,
T88DVH,2,J,J,19500,,
T92BJX,1,N,N,1250,,
T93FDZ,1,J,J,6500,,
T98BXP,1,J,J,8800,,
T98DRH,1,N,J,4550,,
T98FGS,1,J,J,7500,,
T99FFP,1,J,J,2450,,
T99FFP,2,J,J,2800,,
TKH49V,1,J,J,24000,,
TKS18F,1,J,J,20000,,
TKS19F,1,J,J,20000,,
TKS20F,1,J,J,20000,,
