OBJECTID;Fractie;BVG_X;BVG_Y;Plaatsing;Volume
1;Rest;112517,210700001570000;426263,092599999160000;ondergronds;5
2;Textiel;111860,948300000280000;426491,670200001450000;ondergronds;5
3;Rest;113195,193900000300000;426140,797400001440000;ondergronds;5
4;Papier;113385,125599998980000;426002,608199998740000;ondergronds;5
5;Rest;113335,337200000880000;426077,333799999210000;ondergronds;5
6;Rest;113335,337200000880000;426077,333799999210000;ondergronds;5
7;Rest;113604,948199998590000;426175,227000001820000;ondergronds;5
8;Rest;112337,814199998970000;426526,989599999040000;ondergronds;5
9;Rest;112827,283799998460000;426220,760000001640000;ondergronds;5
10;Kunststof/ Plastic;110139,062600001690000;426818,457499999550000;ondergronds;5
11;Rest;114012,778999999170000;426378,388000000270000;ondergronds;5
12;Rest;110260,033100001510000;426785,151999998840000;ondergronds;5
13;Papier;112360,031500000510000;426113,883799999950000;ondergronds;5
14;Papier;112925,191300001000000;425748,805399999020000;ondergronds;5
15;Papier;112537,183400001380000;426347,810800001030000;ondergronds;5
16;Rest;113490,945999998600000;426141,925000000750000;ondergronds;5
17;Papier;113298,281300000850000;425833,443300001320000;ondergronds;5
18;Glas wit;114037,828499998900000;426303,336699999870000;ondergronds;5
19;Textiel;114037,828499998900000;426303,336699999870000;ondergronds;5
20;Papier;112587,313499998300000;425870,469000000510000;ondergronds;5
21;Kunststof/ Plastic;111860,948300000280000;426491,670200001450000;ondergronds;5
22;Papier;113598,167700000110000;426436,232400000100000;ondergronds;5
23;Papier;112360,031500000510000;426113,883799999950000;ondergronds;5
24;Rest;112079,680300001060000;426228,708500001580000;ondergronds;5
25;Rest;113490,945999998600000;426141,925000000750000;ondergronds;5
26;Rest;112149,418499998750000;426288,935499999670000;ondergronds;5
27;Rest;110879,794599998740000;426776,756900001320000;ondergronds;5
28;Papier;113635,478300001470000;425605,733500000090000;ondergronds;5
29;Rest;111103,962600000200000;426827,790199998770000;ondergronds;5
30;Papier;112587,313499998300000;425870,469000000510000;ondergronds;5
31;Kunststof/ Plastic;112958,554900001730000;425815,915600001810000;ondergronds;5
32;Papier;112250,172200001780000;426078,118200000380000;ondergronds;5
