Kenteken,Brandstof volgnummer,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,Brandstofverbruik stad,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Geluidsniveau rijdend,Geluidsniveau stationair,Emissieklasse,Milieuklasse EG Goedkeuring (licht),Milieuklasse EG Goedkeuring (zwaar),Uitstoot deeltjes (licht),Uitstoot deeltjes (zwaar),Nettomaximumvermogen,Nominaal continu maximumvermogen,Roetuitstoot,Toerental geluidsniveau,Emissie deeltjes type1 wltp,Emissie co2 gecombineerd wltp,Emissie co2 gewogen gecombineerd wltp,Brandstof verbruik gecombineerd wltp,Brandstof verbruik gewogen gecombineerd wltp,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch,Klasse hybride elektrisch voertuig,Opgegeven maximum snelheid,Uitlaatemissieniveau
0001TJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0001TV,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0001VH,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0001VM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0002GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0002MJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0002UJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0002VK,1,Benzine,,,,,,,,0,,,,,37.00,,,,,,,,,,,,,,,,,,,,
0002XK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0002ZA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0002ZK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0003GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0003TH,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0003TJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0003VX,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0003ZB,1,Diesel,,,,,,,,0,,,,,81.00,,,,,,,,,,,,,,,,,,,,
0004ME,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0004PF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0004PS,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0004VS,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0004ZT,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0005DR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
