OBJECTID,NAAM,DETAIL,CATEGORIE,MUTATIEDATUM,BOOGSTRAAL,GEOSUBCODE_PVR,KM_GEOCODE_PVR,SPOORNAAM_PVR,GEOSUBCODE,KM_GEOCODE,SPOORNAAM,RECHTSTAND,BINNENZIJDEBOOG,POSITIONELE_NAUWKEURIGHEID_MM,KWALITEIT,PROCESSTATUS,OBSTAKEL_ID,RECHTSTAND_VERTICAAL,SNELHEID,REF_FUNC_SPOORTAK_NAAM_LANG,VERKANTING,BOOGSTRAAL_VERTICAAL,MEETDATUM,REF_FUNCTIONELE_SPOORTAK_PUIC,Shape__Length
1,531-2022-16-1263,,Bovenleiding,2022/09/21 11:40:08+00,0,531_c,35.122,7,531_c,35.121667,7,Y,N,250,Hoog,Voorlopig,308227,Y,80,531_2679R_34.7,4.24399158193054e-314,4.24399602852136e-314,2022/04/20 10:00:00+00,e4a8d30c-0e51-4ccb-8f1a-b4b9359724ed,1.67781792814358
2,531-2022-25-1453,,Rijdraad,2022/10/05 11:40:48+00,9000,531_c,35.132,7,531_c,35.131243,7,Y,N,250,Hoog,Voorlopig,309430,Y,80,531_2679R_34.7,4.24399158193054e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,e4a8d30c-0e51-4ccb-8f1a-b4b9359724ed,0.290241278938748
3,109-2022-16-1371,,Bovenleiding,2022/09/21 10:44:23+00,1378,109__,31.591,s2-s12,109__,31.591374,s2-s12,N,N,250,Hoog,Voorlopig,305721,Y,80,109_233AR_32.3,4.24399160021097e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,994b151e-3b22-4bdb-9ee4-6ac4bd1b3230,0.717731147436141
4,133-2018-41-4052,,Paal,2020/03/05 14:40:35+00,9000,133_a,14.609,1077B,133_a,14.610267,1077B,Y,N,250,Hoog,Definitief,208483,,,133_1063AL_13.8,,,2018/10/11 00:00:00+00,3e54f637-fa43-486f-bdda-07c028fadf6c,1.95538896386371
5,163-2021-44-0331,,Bovenleiding,2021/11/18 18:15:21+00,9000,163__,47.542,HB,163__,47.54119,HB,Y,N,250,Hoog,Voorlopig,284449,Y,60,555_387V_84.4,4.24399158291868e-314,4.24399602852136e-314,2021/11/01 00:00:00+00,2e889544-fbda-4f64-aa63-53c63713db6e,1.77281019852662
6,109-2022-16-1555,,Rijdraad,2022/09/21 10:46:32+00,9000,109__,33.564,VN,109__,33.56413,VN,Y,N,250,Hoog,Voorlopig,305905,N,80,562_161R_61.2,4.24402396002858e-314,4.24399384326901e-314,2022/04/24 00:00:00+00,e177435a-9507-479b-bc84-c488b8d504e0,0.283989436423259
7,531-2022-25-1868,,Bovenleiding,2022/10/05 11:48:47+00,672,531_c,33.965,w2321r-s215,531_c,33.964741,w2321R-s215,N,Y,250,Hoog,Voorlopig,309845,Y,80,531_2321R_33.6,4.2439916011991e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,390afe17-8e89-48eb-8bea-1f3a9e1c16a6,1.66472400114854
8,133-2018-41-2871,,Paal,2020/07/22 05:51:53+00,2336,133_a,11.635,RB1,133_a,11.635542,RB1,N,N,250,Hoog,Definitief,230798,,,133_1045BL_13.6,,,2018/10/09 00:00:00+00,529095aa-4c15-4107-9305-10e54902f432,2.56339930560964
9,133-2018-41-2340,,Paal,2020/03/05 14:42:51+00,9000,133_a,15.071,1087B,133_a,15.071579,1087B,Y,N,250,Hoog,Definitief,208722,,,133_1071V_14.6,,,2018/10/08 00:00:00+00,15b28b75-62d5-4871-a1ac-70b9af3e6396,1.54681123605953
10,109-2022-16-1579,,Rijdraad,2022/09/21 10:46:32+00,9000,109__,33.914,VN,109__,33.913636,VN,Y,N,250,Hoog,Voorlopig,305929,Y,80,562_161R_61.2,4.24399158193054e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,e177435a-9507-479b-bc84-c488b8d504e0,0.272809457314075
11,117-2021-05-0437,,Rijdraad,2021/10/21 16:24:49+00,9000,117__,10.721,GR,117__,10.720679,GR,Y,N,250,Hoog,Definitief,270969,,,117_1BL_15.5,,,2021/02/05 00:00:00+00,e7e68f7e-eee3-456c-95a4-8beb21d24026,0.279866039383131
12,163-2021-34-0174,,Rijdraad,2021/11/18 19:04:13+00,9000,163__,43.698,HG,163__,43.69314,HG,Y,Y,250,Hoog,Voorlopig,284683,Y,140,664_907BV_43.3,4.24402396052264e-314,4.24399602852136e-314,2021/08/23 00:00:00+00,dcc17448-b33c-4cc9-b1fe-2bd522bb8e9a,0.275936586918082
13,098-2022-27-1289,,Rijdraad,2022/11/07 13:36:55+00,9000,098__,28.886,3867,098__,28.886445,3867,Y,N,250,Hoog,Voorlopig,311244,Y,140,098_3831L_27.8,4.24402396002858e-314,4.24399602852136e-314,2022/07/06 00:00:00+00,884f3fee-f7c2-47c3-b42e-505d0e73ea73,0.279458404776095
14,508-2022-05-0386,,Rijdraad,2022/06/29 10:19:40+00,9000,508__,91.753,10,508__,91.750911,10,Y,N,250,Hoog,Voorlopig,303896,N,80,508_2117L_91.4,4.2439915868712e-314,4.24399229486727e-314,2022/02/06 00:00:00+00,070dafde-313b-4a73-b606-25761ad9bc88,0.521648348986173
15,041-2022-05-0037,,Rijdraad,2022/12/21 09:12:31+00,9000,041__,7.02,BE,041__,7.019538,BE,Y,Y,250,Hoog,Definitief,315406,Y,140,510_403L_9.7,4.24399158193054e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,d9e5ef93-0a73-4062-9717-401c354eaef1,0.273592763062183
16,133-2018-41-2928,,Paal,2020/07/22 05:53:14+00,9000,133_a,13.137,RB1,133_a,13.136641,RB1,Y,N,250,Hoog,Definitief,230853,,,133_1045BL_13.6,,,2018/10/09 00:00:00+00,529095aa-4c15-4107-9305-10e54902f432,2.0069838066113
17,531-2022-25-2150,,Rijdraad,2022/10/05 11:59:46+00,556,531_c,34.03,w1473v-s52,531_c,34.028854,w1473V-s52,N,N,250,Hoog,Voorlopig,310127,Y,40,531_1473V_1.0,4.24402396052264e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,72eac289-e733-4f44-a78e-ca4e92ecf91e,0.238321211812965
18,924-2020-08-0912,,Overig,2020/03/31 13:49:43+00,2945,924_a,35.378,w27-41r-w35-41v,924_a,35.37886,w35-41V-w27-41R,N,Y,250,Hoog,Definitief,210006,,,924_27-41R_35.4,,,2020/02/19 00:00:00+00,e800ed0f-8864-4ff1-814f-7a5d576ac8bf,1.2663403965759
19,133-2018-41-2702,,Paal,2020/07/22 06:07:28+00,2943,133_a,16.637,HA,133_a,16.637708,HA,N,N,250,Hoog,Definitief,231222,,,133_1087BV_15.1,,,2018/10/09 00:00:00+00,94ad357c-0e21-4b8e-aaf4-038f373406a2,2.06301623842373
20,514-2022-05-0316,,Bovenleiding,2022/06/30 09:38:07+00,1433,514_b,65.196,sWN-w49Av,514_b,65.196393,sWN-w49AV,N,N,250,Hoog,Voorlopig,304381,N,100,514_49AV_65.2,4.24399159774065e-314,4.24399404484779e-314,2022/02/05 00:00:00+00,c95bc0f4-6a92-4ee7-a3fe-744321b9be3c,1.89812038606617
21,547-2022-25-1068,,Rijdraad,2022/10/05 12:06:52+00,9000,547_c,37.679,SA,547_c,37.683966,SA,Y,N,250,Hoog,Voorlopig,310533,Y,140,531_2775R_35.7,4.24399158291868e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,e351c951-787e-4941-bc30-2ef1b2024494,0.220617315730203
22,133-2018-41-3890,,Paal,2020/03/05 14:42:10+00,3380,133_a,14.949,s123-w1083Av,133_a,14.950059,s123-w1083AV,N,N,250,Hoog,Definitief,208631,,,133_1077BV_14.6,,,2018/10/11 00:00:00+00,38a38817-f7ee-4296-9adb-e6ef1b999b69,1.2662231240978
23,555-2021-40-1009,349-2,Wisselbediening,2021/11/18 11:22:38+00,9000,555__,84.275,377,555__,84.284218,349/377,Y,Y,250,Hoog,Voorlopig,284411,Y,100,555_349S_84.3,4.243991585389e-314,4.24399602852136e-314,2021/10/07 00:00:00+00,569af6cd-2675-4f2c-9053-8ca94f346326,4.416
24,109-2022-16-1337,,Rijdraad,2022/09/21 10:44:23+00,1032,109__,31.192,w241Av-s2,109__,31.191828,w241AV-s2,N,N,250,Hoog,Voorlopig,305687,Y,40,109_233AR_32.3,4.24399158440087e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,994b151e-3b22-4bdb-9ee4-6ac4bd1b3230,0.293470611816584
25,133-2018-41-3649,,Paal,2020/03/05 14:16:08+00,9000,133_a,13.506,w1047Bv-s113,133_a,13.50631,w1047BV-s113,Y,N,250,Hoog,Definitief,207735,,,133_1047BV_13.5,,,2018/10/11 00:00:00+00,399842f7-a918-4383-baf0-fd8c5517ff73,0.995158278868241
26,096-2022-27-1054,,Rijdraad,2022/11/07 13:39:46+00,680,096_b,104.759,UB,096_b,104.758504,UB,N,Y,250,Hoog,Voorlopig,311519,Y,1,096_497V_104.4,4.24399161355075e-314,4.24399602852136e-314,2022/07/06 00:00:00+00,8b0333a5-63e6-44e5-b635-1efc00f4bb92,0.207067621805052
27,133-2018-41-3512,,Rijdraad,2020/03/05 14:55:46+00,9000,133_a,15.378,HZ,133_a,15.37891,HZ,Y,N,250,Hoog,Definitief,208889,,,133_1083BV_15.2,,,2018/10/11 00:00:00+00,e23b1090-10b2-4114-954b-8a55b22286e6,0.264801812682617
28,163-2021-40-8044,,Rijdraad,2022/03/11 13:02:01+00,9000,163__,47.885,sLB-sLA,163__,47.898413,sLB-sLA,Y,N,250,Hoog,Voorlopig,300744,Y,130,555_379V_84.4,4.24402396052264e-314,4.24399602852136e-314,2021/10/07 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,0.251467691761785
29,047-2022-05-0049,,Bovenleiding,2022/06/29 10:05:01+00,9000,047__,59.535,NW,047__,59.534448,NW,Y,N,250,Hoog,Voorlopig,302916,Y,1,514_49BS_65.3,4.24399158785933e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,de4ae7c5-2a2d-4770-a8e0-aacf27a781aa,1.66024395797726
30,133-2018-41-2341,,Paal,2020/03/05 14:42:49+00,9000,133_a,15.064,1087B,133_a,15.064618,1087B,Y,N,250,Hoog,Definitief,208717,,,133_1071V_14.6,,,2018/10/08 00:00:00+00,15b28b75-62d5-4871-a1ac-70b9af3e6396,1.55984774898065
31,047-2022-05-0083,,Bovenleiding,2022/06/29 10:05:01+00,9000,047__,53.79,RE,047__,53.790362,RE,Y,N,250,Hoog,Voorlopig,302950,Y,130,047_71L_52.2,4.24402396002858e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,c31df4c6-061b-4d77-bf4e-c5953c9d3871,0.949503027904598
32,508-2022-05-0147,,Rijdraad,2022/12/21 09:12:31+00,1257,508__,91.778,10,508__,91.776124,10,N,N,250,Hoog,Definitief,314974,N,80,508_2117L_91.4,4.24399159823471e-314,4.24402014930025e-314,2022/02/05 00:00:00+00,070dafde-313b-4a73-b606-25761ad9bc88,0.265746119444857
33,924-2020-05-0882,,Overig,2020/03/31 13:49:29+00,1852,924_a,35.501,226,924_a,35.501401,226,N,N,250,Hoog,Definitief,209976,,,924_3531L_35.3,,,2020/01/28 00:00:00+00,1af3d0d8-5d8d-4378-84c4-3e48b7ebfb5f,1.27632950291059
34,133-2018-41-2342,,Paal,2020/03/05 14:42:48+00,9000,133_a,15.063,1087B,133_a,15.063626,1087B,Y,N,250,Hoog,Definitief,208716,,,133_1071V_14.6,,,2018/10/08 00:00:00+00,15b28b75-62d5-4871-a1ac-70b9af3e6396,1.53875274167099
35,924-2021-12-0275,,Rijdraad,2021/10/21 16:24:49+00,635,924_a,36.978,w3759v-w3767/3781Aq,924_a,36.97769,w3759V-w3767/3781AQ,N,N,250,Hoog,Definitief,277494,,,924_3759V_36.9,,,2021/03/28 00:00:00+00,2a5ce70f-b245-456a-b652-c28f2f07dd74,0.25551907952245
36,532-2022-25-1038,,Bovenleiding,2022/11/07 13:48:22+00,3206,532__,10.888,sDO-w1037r,532__,10.887544,sDO-w1037R,N,Y,250,Hoog,Voorlopig,312217,Y,140,532_1037R_11.2,4.24399159329405e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,45e5fa27-8744-46b2-83fe-a0136b7ee60e,0.773389940456947
37,102-2022-20-1310,,Bovenleiding,2022/12/20 07:31:46+00,9000,102__,14.483,LD,102__,14.482978,LD,Y,N,250,Hoog,Voorlopig,314217,Y,120,623_365V_17.0,4.24399158242461e-314,4.24399602852136e-314,2022/05/21 00:00:00+00,e82ffaca-cc4b-431c-aaf4-2aec9f5f2e46,0.494968685878208
38,588-2022-27-1013,,Rijdraad,2022/11/07 15:03:00+00,9000,588__,2.058,MU,588__,2.063068,MV,Y,N,250,Hoog,Voorlopig,312279,N,1,588_341BV_1.1,4.243991585389e-314,4.24402044030492e-314,2022/07/06 00:00:00+00,91b66371-57b3-4d4c-a79a-ba67a8aaa0c5,0.268888452708553
39,531-2022-25-1714,,Rijdraad,2022/10/05 11:46:13+00,9000,531_c,35.132,7,531_c,35.132057,7,Y,N,250,Hoog,Voorlopig,309691,Y,80,531_2679R_34.7,4.24402396052264e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,e4a8d30c-0e51-4ccb-8f1a-b4b9359724ed,0.267419146659322
40,109-2022-16-1401,,Rijdraad,2022/09/21 10:44:23+00,9000,109__,29.514,VR,109__,29.51381,VR,Y,Y,250,Hoog,Voorlopig,305751,Y,100,109_243AL_31.0,4.24399158193054e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,3e1aeee2-abd1-4265-a325-1297b1c80778,0.290396280967921
41,133-2018-41-2896,,Paal,2020/07/22 05:52:28+00,9000,133_a,13.037,RB1,133_a,13.037131,RB1,Y,N,250,Hoog,Definitief,230823,,,133_1045BL_13.6,,,2018/10/09 00:00:00+00,529095aa-4c15-4107-9305-10e54902f432,1.96340647854692
42,133-2018-41-3007,,Paal,2020/07/22 06:09:33+00,9000,133_a,15.301,HB,133_a,15.297135,HB,Y,N,250,Hoog,Definitief,231257,,,133_1087AR_15.0,,,2018/10/09 00:00:00+00,685accac-470c-447b-9c37-7ad230ac4a12,1.04721440020657
43,036-2022-05-9164,,Rijdraad,2022/12/21 09:20:15+00,9000,036__,78.356,AW,036__,78.355804,AW,N,N,250,Hoog,Definitief,315794,N,140,036_199V_77.2,4.24399158193054e-314,4.24399362439792e-314,2022/02/05 00:00:00+00,da73ead1-e9f5-483c-91d5-44b0bc36fccd,0.225
44,163-2021-34-0058,,Rijdraad,2021/11/18 18:53:45+00,1842,163__,44.505,w969v-w971v,163__,44.505014,w969V-w971V,N,Y,250,Hoog,Voorlopig,284567,N,130,163_969V_44.4,4.24399159527032e-314,4.2440222871223e-314,2021/08/23 00:00:00+00,ddb3a92d-9bd3-4b84-95bf-774dc9ea38b0,0.271189970316013
45,027-2022-25-1001,,Rijdraad,2022/11/07 13:30:46+00,9000,027__,149.362,DZ,027__,149.361776,DZ,Y,N,250,Hoog,Voorlopig,310927,Y,80,027_955BV_149.2,4.24399158193054e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,69381260-b6d0-4668-b877-a1fb559d7aea,0.27701624501101
46,133-2018-41-3231,,Paal,2020/03/05 14:19:08+00,1399,133_a,14.048,106,133_a,14.048914,106,N,N,250,Hoog,Definitief,208035,,,133_1061R_13.8,,,2018/10/10 00:00:00+00,95209470-d7bf-40ba-a51d-60c353d07087,1.95548919710644
47,562-2022-05-0001,,Bovenleiding,2022/12/21 09:12:31+00,9000,562_b,61.466,w161l-sAV,562_b,61.465803,w161L-sAV,Y,N,250,Hoog,Definitief,315122,Y,140,562_161L_61.2,4.24402396002858e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,2bb32c2b-8bea-4ba6-99ba-08e817827f93,3.3986847456038
48,047-2022-05-0026,,Bovenleiding,2022/12/21 09:12:31+00,9000,047__,63.885,NW,047__,63.885683,NW,Y,Y,250,Hoog,Definitief,315492,Y,1,514_49BS_65.3,4.24399158193054e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,de4ae7c5-2a2d-4770-a8e0-aacf27a781aa,2.14257251919276
49,098-2022-25-1215,,Rijdraad,2022/10/05 11:24:12+00,9000,098__,28.805,3865,098__,28.805092,3865,Y,Y,250,Hoog,Voorlopig,308905,Y,80,098_3865R_28.8,4.24399158193054e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,2a939d3a-cd83-4ee0-8b15-6e7f87c12f71,0.270933571194121
50,096-2022-27-1075,,Bovenleiding,2022/11/07 13:39:46+00,402,096_b,105.193,UP,096_b,105.196473,UP,N,Y,250,Hoog,Voorlopig,311540,N,1,526_495L_104.3,4.24399162936085e-314,4.2440238676383e-314,2022/07/06 00:00:00+00,6355b66c-99a3-40b0-8b8d-e3f361d368c8,0.6640911082073
51,099-2022-25-1051,,Rijdraad,2022/11/07 13:37:55+00,9000,099__,5.235,BA,099__,5.235422,BA,Y,N,250,Hoog,Voorlopig,311402,N,130,099_1021BR_6.2,4.24399158193054e-314,4.24399411055852e-314,2022/06/26 00:00:00+00,a6f07c69-bb12-4bc2-b067-5941b0f1d8dc,0.285243755409299
52,125-2021-05-0231,,Rijdraad,2021/10/21 16:24:49+00,9000,125__,25.516,AF,125__,25.51587,AF,Y,N,250,Hoog,Definitief,271819,,,551_161AR_23.6,,,2021/02/05 00:00:00+00,1e036068-f728-4ff5-adb9-5ab71d3af682,0.261266147826311
53,163-2021-34-0472,,Bovenleiding,2022/03/04 09:40:12+00,9000,163__,43.727,w919Bv-sLF,163__,43.730136,w919BV-sLF,Y,N,250,Hoog,Voorlopig,299504,N,140,163_919BV_43.6,4.24399158193054e-314,4.24402005147525e-314,2021/08/23 00:00:00+00,3d1c9475-fb70-41f5-a290-4e49fefbaffb,0.236636852582179
54,531-2022-25-1867,,Bovenleiding,2022/10/05 11:48:47+00,801,531_c,33.939,w2321r-s215,531_c,33.938956,w2321R-s215,N,N,250,Hoog,Voorlopig,309844,Y,130,531_2321R_33.6,4.24399159922284e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,390afe17-8e89-48eb-8bea-1f3a9e1c16a6,0.836615204260597
55,531-2022-25-1618,,Rijdraad,2022/10/05 11:45:29+00,9000,531_c,35.366,18,531_c,35.364494,18,Y,N,250,Hoog,Voorlopig,309595,Y,80,531_2661L_34.8,4.24402396052264e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,89b1d473-28f9-4af7-a339-b39d8e1fd966,0.297808663406557
56,047-2022-05-0611,,Bovenleiding,2022/06/29 10:10:54+00,9000,047__,59.705,WN,047__,59.705425,WN,Y,N,250,Hoog,Voorlopig,303474,N,130,514_49AV_65.2,4.24399158884746e-314,4.24402381279702e-314,2022/02/05 00:00:00+00,c95bc0f4-6a92-4ee7-a3fe-744321b9be3c,0.489652938314476
57,531-2022-25-2646,,Rijdraad,2022/11/07 15:17:25+00,9000,531_c,35.125,19,531_c,35.12567,19,Y,N,250,Hoog,Voorlopig,312439,Y,80,531_2661R_34.8,4.24399158242461e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,466f0f5c-cf6f-4622-bdf7-18f3fe8b0b33,0.276349416500198
58,531-2022-25-2986,,Rijdraad,2023/02/01 15:44:51+00,475,531_c,34.019,w2323v-s214,531_c,34.018787,w2323V-s214,N,Y,250,Hoog,Voorlopig,316725,Y,80,531_2323V_33.8,4.24399162046767e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,c0a8dd67-6ec4-4674-86e5-78288932dff2,0.260768096208106
59,124-2021-25-0477,,Rijdraad,2021/12/29 05:15:26+00,9000,124_a,3.799,202a,124_a,3.798459,202a,Y,N,250,Hoog,Definitief,286868,,,124_207V_3.7,,,2021/06/24 00:00:00+00,45f3b589-e77d-49ce-988a-34f0a83c95e3,0.256766430827708
60,508-2022-05-9348,,Rijdraad,2022/12/21 09:20:15+00,9000,508__,91.707,6a,508__,91.706433,6a,N,N,250,Hoog,Definitief,315818,Y,40,508_2107R_91.5,4.24399158193054e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,2792f455-d62c-4fa3-8381-e95cf5cd960e,0.28
61,047-2022-05-0617,,Bovenleiding,2022/06/29 10:10:54+00,9000,047__,59.59,WN,047__,59.589394,WN,Y,N,250,Hoog,Voorlopig,303478,N,130,514_49AV_65.2,4.24399159625845e-314,4.24401958606542e-314,2022/02/05 00:00:00+00,c95bc0f4-6a92-4ee7-a3fe-744321b9be3c,3.24126719046733
62,163-2021-40-7213,,Rijdraad,2022/03/11 13:01:37+00,9000,163__,44.625,963B,163__,44.627563,963B,Y,N,250,Hoog,Voorlopig,300699,Y,130,163_961V_44.4,4.24399158341274e-314,4.24399602852136e-314,2021/10/07 00:00:00+00,cc5472a3-d38b-4eb8-98ab-35dea54995ec,0.277281445466515
