Rijlabels;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
A. Agterberg B.V.;;1;;;;1
ABR Kantoorinrichting B.V.;;;;;1;1
AH to go Eindhoven Airport;;;;;2;2
Airyx GmbH;;2;;;;2
anoniem 173;;;;;1;1
anoniem 384;;1;;;;1
anoniem 390;;1;;;;1
Banketbakkerij Jurjus;;1;;;;1
Boender Recreatie Afvalbakken B.V.;;1;;;;1
Bouw en Montage De Koning B.V.;;;1;;;1
Bouwbedrijf Bos Terschelling B.V.;;1;;;;1
Brakenhoff Verhuizingen B.V.;;;;1;;1
BVI Services B.V.;;2;;;;2
Camelot Vastgoedbeheer en Beveiliging B.V.;;1;;;;1
Catec B.V.;;1;;;;1
Dunea N.V.;;;1;;;1
E.A.L. Electronic Application Laboratory B.V.;;4;;;;4
Ecotap B.V.;;1;;;;1
Edego Bouwservice & Dienstverlening;;1;;;;1
Eden Springs Nederland B.V.;;;1;;;1
Elek.-Techn. Inst.bur. Ben van Schoor B.V.;;1;;;;1
Eneco Services B.V.;;;7;;;7
Erdi Wegbebakening B.V.;;1;;;;1
EUROPEAN TECH SERV NV;;2;;;;2
EVBox B.V.;;1;;;;1
Fugro NL Land B.V.;;2;;;;2
G. LUFFT MESS- UND REGELTECHNIK GMB;;5;;;;5
Geotherm E.S.;;1;;;;1
Green Energy Facilities B.V.;;;;;4;4
Handels- en Ingenieursbur. Bakker & Co. B.V.;;2;;;;2
HaskoningDHV Nederland B.V.;;2;;;;2
Hiltra Verhuur B.V.;;;;;1;1
Hoveniersbedrijf Kees de Bruin B.V.;;3;;;;3
I/O Marine Systems;;1;;;;1
Impressive Move B.V.;;;;1;;1
Inbraakpreventie 'M.I.B.' B.V.;;1;;;;1
Industrieel Klimmen B.V.;;2;;;;2
Ingenieursbureau Ebatech B.V.;;1;;;;1
Installatiebedrijf Traa B.V.;;1;;;;1
Interpomp B.V.;;1;;;;1
Interscience B.V.;;;;;3;3
Joulz Infradiensten B.V.;;2;;;;2
Julo Systeemwanden en Kantoorinr. B.V.;1;2;;;;2
KINEMETRICS;;4;;;;4
Klimaatservice Holland B.V.;;1;;;;1
Koninklijke Maatschap de Wilhelminapolder;;1;;;;1
Lens Techn. Handelsond. Plaatw. en Coat. B.V.;;1;;;;1
Lisle Design Ltd;;1;;;;1
Metos B.V.;;1;;;;1
MingChan.nl Holding B.V.;;1;;;;1
NKS Soesterberg B.V.;;2;;;;2
PILLER GERMANY GMBH & CO. KG;;2;;;;2
PZEM Energy B.V.;;;3;;;3
Q-Park AZM;;2;;;;2
Rentokil pest control;;2;;;;2
Restaurant Schietbaan Europoort C.V.;;;;;2;2
Roompot Service B.V.;;;1;;;1
Rotterdam Airport B.V.;;1;;;;1
Rovato Techniek B.V.;;1;;;;1
Schiphol Real Estate B.V.;;;;;2;2
SCISYS;;2;;;;2
Shimadzu Benelux;;;;;2;2
Signa Terra B.V.;;3;;;;3
Sim Holland B.V.;;3;;;;3
Stedin;;;1;;;1
STERELA;;2;;;;2
Stichting Polderhuis Museum;;1;;;;1
Technische Unie B.V.;;1;;;;1
Ten Brinke Interieurbeplanting B.V.;;1;;;;1
ToekomstBouw B.V.;;1;;;;1
Transp.- en Aann.bedr. B.J.A. Lesker B.V.;;;;;2;2
Ucility B.V.;;;;;1;1
Unica Installatietechniek;;7;;;;7
UTS Verkroost Nijmegen B.V.;;;;;1;1
VAISALA;;2;;;;2
Van Enckevort Groothandel B.V.;;1;;;;1
Van Kats Machines B.V.;;1;;;;1
Vitens N.V.;;;1;;;1
Vloerenbedrijf Het Zuiden B.V.;;1;;;;1
Voerman International B.V.;;;;1;1;1
W. Schuurman Elektrotechnische Groothandel;;1;;;;1
Wegro Kleinmetaal;;1;;;;1
Westland Infra Netbeheer B.V.;;;1;;;1
Y-con Beheer B.V.;;2;;;;2
Zetacom B.V.;;1;;;;1
ZVU.NU B.V.;;1;;;;1
Eindtotaal;1;7;7;1;5;8
