Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
ABB B.V.;;;;;;;1;1
ABF Research B.V.;;;2;2;;;;2
AC Plus Automatisering B.V.;;;;2;;;;2
Advisie Business Consultants;;;;2;;;;2
Aiwos;;;;1;;;;1
Amazon Web Services Netherlands B.V.;;;;2;;;;2
Andriessen & Partners B.V.;;;;4;;;;4
Anoigo;;2;;2;;;;3
Apples n berrys;;;;;;1;;1
Archivision Digital Imaging B.V.;;;;2;;;;2
ArchiXL B.V.;;;;1;;;;1
Armatiek B.V.;;;;1;;;;1
Asp4all Hosting B.V.;1;;1;1;1;;;2
Atlantic Telecom Business B.V.;;;;;;1;;1
Atos Nederland B.V.;5;3;1;8;;3;9;9
Aura Software B.V.;;;1;;;;;1
Avex B.V.;;;;1;;2;1;2
Axiell ALM Netherlands B.V.;1;;;3;;1;1;3
Azerty;;;;1;;;;1
Belstore.Com B.V.;;;;;;2;;2
BigTrees B.V.;;;;4;;;;4
Black Box Datacom B.V.;;;;1;;;;1
BlinkLane Consulting B.V.;;;;2;;;;2
Bloemendaal Consultancy B.V.;;;;2;;;;2
Bluedesk CRM B.V.;;;2;1;;;;2
BlueKnowledge Consultancy B.V.;;1;;;;;1;2
blueriq;;;;1;;;;1
bol.com B.V.;;;;1;;;;1
b-open B.V.;;;;1;;;;1
Bouwcombinatie DUO2 V.O.F.;;2;;;;;;2
BPI Services B.V.;;2;;1;;;1;2
Brisk ICT B.V.;;;;1;;;;1
Bron-it;;;;;;;1;1
Brunel Nederland B.V.;;;;7;;;;7
BTC Mediatest B.V.;;;;;1;;;1
Bureau Hoving & Van Bon B.V.;;;;2;;;;2
Buyitdirect.Com N.V.;1;;;;;;;1
Bys Hosting B.V.;;;;1;;;;1
Byte B.V.;;;;1;;;;1
Caesar Accounts;;;;;;;1;1
Caesar Groep Rotterdam B.V.;;;;;;;2;2
Canon Nederland N.V.;1;4;;1;;1;1;4
Capgemini Nederland B.V.;;;;8;;;7;8
Capwell B.V.;;;;1;;;;1
Carthago ICT;;;;2;;;;2
Caseware;;;;1;;;;1
CCG Retail B.V.;;;;1;;;;1
Cendris Dataconsulting B.V.;;;;1;;;;1
Centric;;;;4;;;;4
Centric Netherlands B.V.;;;;;2;;;2
Centric Test & Security Professionals B.V.;;;1;;;;;1
CGI Nederland B.V.;;3;;8;;;4;8
Chaos;;;;1;;;;1
Cimsolutions;;;;7;;;2;7
Cinnamon Interactive B.V.;;;;1;;;1;1
Circle Software Group B.V.;;;;2;;;;2
Citrus;;;;6;;;;6
Claranet Benelux B.V.;1;;;1;;;;1
Clockwork B.V.;;;;;2;;;2
CM Telecom B.V.;;;;;;1;;1
Code Internet Applications B.V.;;;1;;;;;1
Community Network Groningen B.V.;3;;;;2;;;3
COMPAREX Nederland B.V.;1;7;7;8;4;1;3;8
Computer Marketing Associatie B.V.;;;;1;;;;1
Comsoft direct B.V.;;;;2;;;;2
Conoscenza;;;;3;;;;3
Conquaestor B.V.;;;;3;;;;3
Dayon;;;;1;;;;1
Dazelle;1;;;;;;;1
De Lage Landen Financiering B.V.;1;;;;;;;1
Defacto Automatisering B.V.;;;;2;;;;2
Delaware Consulting B.V.;;;;4;;;2;4
Delving B.V.;;;;;;;2;2
Denkschets.nl;;;;;;;1;1
Detron ICT Onderhoud;;;;1;;;;1
Dimensional Insight Netherlands;;;1;;;;;1
DMS Projekten B.V.;;;;1;;;;1
Docspro B.V.;;2;;;;;;2
DPI Animation House B.V.;2;;;;;;;2
Elogio;;;;2;;;;2
EM-Cultuur B.V.;;;;1;;;;1
EN4S B.V.;;;;2;;;2;3
Eneco Zakelijk;;;;;;;1;1
Enrise B.V.;;;;1;;;;1
ESN Automatisering B.V.;3;;1;1;;1;1;3
ESN Service en Netwerkbeheer B.V.;1;2;;1;;1;2;3
ESN Software B.V.;;1;1;1;;1;;1
Esprit Telecom;;;;;;1;;1
Esri Nederland;;;;2;;;;2
Exact Software Nederland B.V.;;;;1;;;;1
EXED B.V.;;;;;;;1;1
Fairbanks N.V.;1;;;;;;;1
Falco Networks;;;;2;;;;2
Forza ICT;;;;3;;;;3
FreshConnections B.V.;;;;2;;;;2
Frontwise;;;;1;;;;1
G10 B.V.;;;;1;;;;1
Gemnet B.V.;;;;;;1;;1
Geodan B.V.;;;1;2;;;1;2
Get There Holding B.V.;;;;3;;;;3
Global Textware B.V.;;;;1;;;;1
Haptikos;;;;1;;;1;1
Harvey Nash B.V.;;;;7;;;4;7
Hawi Software Development B.V.;;;;1;;;;1
HeadFirst B.V.;;;;7;;;3;7
Health2Work B.V.;;;1;;;;;1
Het Expertise Centrum;;;;4;;;;4
Hippo B.V.;;;;;;;2;2
Hofkes Frölke Meekel Organisatiepsychol. B.V.;;;1;;;;;1
Hostice;;;;;;;1;1
Hostnet B.V.;;;;;;;1;1
i Factors Rotterdam;3;;;;;;;3
i3 groep;;6;;1;2;;;6
IBM Nederland B.V.;;1;1;;;;;1
Icorp.NL B.V.;;;;;;1;;1
IlionX Group B.V.;;2;;4;;;;4
Ilumy Holding B.V.;;;;1;;;;1
Infoprojects;;;;2;;;;2
Informatica Nederland B.V.;;;;1;;;;1
Infotopics B.V.;;;;1;;;;1
InfraControl B.V.;;;2;;;;1;3
Ingenico e-Commerce Solutions B.V.;;;;1;;;;1
InnoValor B.V.;;;;3;;;;3
Innovero Software Solutions B.V.;;;;1;;;;1
innvire B.V.;;;;2;;;;2
Insite Accountants;;;;2;;;1;2
Instant Magazine B.V.;;;1;;;;1;1
Insyde B.V.;1;;1;1;;;;1
Intermax B.V.;;;1;2;;;;2
Internet Unie Services B.V.;;;;;;;1;1
Interscience B.V.;;;;1;;;;1
Interstroom Informatietechnologie B.V.;;;;1;;;;1
iQibt B.V.;;;;4;;;;4
iRev;;;;2;;;;2
Itcg Projects B.V.;;;;3;;;;3
IT-Staffing Nederland B.V.;;;;4;;;4;5
iWelcome B.V.;;;;;;;1;1
Jos Knippen B.V.;;;;1;;;;1
K.D. Telematica B.V.;;;;;;1;;1
Kleinbureau Tekstredactie;;;;1;;;;1
Koninklijke van der Most B.V.;;;;1;;;;1
KPN B.V.;;;1;;4;1;;4
KPN Contact lokatie Eindhoven;;;;;;3;;3
KPN Corporate Market;1;2;;;2;2;1;3
KPN HotSpots;7;1;;1;3;;7;8
KPN XL;;;;3;3;4;;5
KT International Solutions;;1;;2;;;;2
Leferink Office Works B.V.;;1;;;;;1;1
Lexmark International B.V.;;;;2;;;;2
LicenseConsult B.V.;;;;;;;1;1
LNR Globalcom B.V.;;;;;;1;;1
Locatienet B.V.;;;1;;;;;1
Logic Level;;;;2;;;;2
Lyreco Nederland B.V.;;;1;;;;;1
Maro B.V.;1;;;;;;;1
Mavim B.V.;;;2;3;;;;3
Media Markt Ede B.V.;2;;;;;;;2
MediaCaster B.V.;;3;;;;;2;3
