REGISTERNUMMER;OMSCHRIJVING;DATUM_INWERKING;ID;MONUMENTENZORGSITE
1837;Plaatsing in het gemeentelijke monumentenregister: Nieuwe Schoolstraat 101;2006-02-14;1447;http://www.monumentenzorgdenhaag.nl/monumenten/nieuwe-schoolstraat-97-tm-103
1838;Plaatsing in het gemeentelijke monumentenregister: Nieuwe Schoolstraat 99;2006-02-14;1446;http://www.monumentenzorgdenhaag.nl/monumenten/nieuwe-schoolstraat-97-tm-103
1839;Plaatsing in het gemeentelijke monumentenregister: Nieuwe Schoolstraat 97;2006-02-14;1445;http://www.monumentenzorgdenhaag.nl/monumenten/nieuwe-schoolstraat-97-tm-103
1836;Plaatsing in het gemeentelijke monumentenregister: Nieuwe Schoolstraat 103;2006-02-14;1448;http://www.monumentenzorgdenhaag.nl/monumenten/nieuwe-schoolstraat-97-tm-103
2046;Plaatsing in het gemeentelijke monumentenregister: Prinsegracht 190 t/m 230;2006-02-14;1544;http://www.monumentenzorgdenhaag.nl/monumenten/prinsegracht-188-tm-230
2046;Plaatsing in het gemeentelijke monumentenregister: Prinsegracht 190 t/m 230;2006-02-14;1544;http://www.monumentenzorgdenhaag.nl/monumenten/prinsegracht-188-tm-230
2048;Plaatsing in het gemeentelijke monumentenregister:Korendijkstraat 147 t/m 169;2006-02-14;1772;http://www.monumentenzorgdenhaag.nl/monumenten/korendijkstraat-147-tm-169
2050;Plaatsing in het gemeentelijke monumentenregister:Korendijkstraat 147 t/m 169;2006-02-14;1774;http://www.monumentenzorgdenhaag.nl/monumenten/korendijkstraat-147-tm-169
2051;Plaatsing in het gemeentelijke monumentenregister: Korendijkstraat 147 t/m 169;2006-02-14;1775;http://www.monumentenzorgdenhaag.nl/monumenten/korendijkstraat-147-tm-169
2368;plaatsing op de gemeentelijke monumentenlijst;1986-07-01;3006;http://www.monumentenzorgdenhaag.nl/monumenten/van-ostadestraat-15-77-hannemanstraat-156-298-jacob-catsstraat-65-1-96
2368;plaatsing op de gemeentelijke monumentenlijst;1986-07-01;3006;http://www.monumentenzorgdenhaag.nl/monumenten/van-ostadestraat-15-77-hannemanstraat-156-298-jacob-catsstraat-65-1-96
2368;plaatsing op de gemeentelijke monumentenlijst;1986-07-01;3006;http://www.monumentenzorgdenhaag.nl/monumenten/van-ostadestraat-15-77-hannemanstraat-156-298-jacob-catsstraat-65-1-96
2368;plaatsing op de gemeentelijke monumentenlijst;1986-07-01;3006;http://www.monumentenzorgdenhaag.nl/monumenten/van-ostadestraat-15-77-hannemanstraat-156-298-jacob-catsstraat-65-1-96
2368;plaatsing op de gemeentelijke monumentenlijst;1986-07-01;3006;http://www.monumentenzorgdenhaag.nl/monumenten/van-ostadestraat-15-77-hannemanstraat-156-298-jacob-catsstraat-65-1-96
