FID,nummer,bwid_code,donarcode,eu_naam,x_coörd,y_coörd,etrs_89_n,etrs_89_e,rws_dienst,provincie,zwp_naam,eu_2015,eu_2016,eu_2017,eu_2018,eu_2019,eu_actueel,blauwalg,krw_code,krw_systee,type_water,gdb_geomattr_data,shape
zwemlocaties_rws_2021.1,36,NLBW91_CPPLGOU1,GOUDHMTP,HET GROENE EILAND STRAND MAASBOULEVARD,166522,427353,51.8347,5.5544,Zuid-Nederland,GELDERLAND,Campingpark Het Groene Eiland - Strand Maasboulevard,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,BW,,POINT (166522 427353)
zwemlocaties_rws_2021.2,37,NLBW91_CPPLGOU2,GOUDHHZLD,DE GOUDEN HAM HANZELAND,165993,426411,51.8262,5.5467,Zuid-Nederland,GELDERLAND,De Gouden Ham Hanzeland,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,BW,,POINT (165993 426411)
zwemlocaties_rws_2021.3,38,NLBW91_CPPLGOU3,GOUDHHSST,DE GOUDEN HAM DE MAASLANDEN,167070,426870,51.8303,5.5623,Zuid-Nederland,GELDERLAND,De Gouden Ham De Maaslanden,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,BW,,POINT (167070 426870)
zwemlocaties_rws_2021.4,39,NLBW91_CSCHGRE1,GREFFLNZDE,CAMPING DE SCHANS,162466,427476,51.8358,5.4955,Zuid-Nederland,GELDERLAND,Camping De Schans,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,BW,,POINT (162466 427476)
zwemlocaties_rws_2021.5,40,NLBW92_ELBVELWSOT,ELBVELWSOT,RECREATIEOORD VELUWE STRANDBAD,184545,496250,52.4532153,5.82184199,Midden-Nederland,GELDERLAND,RECREATIEOORD VELUWE STRANDBAD,Goed,Goed,Goed,Goed,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (184545 496250)
zwemlocaties_rws_2021.6,41,NLBW92_HARDWVLWSD,HARDWVLWSD,DOLFINARIUM,170504,485299,52.3554,5.6148,Midden-Nederland,GELDERLAND,DOLFINARIUM,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (170503.7386999987 485298.73970000073)
zwemlocaties_rws_2021.7,42,NLBW92_HOOPHZN,HOOPHZN,DROOMPARK BAD HOOPHUIZEN,176736,488592,52.3848,5.7065,Midden-Nederland,GELDERLAND,Hoophuizen,Uitstekend,Uitstekend,Uitstekend,Goed,Goed,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (176735.67610000074 488592.0282000005)
zwemlocaties_rws_2021.8,43,NLBW92_HORSTBSD,HORSTBSD,STRAND HORST,166654,480140,52.3091,5.5581,Midden-Nederland,GELDERLAND,Strand Horst,Uitstekend,Uitstekend,Goed,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (166654.0821999982 480139.92240000144)
zwemlocaties_rws_2021.9,44,NLBW92_NULDBSD,NULDBSD,STRAND NULDE NOORD,165597,477085,52.2817,5.5425,Midden-Nederland,GELDERLAND,Strand Nulde Noord,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Goed,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (165597.3883999996 477084.7188999988)
zwemlocaties_rws_2021.10,45,NLBW92_OUDPL,OUDPL,DE OUDE POL,178088,489452,52.3924,5.7264,Midden-Nederland,GELDERLAND,DE OUDE POL,Goed,Aanvaardbaar,Slecht,Slecht,Wijziging,Aanvaardbaar,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (178088.44460000098 489452.40370000154)
