;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
A-Advies B.V.;;;1;;;;;;;1
Albron Nederland B.V.;;;1;;;;;;;1
Alpheios B.V.;;;7;;;;;;;7
Ambius B.V.;;;;;;;1;;;1
Anticimex B.V.;;;2;;;;;;;2
Arend Auto;;1;;;;;;;;1
Asito B.V.;;;3;;;;;;;3
Asser Bowling Centrum Veldkamp;;;1;;;;;;;1
Attack B.V.;;;2;;;;;;;2
Bakker Toet B.V.;;;1;;;;;;;1
Banketbakkerij Boheemen;;;1;;;;;;;1
Banketbakkerij Jan de Groot;;;1;;;;;;;1
Blom Group B.V.;;;1;;;;;;;1
Blue Sport & Workwear;;;;;;;;1;;1
Bowlen & Zo B.V.;;;1;;;;;;;1
Bowling Scheveningen B.V.;;;1;;;;;;;1
Buffalo.nl B.V.;;;;;;;;1;;1
Buwalda Nederland B.V.;;;1;;;;;;;1
Buyitdirect.com B.V.;;1;;;;;;1;;1
Carbonfilters B.V.;;;1;;;;;;;1
Centrale Organis. voor Radioactief Afval N.V.;;;;;;1;;;;1
Centralpoint Nijmegen B.V.;;;;;;;;1;;1
Child Focus Foundation;;;;;;;;;1;1
CHO PAIN;;;1;;;;;;;1
Comfoor B.V.;;;;;;;;1;;1
Compass Group Nederland B.V.;1;;1;;;;;;;1
Conrad Electronic Benelux B.V.;;;;;;;;1;;1
Croonwolter&dros B.V.;;1;;;;;;;;1
CSU B.V.;;;7;;;;;;;7
CWS Nederland;;;5;;;;;;;5
De Grote Keizer B.V.;;;1;;;;;;;1
DeFaCo B.V.;;;4;;;;;;;4
Delftechniek;;1;;;;;;;;1
Dickens Horecabedrijven B.V.;;;1;;;;;;;1
Discountoffice.nl B.V.;;;;;;;;1;;1
Dolmans Calamiteiten Diensten;;;4;;;;;;;4
Dolmans Specialistische Reiniging B.V.;;;4;;;;;;;4
Douwe Egberts Horeca;1;;;;;;;;;1
DUOFORT B.V.;;;5;;;;;;;5
