Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
&Maes B.V.;;;;1;;1
A. Downes M.Sc.;;;;;1;1
Aaaaha! The Actor Factory B.V.;;;;1;1;1
Aanmelder.nl B.V.;;;;1;;1
Abacus V.O.F.;1;;;;;1
ABC Display Industry B.V.;;;;1;;1
Abonnementenland;1;;;;;1
ACTALIA Technopole Alimentec;1;;;;;1
Acter Entertrainment;;;;1;;1
Adfo Groep B.V.;1;;;;;1
Adlib Gebruikersgroep;;;;;1;1
Adviesbureau Hollander en van der Mey B.V.;;;;;2;2
Aeneas B.V.;1;;;;;1
Agile Communicatie;;;;1;;1
Aidsfonds;;;;1;;1
Aiki Art;;;;1;;1
AISBL 'HySafe' Int. Associaion for Hydrogen;1;;;;;1
Albron Nederland B.V.;;;;;1;1
Algemene Pharmac Bond;1;;;;;1
American Society for Microbiology;1;;;;;1
ANP Holding B.V.;;;;;1;1
Arcgis Gebruikersgroep Nederland;1;;;;;1
Ardis Organisatieontwikkeling B.V.;1;;;;;1
Arenda Oomen Fotografie;;;;;1;1
Arko Sports Media B.V.;;;;;1;1
Art 4 You Decorations;;;;1;;1
Athenaeum Boekhandel B.V.;;;;;1;1
Atletiekvereniging Phanos;;;;1;;1
Atmire;2;;;;;2
Atos Nederland B.V.;;;;;2;2
Audio Network Limited;;;;;1;1
AVB Language Group B.V.;;1;;;;1
Aviste B.V.;;;;;2;2
Avoxa Deutsche Apotheker GmbH;2;;;;;2
Axon Connect B.V.;1;;;;;1
B & D Catering Hospitality Support;;;;1;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;1;1
B.V. Uitgeverij SWP;;;;;1;1
B+B Vakmedianet B.V.;1;;;;1;1
Backbench;;;;1;;1
Ballonnenservice.nl;;;;;1;1
Banketbakkerij Theo Blom V.O.F.;;;1;;1;1
Barbara van Kesteren - coaching en advies;;;;1;;1
Bart van Vliet Freelance Fotograaf;;;;1;1;1
Bart Versteeg fotograaf;;;;1;1;2
Bas van Maanen;;;;;1;1
Ben Faydherbe;;;;;1;1
Berenschot B.V.;;;;2;;2
Berenschot Groep B.V.;;;;;2;2
BIG Brandweerinformatiecentrum Gevaarlijke stoffen v.z.w.;1;;;;;1
Bing Ie;;;;2;;2
Bio-based Industries Consortium;1;;;;;1
BioTop Consultancy B.V.;;;;;2;2
BKFF bas kijzers fotografie en film;;;;;1;1
Blauw Research B.V.;;;;;2;2
Bobbe International B.V.;1;;;;1;1
Boekencentrum;1;;;;;1
Bohn Stafleu Van Loghum;1;;;;;1
bol.com B.V.;1;;;;;1
Boom uitgevers Amsterdam B.V.;5;;;;;5
Boom uitgevers Den Haag;;;;;1;1
Bopper Holding B.V.;;;;;2;2
Born05 B.V.;;;;;2;2
Borotov Photography;;;;;1;1
Brown & Blue B.V.;;;;1;;1
Bruers en Dochters Beheer B.V.;;;;;1;1
BS Workspace Solutions;;;;1;;1
Bureau BlauwGeel B.V.;;;;;1;1
Bureau Stijlzorg;;;;;1;1
Bureautaal B.V.;;;;;1;1
C2Results B.V.;2;;;;;2
Cameron Marketing & Public Relations B.V.;;;;2;;2
Card Vision B.V.;;;;;1;1
Carla Rodenberg;;;;;2;2
Carolien Somerwil Produkties;;;;1;;1
Cateringbedrijf De Smaeck;;;;1;;1
CEN NANO;1;;;;;1
Centraal Boekhuis B.V.;1;;;;1;1
Chiel Bos Advies;;;;2;;2
Choco-Paradijs;;;;1;;1
Cinop Advies B.V.;;;;;4;4
Clarivate Analytics LLC Techstreet;1;;;;;1
Cleartone B.V.;;;;1;;1
Club van Belle Fleur Prinsenbeek;;;;;1;1
Coöperatie De Betekenaar UA;;;;1;1;1
Cobidoc B.V.;1;;;;;1
Compact Video;;;;;2;2
COMPAREX Nederland B.V.;;;;;3;3
Congress Company B.V.;;;;1;;1
ConnectTools B.V.;;;;;1;1
Connexxion;;;;1;;1
Consumentenbond;1;;;;1;1
Coolblue B.V.;;;;;1;1
Co�peratie SURF UA;2;;;;;2
Copernicus Gesellschaft mbH;1;;;;;1
Copyright Clearance Center Inc. (USD);1;;;;;1
Corpus Experience Beheer B.V.;;;;1;3;3
CreditProfessionals B.V.;;;;;1;1
Curious Media;;;;;1;1
CW Research Ltd (EURO);1;;;;;1
D&F Consulting B.V.;;;;1;;1
Daan van Elk Media;1;;;;;1
DAE Hairwassers;;;;1;;1
Damen en Malherbe V.O.F.;;;;;1;1
De Argumentenfabriek B.V.;1;;;;;1
De Argumentenfabriek Groep B.V.;;;;;2;2
De Liefdesdokter;;;;1;1;1
De Natuurwinkel Amersfoort;1;;;;;1
de Persgroep Nederland B.V.;1;;;;1;1
De Rob & Joep B.V.;;;;1;;1
De Utrechtse Haven B.V.;;;;1;;1
De Volkskrant B.V.;1;;;;;1
