OBJECTID,PUIC,GEOCODE,GEOCODE_NR,NAAM,GELDIG_VANAF,PUBLICATIEDATUM
1,77db78ad-6c15-43f1-9876-1d572792596d,950,950,Barendrecht Vork - Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
2,bdfdae04-abc0-43a7-b091-c902d4f0747e,470,470,Botlek,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
3,94bba0b9-6a63-4110-ad2a-04fe5881f850,952,952,Botlektunnel,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
4,34060869-a023-4c95-a9ec-97b315cb0a83,469,469,Pernis,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
5,48230fe4-8b7a-4e57-963f-dd7aff107dee,476,476,Rotterdam Europoort 2,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
6,eb7078a7-91c6-4813-ade5-550d6bcc7453,013,13,Herfte Aansl. - Meppel,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
7,838a8bd7-7de3-4f95-9b2c-cdb410a35e56,602,602,Herfte Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
8,1cb9ade2-a3fc-488f-bea8-1ea31e51fdb5,204,204,Herfte Aansl. - Mariënberg,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
9,905da6b5-4795-47ed-a5c1-34cd2b80970b,014,14,Zwolle - Herfte Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
10,8e8ff3ee-7bba-4d52-bc11-361b97e9711d,603,603,Zwolle,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
11,928e87d4-421b-4627-9452-82d010ffd502,206,206,Zwolle - Wierden,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
12,06db7ea6-0d58-4cc7-9023-cb937192fa26,018,18,Deventer - Zwolle,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
13,17452113-89fe-45a5-b4a7-e583f7258900,926,926,Zwolle Rangeerterrein,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
14,529dec20-7eaa-4d20-b9ca-35540812ba03,604,604,Hattemerbroek,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
15,b4240caa-a8f6-4bd5-af7b-f9b950cc1802,055,55,Blerick - Eindhoven,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
16,7c94508d-d3c9-4a1c-96d3-e09acc5c1c63,855,855,Venlo Tradeport,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
17,b52f5cc6-2701-406b-8f2a-e32431438c61,052,52,Beugen - Blerick,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
18,c8e1ac01-21c7-4a4b-9242-d42f0ab4dfa1,516,516,Blerick,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
19,01e17f47-1e63-48fe-b1d5-54b778e423db,144,144,Duivendrecht - Amsterdam Riekerpolder,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
20,296d13fa-68fe-4614-8865-541ac2c6c546,589,589,Duivendrecht,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
21,2ebb3944-0de8-4473-b6d0-86d66ab777e1,535,535,Amsterdam Bijlmer Arena,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
22,4ebfe88d-bdcb-43b5-801f-fadf383fada7,027,27,Diemen - Duivendrecht,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
23,985f3d4a-3536-472f-9f02-cf8ccb19b01e,096,96,Amsterdam Muiderpoort - Duivendrecht,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
24,bf9c42bd-f6f0-4467-82fc-d93345bdafca,072,72,Maastricht - Maastricht Grens,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
25,43449389-0a71-47c4-8b8a-929a9668f546,785,785,Lanaken (B) - Maastricht grens,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
26,c849aa9b-0679-43b9-a67a-2514b5818d25,520,520,Maastricht,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
27,16336b0e-82f2-447f-a871-0e50a68808aa,063,63,Maastricht - Sittard,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
28,3a0b9bb4-7365-4b2e-82af-563e35c08b00,560,560,Den Haag Centraal,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
29,53d375ef-aabf-42bc-ba07-9ab804db7484,564,564,Den Haag Binckhorst,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
30,6814c75b-2e6c-4b78-82fb-67caedeeb0a9,561,561,Den Haag Laan van NOI,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
31,43d51936-425b-4483-bd0b-cfd710b2b77b,536,536,Den Haag HS,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
32,edf61a16-d13e-4c84-811a-2246c20104a2,611,611,Zevenaar,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
33,7b9d9979-5828-4d0d-8c31-373d7cffeaca,212,212,Winterswijk - Zevenaar,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
34,bfc40839-4b37-47dd-a478-810c8c285685,039,39,Zevenaar - Zevenaar Grens,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
35,50f54f6a-fef9-4669-b6fb-6f8a1cc70d70,038,38,Velperbroek Aansl. - Zevenaar,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
36,8e33b926-4d38-49be-9439-8f317034360e,158,158,Ressen = Bemmel - Zevenaar,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
37,876a5698-a467-439f-a87b-92430e6311e8,485,485,Amsterdam Hemhaven (gebied),2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
38,c833e0fc-f002-4145-a3fd-95c047b55d94,523,523,Amsterdam Sloterdijk,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
