FID,soort_water,codebpn,disk_beh_obj_code,districtnaam,objectnaam,objecttype,beheersregime,contract,opmerking,info1,info2,info3,info4,info5,stichtingsjaar,muteerder,mutatie,geobron,hoofdwatersysteem,watersysteemnaam,watersysteemdeel,subcat,zijde,km,element,beheerder,eigenaar,onderhouder,gisobjid,nen_systeemdeel,nen_beheerobject,nen_element,nen_bouwdeel,nen_datum_vervallen,se_anno_cad_data,gdb_geomattr_data,shape
water_punten.1,71,ARK2.OX.R.45.4.--,38F-352,MN Z,Prinses Beatrixsluis,-,Niet bekend,31159103,geen,Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,-777,,2021-12-29T08:43:33,DTB,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK2,OX,R,45.4,--,RWS,RWS,RWS plus,-777,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:00,,,POINT (135891.41699999943 447177.61569999903)
water_punten.2,71,"BR2.QX.R.901,400.ov",Niet van toepassing,ON Z,Inwinpunt waterstand Dodewaard,Inwinpunt Waterstanden,Wel in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2019-02-08T00:00:00,DTB,Rijn en Rijntakken,Neder-Rijn en Lek,BR2,QX,R,"901,400",ov,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (171745.9549999982 434695.0460000001)
water_punten.3,71,"RL2.QX.R.922,540.ov",Niet van toepassing,ON Z,Inwinpunt waterstand Amerongen Beneden,Inwinpunt Waterstanden,Wel in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2017-08-30T00:00:00,Niet van toepassing,Rijn en Rijntakken,Neder-Rijn en Lek,RL2,QX,R,"922,540",ov,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (156189.82600000128 442939.3029999994)
water_punten.4,71,"RL2.QX.R.891,150.ov",Niet van toepassing,ON Z,Inwinpunt waterstand Driel Boven,Inwinpunt Waterstanden,Wel in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2017-08-30T00:00:00,Niet van toepassing,Rijn en Rijntakken,Neder-Rijn en Lek,RL2,QX,R,"891,150",ov,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (184035.60599999875 442009.0159999989)
water_punten.5,71,"NM4.QX.L.1,924","NM4.QX.L.1,924",Waterdistrict Boven-Rijn en Waal,Nog in te winnen,Nog in te winnen,Wel in beheer,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-888,,2019-12-13T00:00:00,ANI,Maas,Maaskanalen,NM4,-,L,"1,924",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (186963.02899999917 420329.93200000003)
water_punten.6,71,"TK2.QX.L.22,098.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB:peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,L,"22,098",--,Niet bekend,Niet bekend,Niet bekend,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (230692.9459999986 467525.69200000167)
water_punten.7,71,"TK2.QX.R.49,496.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,R,"49,496",--,Niet bekend,Niet bekend,Niet bekend,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (255183.3414000012 471599.1627999991)
water_punten.8,71,"TK2.QX.R.49,48.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,R,"49,48",--,Niet bekend,Niet bekend,Niet bekend,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (255171.88320000097 471610.3830999993)
water_punten.9,71,"TK2.QX.R.45,111.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,R,"45,111",--,Niet bekend,Niet bekend,Niet bekend,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (251707.29349999875 474004.39079999924)
water_punten.10,71,"TK2.QX.R.45,114.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,R,"45,114",--,Niet bekend,Niet bekend,Niet bekend,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (251710.4321999997 474008.2441000007)
