Rijlabels;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
&Maes B.V.;;1;;;;1
3H BAS B.V.;;2;;;;2
A. Bunnik B.V.;;4;;;;4
A. de Jong Installatietechniek B.V.;;5;;;;5
A. Diederiks Montage Techniek;;1;;;;1
A. Hak Infranet B.V.;;1;;;;1
A. van Liempd Sloopbedrijf B.V.;;;;;5;5
A. Wijbenga;;;;;3;3
A.B.M. Adviesbureau Bouwhistorie & Monumenten;;1;;;;1
A.C. Autocare Nederland;;2;;;;2
A.G. van de Scheur Onroerend Goed B.V.;;1;;;4;4
A.I.V. Asbest B.V.;;7;;;;7
A.R.K. Audio-video B.V.;;3;;;;3
A3MC Management & Consultancy B.V.;;1;;;;1
Aaaaha! The Actor Factory B.V.;;1;;;;1
AAF-International B.V.;;1;;;;1
Aakwadraat Networks B.V.;;2;;;;2
Aan de Stegge Bouw & Werktuigbouw;;;;;2;2
Aann.bedr. P.A. van Miltenburg & Zn. B.V.;;3;;;2;3
Aannemersbedrijf Baas;;1;;;;1
Aannemersbedrijf Berlicum B.V.;;2;;;;2
Aannemersbedrijf G.B. van Hoek B.V.;;7;;;;7
Aannemersbedrijf G.L. van den Bosch B.V.;;;;;4;4
Aannemersbedrijf Gebroeders Horstink B.V.;;2;;;;2
Aannemersbedrijf H. van Rijswijck B.V.;;3;;;;3
Aannemersbedrijf Jaap Rasenberg;;1;;;;1
Aannemersbedrijf M.P. Drijvers B.V.;;4;;;;4
Aannemersbedrijf Peters B.V.;;4;;;;4
Aannemersbedrijf Vekemans B.V.;;2;;;2;2
Aannemingsbedrijf A.W.M. Meeusen en Zn. B.V.;;3;;;1;3
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;;6;;;;6
Aannemingsbedrijf D. Stuit B.V.;;2;;;;2
Aannemingsbedrijf Dozy B.V.;;4;;;2;5
Aannemingsbedrijf Gebr. van Stiphout B.V.;;1;;;3;3
Aannemingsbedrijf Nico de Bont B.V.;;7;;;;7
Aannemingsbedrijf P. Klein en Zoon B.V.;;2;;;4;4
Aannemingsmaatschappij Hegeman B.V.;;;;;3;3
Aannemingsmaatschappij van Gelder B.V.;;;;;4;4
