X,Y,OBJECTID,Plan_,type_,Koop_huur,aantal,realisatie,realisatie_2,website,prijs_vanaf,Beschikbaar,Status
,,25,Jan Pallachweg / Mahadma Ghandiweg,CPO,koop,20,St. Seniorenbouw,St. Seniorenbouw,www.seniorbouw.nl,,,
,,26,Roegoorn,rijwoningen,koop,20,Rottinghuis,Schoon Makelaardij,,119000,0,
6.5701604821422,52.997700040603,4843,Asselyn,appartement,koop,6,Credo,Lamberink Woningmakelaars,https://asselyn.nl/,333550,1,2
6.57279739012055,53.0000338888249,11645,Havenkwartier,divers,koop&huur,500,diverse partijen,,https://www.havenkwartierassen.nl/,,,1
6.52932692833301,52.9865658258365,12054,De Wouden,kavels vrijstaand,koop,5,gemeente,,,,5,1
6.57033657062992,52.9947180228563,12445,Acmesa,divers,koop,,BEMOG projectontwikkeling,,http://www.bemog.nl/projecten/assen-acmesa/,,,1
6.55837365654692,52.9779131587541,13251,Kazernekwartier,appartementen,koop,16,Duurzaam Wonen,Lamberink woningmakelaar,https://www.funda.nl/nieuwbouw/assen/project-41074855-kazernekwartier-fase-1/,,16,1
6.57451362728542,52.9891993055947,13646,Pelikaanstraat Wonen in Bloemrijck,rijen,koop,13,Geveke,Lamberink Makelaars,https://www.funda.nl/nieuwbouw/assen/project-42482072-wonen-in-bloemrijck/,,14,2
6.49960976339954,53.0004764243506,13647,Kloosterakker Fase I,kavels,koop,47,gemeente Assen,,https://storymaps.arcgis.com/stories/fcd054f626f54cdfa0530ea5e9431604,,,2
6.50059309387576,53.000606515767,13648,Kloosterakker Fase I,rijen,huur,30,Actium,,https://www.assen.nl/kloosterveen,,,1
6.50158340472648,53.0007274033747,13649,Kloosterakker Fase I,rijen,koop,8,Ter Steege,Lamberink Makelaars / Oosting Makelaars,https://www.funda.nl/nieuwbouw/assen/project-42476060-wonen-in-kloosterakker/,284000,8,2
6.57652297840776,52.9862342017921,13650,Zilverschoonstraat,appartement,huur,22,Actium,,https://www.actiumwonen.nl/projecten/assen-zilverschoonstraat-locatie-vredeveldschool/,,,1
6.55609543785943,53.0021302050457,13651,Cruyffcourt,rijen,huur,30,Actium,,https://www.actiumwonen.nl/projecten/assen-cruyffcourt/,,,1
6.56104816461713,52.9953762413858,13653,Het Forum,appartement,huur,43,Forum Vastgoed BV,,https://www.rtvdrenthe.nl/nieuws/165413/Deel-winkelcentrum-t-Forum-in-voorjaar-tegen-de-vlakte,,,1
6.57067505613108,52.9976567672059,13654,Asselyn,rijen,huur,15,Credo Projectontwikkeling,,,,,1
6.5519979998121,53.0003591948521,14050,Thorbeckelaan-Noord,appartement,huur,80,Actium,,https://www.actiumwonen.nl/projecten/assen-thorbeckelaan-noord/,,,1
6.55942571993566,53.0018595215269,14051,Ir. J.W. Albardastraat en Thorbeckelaan,appartement,huur,35,Actium,,https://www.actiumwonen.nl/projecten/assen-ir-jw-albardastraat-en-thorbeckelaan/,,,1
6.54923172306524,53.0063594616458,14052,Noordenveld,rijen,huur,14,Actium,,https://www.actiumwonen.nl/projecten/assen-noordenveld/,,,1
6.56267051642706,53.0104617839313,14053,Vivaldilaan,rijen,huur,28,Actium,,https://www.actiumwonen.nl/projecten/nieuwbouw-assen-vivaldilaan-en-smetanalaan/,,,1
6.50241069537432,53.0008429462647,14054,Kloosterakker Fase I,2^1-kap,koop,16,Ter Steege,Lamberink Makelaars / Oosting Makelaars,https://www.funda.nl/nieuwbouw/assen/project-42476060-wonen-in-kloosterakker/,375000,16,2
6.50218208041228,53.0004580926929,14055,Kloosterakker Fase I,kavels,koop,11,,Lamberink Makelaars / Oosting Makelaars,https://www.funda.nl/nieuwbouw/assen/project-42476060-wonen-in-kloosterakker/,,11,2
