Leverancier;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
"""+Anderen B.V.""";;1;;;;;1
Arrow Holding B.V.;;;;1;;;1
Cendris Dataconsulting B.V.;;;1;;;;1
Centersound B.V.;;;;1;;;1
Centralpoint Nijmegen B.V.;5;1;1;2;1;;5
CGI Nederland B.V.;;;;2;;;2
Cimsolutions;;;;3;;;3
CM.COM Netherlands B.V.;;;;1;;;1
COMPAREX Nederland B.V.;;;4;5;;2;6
Computacenter;3;;;;;;3
DataExpert B.V.;;;;3;;;3
Defacto Software B.V.;;;4;;;1;4
Déhora Consultancy Group B.V.;;;;2;;;2
Dohsbase V.O.F.;;;1;;;;1
Dolmans Calamiteiten Diensten B.V.;;1;;;;;1
Earforce B.V.;;;;;;1;1
easy2rent B.V.;;1;;;;;1
E-Democracy B.V.;;;;;;1;1
EnablE-U B.V.;;;;2;;;2
Everbridge Netherlands B.V.;;;;2;;;2
Finalist IT Group B.V.;;;;1;;;1
Flex IT Rent B.V.;1;;;;;;1
Flex-I.D. B.V.;;;;1;;;1
Grenius Vitaal Beheer B.V.;;;;2;;;2
Ideeaanzee B.V.;;;;;;;
Innovero Software Solutions B.V.;;;1;1;;;1
Insight Enterprises Netherlands B.V.;;;1;1;;;2
Intrum Justitia Nederland B.V.;;;;1;;;1
IV-Software B.V.;;;1;2;;;2
Kofax Netherlands Technologies B.V.;;;;3;;;3
KPN B.V.;;;;;2;;2
KPN XL;;;;;2;;2
LexisNexis Benelux;;;;2;;;2
Mahieu Web Development B.V.;;;1;;;;1
Metis IT B.V.;;;;1;;2;2
Mozard B.V.;;;;4;;;4
NCC Group Escrow Europe B.V.;;;;1;;;1
Objectif Lune Benelux B.V.;;;;2;;;2
Oracle Nederland;;;;1;;;1
Pardon Consult;;;;1;;;1
Protinus IT B.V.;2;2;4;5;;;6
QUBE ICT Solutions B.V.;;;;1;;;1
Quint;;;;2;;;2
QuoVadis Trustlink B.V.;;;1;1;;;1
SAP Nederland B.V.;;;;6;;;6
Sectra Communications B.V.;;;;;2;;2
SoftwareONE B.V.;;;2;;;;2
Solvinity;;;;1;;;1
Survalyzer Nederland B.V.;;2;;1;;;2
T&T Compet&t.b.v.;;;;1;;;1
Technolution B.V.;2;;;;;;2
Tele2 Nederland B.V.;;;;;1;;1
Telegrootgebruik B.V.;;;;;1;;1
UnifiedPost B.V.;;;1;;;;1
Uptrends B.V.;;;;1;;;1
Verdonck, Klooster & Associates B.V.;;;5;;;;5
Vodafone winkel;;;;;5;;5
Volq Concepten B.V.;;;1;;;;1
Wortell System Integrations & Services B.V.;;;;2;;;2
XS4ALL Internet B.V.;;;;;1;;1
Eindtotaal;5;3;6;7;6;3;7
