Version;Date_of_report;Date_of_statistics;Perc_covid_symptoms;MA_perc_covid_symptoms
1;2023-02-02 10:00:00;2020-11-01;2,88;NA
1;2023-02-02 10:00:00;2020-11-02;2,45;NA
1;2023-02-02 10:00:00;2020-11-03;3,23;NA
1;2023-02-02 10:00:00;2020-11-04;3,73;3,21
1;2023-02-02 10:00:00;2020-11-05;3,82;3,19
1;2023-02-02 10:00:00;2020-11-06;3,57;3,25
1;2023-02-02 10:00:00;2020-11-07;2,76;3,26
1;2023-02-02 10:00:00;2020-11-08;2,78;3,06
1;2023-02-02 10:00:00;2020-11-09;2,87;2,84
1;2023-02-02 10:00:00;2020-11-10;3,26;2,73
1;2023-02-02 10:00:00;2020-11-11;2,35;2,78
1;2023-02-02 10:00:00;2020-11-12;2,27;2,88
1;2023-02-02 10:00:00;2020-11-13;2,79;2,87
1;2023-02-02 10:00:00;2020-11-14;3,12;2,79
1;2023-02-02 10:00:00;2020-11-15;3,51;2,81
1;2023-02-02 10:00:00;2020-11-16;2,79;2,82
1;2023-02-02 10:00:00;2020-11-17;2,72;2,91
1;2023-02-02 10:00:00;2020-11-18;2,45;2,84
1;2023-02-02 10:00:00;2020-11-19;2,39;2,69
1;2023-02-02 10:00:00;2020-11-20;3,41;2,71
1;2023-02-02 10:00:00;2020-11-21;2,62;2,76
1;2023-02-02 10:00:00;2020-11-22;2,43;2,79
1;2023-02-02 10:00:00;2020-11-23;2,92;2,81
1;2023-02-02 10:00:00;2020-11-24;3,10;2,78
1;2023-02-02 10:00:00;2020-11-25;2,69;2,78
1;2023-02-02 10:00:00;2020-11-26;2,48;2,90
1;2023-02-02 10:00:00;2020-11-27;3,25;2,86
1;2023-02-02 10:00:00;2020-11-28;2,56;2,85
1;2023-02-02 10:00:00;2020-11-29;3,33;2,78
1;2023-02-02 10:00:00;2020-11-30;2,62;2,84
1;2023-02-02 10:00:00;2020-12-01;3,00;2,82
1;2023-02-02 10:00:00;2020-12-02;2,24;2,95
1;2023-02-02 10:00:00;2020-12-03;2,89;2,96
1;2023-02-02 10:00:00;2020-12-04;3,08;3,06
1;2023-02-02 10:00:00;2020-12-05;3,49;3,13
1;2023-02-02 10:00:00;2020-12-06;3,42;3,27
1;2023-02-02 10:00:00;2020-12-07;3,30;3,36
1;2023-02-02 10:00:00;2020-12-08;3,51;3,30
1;2023-02-02 10:00:00;2020-12-09;3,18;3,26
1;2023-02-02 10:00:00;2020-12-10;3,54;3,26
1;2023-02-02 10:00:00;2020-12-11;2,68;3,22
1;2023-02-02 10:00:00;2020-12-12;3,19;3,15
