Leverancier;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;Eindtotaal
&Maes B.V.;3;;;;3
21 Markets B.V.;2;;;;2
2CoolMonkeys B.V.;1;;;;1
8D Games B.V.;3;;;;3
A.G. Advies B.V.;2;;;;2
Aanmelder.nl B.V.;1;;;;1
Abdulahi Hussen;2;;;;2
Aboma;2;;;;2
Abus Kraansystemen B.V.;1;;;;1
Acteursbureau Kapok B.V.;2;;;;2
Ad Bergsma;1;;;;1
Advocatenkantoor mr. R.A. Dayala;;;;1;1
Agro Merchants Barneveld Packaging B.V.;1;;;;1
AKD N.V.;;;;1;1
Alberga Consultancy;1;;;;1
Albron Travel Catering;1;;;;1
Allprepare B.V.;1;;;;1
AMANA;2;;;;2
Andersson Elffers Felix;3;;;;3
Andries was hier;1;;;;1
andSO HR;;2;;;2
Anne Frank Stichting;2;;;;2
APE Public Economics B.V.;4;;;;4
ARAG SE Nederland;1;;;1;1
Aranda;1;;;;1
Arbo Unie B.V.;1;;;;1
ArboNed B.V.;1;;;;1
ARCADIS Nederland B.V.;2;;;;2
Ardis Organisatieontwikkeling B.V.;1;;;;1
Arenda Oomen Fotografie;1;;;;1
ARQ IVP B.V.;1;;;;1
Atlas voor Gemeenten B.V.;4;;;;4
Atos Nederland B.V.;1;;;;1
Audio Traject Professioneel Beeld en Geluid;1;;;;1
Auxilium HSE Coöperatie U.A.;1;;;;1
AVM Asbestsanering;1;;;;1
AVM B.V.;1;;;;1
Ayla B.V.;1;;;;1
Azanie;1;;;;1
Azzedine Karrat;2;;;;2
B.A. Geurts-Janssen B.V.;1;;;1;1
B.V. MSB-A Plus;1;;;;1
Babbage Company B.V.;3;;;;3
Baker Tilly Berk Amsterdam;2;;;;2
Banketbakkerij Boheemen;1;;;;1
Bannenberg Advocaten B.V.;1;;;1;1
Barsa Sea Food B.V.;;;;1;1
BBK/Door Vriendschap Sterker B.V.;2;;;;2
BBQ Events;1;;;;1
Be My Guest Hospitality & Events;1;;;;1
