FID,shape_leng,strooknaam,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vliegln_krib_waal_2012.1,5406.74411263,ruw_01,2012-08-24T00:00:00,,,"LINESTRING (147321.5089999996 426521.118999999, 152724.81500000134 426328.3280000016)"
vliegln_krib_waal_2012.2,20511.5987291,ruw_02,2012-08-24T00:00:00,,,"LINESTRING (132476.46599999815 426923.52699999884, 152969.48299999908 426050.65300000086)"
vliegln_krib_waal_2012.3,20874.4126468,ruw_03,2012-08-24T00:00:00,,,"LINESTRING (131004.68200000003 426793.75499999896, 151856.25200000033 425817.47199999914)"
vliegln_krib_waal_2012.4,26086.533287,ruw_04,2012-08-24T00:00:00,,,"LINESTRING (127374.88699999824 426666.79199999943, 153437.36100000143 425546.68200000003)"
vliegln_krib_waal_2012.5,26373.1859089,ruw_05,2012-08-24T00:00:00,,,"LINESTRING (125995.40700000152 426457.1259999983, 152346.39200000092 425375.2329999991)"
vliegln_krib_waal_2012.6,25903.5889732,ruw_06,2012-08-24T00:00:00,,,"LINESTRING (127622.74599999934 426188.0399999991, 153501.39400000125 425051.5940000005)"
vliegln_krib_waal_2012.7,26772.2007296,ruw_07,2012-08-24T00:00:00,,,"LINESTRING (125998.75600000098 425988.69999999925, 152747.13899999857 424859.6640000008)"
vliegln_krib_waal_2012.8,27677.926083,ruw_08,2012-08-24T00:00:00,,,"LINESTRING (127333.1400000006 425710.4549999982, 154985.5390000008 424522.01300000027)"
vliegln_krib_waal_2012.9,27667.0536752,ruw_09,2012-08-24T00:00:00,,,"LINESTRING (125992.68299999833 425482.80000000075, 153634.44700000063 424300.125)"
vliegln_krib_waal_2012.10,27717.3717614,ruw_10,2012-08-24T00:00:00,,,"LINESTRING (127257.41099999845 425215.9210000001, 154949.2199999988 424025.78599999845)"
vliegln_krib_waal_2012.11,15486.2964781,ruw_11,2012-08-24T00:00:00,,,"LINESTRING (138124.00200000033 424505.53400000185, 153596.0159999989 423840.5799999982)"
vliegln_krib_waal_2012.12,6188.28838592,ruw_12,2012-08-24T00:00:00,,,"LINESTRING (149885.98200000077 423790.1229999997, 156068.563000001 423524.4079999998)"
vliegln_krib_waal_2012.13,14998.389849,ruw_13,2012-08-24T00:00:00,,,"LINESTRING (151326.1889999993 421656.61300000176, 159154.97800000012 434449.6490000002)"
vliegln_krib_waal_2012.14,14645.8710244,ruw_14,2012-08-24T00:00:00,,,"LINESTRING (152286.68299999833 422738.20699999854, 159932.66299999878 435229.82499999925)"
vliegln_krib_waal_2012.15,13396.0048719,ruw_15,2012-08-24T00:00:00,,,"LINESTRING (152548.05299999937 422730.8020000011, 159557.95600000024 434146.3269999996)"
vliegln_krib_waal_2012.16,14808.8262093,ruw_16,2012-08-24T00:00:00,,,"LINESTRING (152674.2349999994 422500.29399999976, 160423.44299999997 435119.7670000009)"
vliegln_krib_waal_2012.17,15062.4710439,ruw_17,2012-08-24T00:00:00,,,"LINESTRING (152122.86300000176 421062.31500000134, 159965.3830000013 433922.0549999997)"
vliegln_krib_waal_2012.18,14833.9075718,ruw_18,2012-08-24T00:00:00,,,"LINESTRING (153075.46499999985 422212.23999999836, 160828.1000000015 434859.0370000005)"
vliegln_krib_waal_2012.19,10435.6470982,ruw_19,2012-08-24T00:00:00,,,"LINESTRING (156818.74700000137 432963.62000000104, 167014.66800000146 435187.5639999993)"
vliegln_krib_waal_2012.20,10267.2705149,ruw_20,2012-08-24T00:00:00,,,"LINESTRING (158405.2030000016 433070.6319999993, 168433.24700000137 435274.0780000016)"
vliegln_krib_waal_2012.21,11927.3307719,ruw_21,2012-08-24T00:00:00,,,"LINESTRING (155440.79399999976 432179.8680000007, 167098.9840000011 434699.35500000045)"
vliegln_krib_waal_2012.22,10033.5451779,ruw_22,2012-08-24T00:00:00,,,"LINESTRING (158517.89400000125 432575.33100000024, 168307.64499999955 434773.69299999997)"
vliegln_krib_waal_2012.23,9507.68621587,ruw_23,2012-08-24T00:00:00,,,"LINESTRING (157140.72800000012 432042.7710000016, 166426.29899999872 434085.875)"
vliegln_krib_waal_2012.24,9184.59287926,ruw_24,2012-08-24T00:00:00,,,"LINESTRING (158615.1099999994 432157.35500000045, 167599.82600000128 434063.03500000015)"
vliegln_krib_waal_2012.25,14236.050947,ruw_25,2012-08-24T00:00:00,,,"LINESTRING (164839.50600000098 435392.98000000045, 179028.75499999896 434239.5709999986)"
vliegln_krib_waal_2012.26,14237.5897797,ruw_26,2012-08-24T00:00:00,,,"LINESTRING (163547.84200000018 435270.7430000007, 177734.7899999991 434070.95699999854)"
vliegln_krib_waal_2012.27,14337.4167121,ruw_27,2012-08-24T00:00:00,,,"LINESTRING (164785.16299999878 434902.93499999866, 179069.35700000077 433668.71400000155)"
vliegln_krib_waal_2012.28,14191.3379688,ruw_28,2012-08-24T00:00:00,,,"LINESTRING (163513.2259999998 434784.23800000176, 177652.70100000128 433572.08199999854)"
vliegln_krib_waal_2012.29,4329.5331876,ruw_291,2012-08-24T00:00:00,,,"LINESTRING (186216.86100000143 431919.7490000017, 190394.83100000024 430784.22100000083)"
vliegln_krib_waal_2012.30,4002.13601761,ruw_292,2012-08-24T00:00:00,,,"LINESTRING (187824.11499999836 431484.23099999875, 191684.9389999993 430430.12999999896)"
vliegln_krib_waal_2012.31,16762.2803908,ruw_30,2012-08-24T00:00:00,,,"LINESTRING (175550.2109999992 434602.87099999934, 191718.9360000007 430181.7419999987)"
vliegln_krib_waal_2012.32,16691.5213509,ruw_31,2012-08-24T00:00:00,,,"LINESTRING (174203.51199999824 434719.9389999993, 190298.90799999982 430298.9519999996)"
vliegln_krib_waal_2012.33,16641.170351,ruw_32,2012-08-24T00:00:00,,,"LINESTRING (175448.14499999955 434165.7710000016, 191486.50600000098 429727.3579999991)"
vliegln_krib_waal_2012.34,16922.9325681,ruw_33,2012-08-24T00:00:00,,,"LINESTRING (173794.60799999908 434337.8359999992, 190111.4299999997 429849.2989999987)"
vliegln_krib_waal_2012.35,14944.561489,ruw_34,2012-08-24T00:00:00,,,"LINESTRING (176897.6959999986 433212.0729999989, 191319.09699999914 429292.4919999987)"
vliegln_krib_waal_2012.36,13420.0721426,ruw_35,2012-08-24T00:00:00,,,"LINESTRING (177081.5300000012 432926.18200000003, 190019.58399999887 429361.76099999994)"
vliegln_krib_waal_2012.37,7566.81095788,ruw_36,2012-08-24T00:00:00,,,"LINESTRING (183993.46400000155 430798.5700000003, 191286.17500000075 428780.4050000012)"
vliegln_krib_waal_2012.38,6806.470273,ruw_37,2012-08-24T00:00:00,,,"LINESTRING (183356.98900000006 430679.6030000001, 189930.6330000013 428914.59699999914)"
vliegln_krib_waal_2012.39,5522.51997989,ruw_38,2012-08-24T00:00:00,,,"LINESTRING (185123.2109999992 429957.7049999982, 190454.62099999934 428517.46400000155)"
vliegln_krib_waal_2012.40,6178.06294366,ruw_39,2012-08-24T00:00:00,,,"LINESTRING (183822.1169999987 430068.5520000011, 189774.48699999973 428413.93499999866)"
