Stembureau_naam;Stembureau_nummer;Stembureau_adres;Stembureau_plaats;VVD;PvdA;PVV;CDA;SP;D66;GL;CU;SGP;50+;PvdD;NLOK;LIBP;VLok;VrP;JL;Geldig;Blanco;Ongeldig;Oproep
1 Stadhuis;1;ingang Voorstraat 367;Dordrecht;238;143;95;67;159;213;92;40;25;26;61;4;1;5;0;4;1173;3;3;1444
2 Stadskantoor;2;Spuiboulevard 300;Dordrecht;124;121;85;94;123;161;69;40;41;21;48;5;3;1;1;2;939;3;3;1356
3 Het Praathuis;3;Mariënbornstraat 3a;Dordrecht;26;45;30;15;53;35;34;10;3;8;22;1;3;2;0;1;288;2;2;1141
4 Centrum Stapal;4;Otto Dickeplein 1;Dordrecht;91;94;91;51;71;93;42;14;7;27;45;5;2;1;0;2;636;2;3;1224
6 Wielborgh, het Stadswiel;6;Beverwijckstraat 49;Dordrecht;105;66;46;51;67;69;55;18;5;16;28;2;1;4;0;0;533;3;5;1436
7 Schoolgebouw;7;Blekersdijk 94;Dordrecht;87;79;47;48;80;117;62;34;15;9;36;0;0;1;0;0;615;4;3;1385
8 Dordrechts Museum;8;Museumstraat 34;Dordrecht;110;93;83;46;129;144;70;21;10;27;53;2;1;2;0;4;795;8;6;2688
9 Energiehuis;9;Noordendijk 148;Dordrecht;70;70;39;47;85;83;58;23;3;19;27;16;0;1;0;1;542;4;3;1380
10 School Noordhove;10;Oranje Vrijstaatplein 2;Dordrecht;50;42;62;41;94;60;45;31;20;12;29;5;0;1;1;4;497;4;0;1293
15 Schoolgebouw;15;Vogelplein 44;Dordrecht;97;60;50;44;71;101;53;44;24;20;45;7;1;4;0;1;622;2;2;1201
17 Zorgcentrum De Linde;17;Bankastraat 158;Dordrecht;54;69;79;60;85;66;47;53;36;27;33;4;0;2;0;1;616;2;5;867
18 Werkplaats Oost;18;Madoerastraat 2;Dordrecht;51;30;29;40;47;39;34;28;21;6;21;0;0;1;0;2;349;1;0;1228
19 Kerkgebouw Pinkstergemeente;19;Noordendijk 262;Dordrecht;119;49;42;44;55;43;20;30;24;17;23;2;0;1;0;2;471;1;2;1303
20 Dordtse Vrije School;20;Dubbelmondestraat 1;Dordrecht;37;64;64;40;80;63;45;54;29;21;38;1;1;3;0;0;540;0;6;1244
22 School de Repelaer;22;Standhasenstraat 47;Dordrecht;51;68;68;63;70;93;59;44;75;16;31;0;0;0;0;2;640;1;2;1541
26 Ark van Noach;26;Maasstraat 14;Dordrecht;37;44;86;27;74;30;15;36;21;23;32;2;1;0;0;2;430;0;3;1559
27 School De Regenboog;27;Volkerakweg 60;Dordrecht;36;30;98;42;91;37;5;25;15;32;25;1;0;1;1;0;439;1;1;1249
29 Woon- en Zorgcentr. Merwelanden;29;Haringvlietstraat 515;Dordrecht;41;52;100;92;60;30;15;17;3;46;14;4;1;0;0;1;476;8;0;1222
33 Soc. Cultureel Centrum Aksa;33;Willem de Zwijgerlaan 1;Dordrecht;17;30;62;61;42;34;17;11;7;15;14;16;0;1;0;3;330;3;1;1224
34 Prinsemarij;34;Nassauweg 2;Dordrecht;72;75;150;63;125;96;54;47;79;34;49;2;5;3;0;4;858;4;6;2666
36 Gebouw Dorswedo;36;Brouwersdijk 4;Dordrecht;49;45;107;33;64;44;16;47;32;29;29;7;1;0;0;1;504;5;2;1206
37 Prins Bernhardschool;37;Willaertstraat 2;Dordrecht;37;36;132;48;65;31;20;42;23;15;28;3;0;1;0;2;483;0;4;1446
38 Het Weizigt NMC;38;Van Baerleplantsoen 30a;Dordrecht;60;76;67;57;71;81;34;44;25;17;32;2;1;1;0;0;568;2;2;1435
39 Julianakerk;39;Mauritsweg 286;Dordrecht;20;49;56;28;56;27;22;19;77;14;12;6;0;1;0;4;391;5;2;1062
