FID,cluster_,se_anno_cad_data,gdb_geomattr_data,shape
werkvakken_bestortingen.1,1,,,"POLYGON ((32436.688700001687 385090.09690000117, 32704.63030000031 385090.09690000117, 32764.815900001675 385069.84209999815, 32838.31179999933 385080.8376000002, 32867.82589999959 385054.2170000002, 32867.82589999959 384834.3081, 32436.688700001687 384834.3081, 32436.688700001687 385090.09690000117))"
werkvakken_bestortingen.2,1,,,"POLYGON ((33634.85040000081 385415.63049999997, 33791.66220000014 385470.9375, 33910.08439999819 385174.2314000018, 33682.349399998784 385079.2333999984, 33580.19399999827 385314.1257000007, 33634.85040000081 385415.63049999997))"
werkvakken_bestortingen.3,1,,,"POLYGON ((39404.0784999989 381933.8273999989, 39528.724100001156 381853.9820000008, 39456.104499999434 381740.53649999946, 39332.5428000018 381820.7432000004, 39404.0784999989 381933.8273999989))"
werkvakken_bestortingen.4,1,,,"POLYGON ((46288.235199999064 411920.9125000015, 46349.2034999989 411875.6779999994, 46312.49139999971 411831.09899999946, 46458.02870000154 411722.9294000007, 46494.74080000073 411737.3520000018, 46513.75239999965 411694.73970000073, 46587.8321999982 411694.73970000073, 46780.57079999894 411634.4270000011, 46757.62570000067 411578.70329999924, 46452.12849999964 411607.54850000143, 46192.61120000109 411796.51370000094, 46288.235199999064 411920.9125000015))"
werkvakken_bestortingen.5,1,,,"POLYGON ((51070.50510000065 407726.99230000004, 51077.465900000185 407675.22140000015, 51168.82620000094 407516.8634000011, 51057.018599998206 407452.04100000113, 50931.72430000082 407648.248300001, 51070.50510000065 407726.99230000004))"
werkvakken_bestortingen.6,1,,,"POLYGON ((52632.45360000059 405641.1526999995, 52680.2947999984 405635.8370000012, 52876.21579999849 405571.2894000001, 52896.71920000017 405558.379900001, 53028.09259999916 405506.741799999, 53050.874099999666 405500.6667000018, 53097.196600001305 405499.1479999982, 53225.53240000084 405450.54740000144, 53241.479499999434 405418.6532999985, 53256.667199999094 405414.09699999914, 53282.48620000109 405414.8563000001, 53305.2677000016 405253.8669999987, 53145.79710000008 405306.2644000016, 53090.362100001425 405400.4279999994, 52609.67210000008 405565.97370000184, 52632.45360000059 405641.1526999995))"
werkvakken_bestortingen.7,1,,,"POLYGON ((46443.517200000584 411804.78929999843, 46492.063400000334 411775.20650000125, 46534.03559999913 411772.17240000144, 46585.615899998695 411782.0333000012, 46588.64999999851 411694.5491000004, 46513.555100001395 411694.5491000004, 46494.33900000155 411737.02699999884, 46457.67650000006 411722.6147999987, 46408.37180000171 411759.2773000002, 46443.517200000584 411804.78929999843))"
werkvakken_bestortingen.8,2,,,"POLYGON ((53355.333000000566 383987.05970000103, 53494.30680000037 383901.8313000016, 53380.024099998176 383709.8949000016, 53345.83689999953 383617.10119999945, 53276.974199999124 383540.91270000115, 53169.5289000012 383345.55750000104, 53111.39449999854 383379.5789999999, 53390.52809999883 383842.86250000075, 53379.51850000024 383868.8913999982, 53356.01639999822 383951.1812000014, 53355.333000000566 383987.05970000103))"
werkvakken_bestortingen.9,2,,,"POLYGON ((52347.39990000054 381675.50279999897, 52362.0522999987 381713.7265000008, 52483.38639999926 381684.4081999995, 52458.38439999893 381503.9455999993, 52353.01159999892 381335.9188000001, 52275.08900000155 381167.7322999984, 52181.96400000155 380785.7296999991, 52113.54560000077 380608.98220000044, 51871.001099999994 379996.0769000016, 51630.02809999883 379388.02589999884, 51555.11419999972 379348.07189999893, 51523.25600000098 379462.39389999956, 51545.8451000005 379469.2688000016, 51689.23680000007 379815.9624999985, 51736.37929999828 379925.9615999982, 51762.89699999988 379992.7467, 51792.36100000143 380008.4609000012, 51810.039400000125 380039.88919999823, 51801.200199998915 380079.1746000014, 51822.80719999969 380173.4596000016, 51851.28909999877 380268.72670000046, 51921.02070000023 380455.3322999999, 52009.66660000011 380661.3158, 52024.590900000185 380708.2551999986, 52037.58949999884 380706.57019999996, 52049.683499999344 380706.9560999982, 52054.19889999926 380713.5509000011, 52053.23600000143 380720.77230000123, 52045.773899998516 380728.2344999984, 52064.4123999998 380832.4721000008, 52115.4833999984 381004.3456999995, 52133.16180000082 381128.0947000012, 52160.661600001156 381210.5940000005, 52226.46460000053 381359.87849999964, 52297.70919999853 381492.6664999984, 52350.93800000101 381561.63489999995, 52364.740100000054 381589.23910000175, 52347.39990000054 381675.50279999897))"
werkvakken_bestortingen.10,2,,,"POLYGON ((44070.75809999928 379875.15089999884, 44224.177999999374 379764.44420000166, 44384.11030000076 379650.18459999934, 44411.830499999225 379629.6334999986, 44428.55820000172 379611.47199999914, 44506.042399998754 379511.9684999995, 44459.90430000052 379471.0135000013, 44345.208099998534 379607.04850000143, 44034.84450000152 379821.2804999985, 44070.75809999928 379875.15089999884))"
werkvakken_bestortingen.11,2,,,"POLYGON ((43843.36630000174 380111.3007000014, 43863.50120000169 380035.68299999833, 43876.924400001764 380009.7314000018, 43893.47980000079 379989.1490000002, 43910.482599999756 379971.25140000135, 43931.06489999965 379956.48580000177, 43953.43699999899 379945.74720000103, 44021.00070000067 379909.5044, 44070.751299999654 379875.14869999886, 44034.71700000018 379821.23589999974, 43918.08909999952 379895.18620000035, 43876.47700000182 379920.69040000066, 43835.75979999825 379950.2215999998, 43792.35790000111 380041.0522999987, 43843.36630000174 380111.3007000014))"
