wijknummer,oppervlakte,wijknaam
46,397065,bosscheweg
47,901996,gesworen hoek
48,1259067,huibeven
49,569913,campenhoef
50,72692,heyhoef
51,464608,heerevelden
54,2390444,leeuwerik
55,657890,dalem noord
52,562794,dongewijk
53,985182,tuindorp de kievit
56,1000667,dalem zuid
57,1652969,koolhoven
58,1666002,witbrant
59,3775538,bedrijventerrein kraaiven
60,6075167,bedrijventerrein vossenberg
10,795081,binnenstad
11,891348,hoogvenne
12,291813,armhoef
13,200339,jeruzalem
15,592417,broekhoven
16,702330,oerle
14,526575,fatima
17,795165,korvel
18,362542,trouwlaan - uitvindersbuurt
19,341028,sint anna
20,492764,noordhoek
21,217466,spoorzone zuid
22,480868,bouwmeester
23,824134,de hasselt
24,478931,het goirke
25,638033,groeseind-hoefstraat
26,637666,loven-besterd
27,543867,theresia
28,160070,spoorzone noord
29,1026387,kanaalzone
30,1537937,moerenburg
31,1351454,de leij
32,1353543,groenewoud
33,1046215,stappegoor
34,630109,bedrijventerrein het laar
35,1941280,de blaak
36,862855,zorgvlied
37,1426048,de reit
38,2507287,het zand
39,1129812,wandelbos noord
41,1462215,de oude warande
42,1290622,stokhasselt
43,1770787,heikant
40,1446807,wandelbos zuid
44,1344482,quirijnstok
45,2084485,ind.terrein loven
62,912141,buitengebied tilburg zuid-oost
63,14662742,buitengebied tilburg zuid-west
64,8469876,buitengebied tilburg noord-oost
65,6376386,buitengebied tilburg noord-west
66,11756561,berkel-enschot
67,17778145,udenhout
68,10330879,biezenmortel
61,1556095,de katsbogten
