Ministerie;Leverancier;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
AZ;A.C.S. B.V.;;1;;;;;;;1
AZ;Arvato Benelux B.V.;;;;;;;1;;1
AZ;Axiell ALM Netherlands B.V.;;;;1;;;;;1
AZ;BCT B.V.;;;;;1;;;;1
AZ;Bourgonje Geluid- en Lichtservice B.V.;;;2;;;;;;2
AZ;BPI Services B.V.;;;2;;;;;;2
AZ;Bumicom Telecommunicatie B.V.;;;1;2;;;;;2
AZ;Bureau BlauwGeel B.V.;;;;1;;;;;1
AZ;Buyitdirect.com B.V.;;3;;;;;;;3
AZ;Centralpoint Amstelveen B.V.;;;2;;;;;;2
AZ;Centralpoint Nijmegen B.V.;;3;4;;1;;;2;5
AZ;CM.COM Netherlands B.V.;;;;;;;1;;1
AZ;COMPAREX Nederland B.V.;;;;4;5;;;;6
AZ;Coolblue B.V.;;1;;;;;;;1
AZ;DEDACOM B.V.;;;;;;;1;;1
AZ;DTG B.V.;;;;;;;1;;1
AZ;Easy Systems B.V.;;;;2;;;;;2
AZ;EMMA Communicatie B.V.;;;;;;;;2;2
AZ;Entopic B.V.;;;;;1;;;;1
AZ;GW Cross Media B.V.;;;;;;;;2;2
AZ;Hewlett-Packard Nederland B.V.;;;;;;;;2;2
AZ;Holland Catering Specialisten Loc. Woudestein;;;1;;;;;;1
AZ;Icorp.NL B.V.;;;;;1;;;;1
AZ;ING Bank N.V.;;;;1;1;;;;1
AZ;KPN B.V.;;;;;;;2;3;3
AZ;KPN Contact lokatie Eindhoven;;;;;1;;1;;1
AZ;KPN Mobiel;;;;;;;1;;1
AZ;KPN Ventures B.V.;;;;;;;1;;1
AZ;KPN winkel;;;;;3;;;;3
AZ;Liters B.V.;;;;2;;;;;2
AZ;Loo Van Eck B.V.;;;;2;;;;;2
AZ;Micro Focus Nederland B.V.;;;;;2;;;;2
AZ;Motiv It Masters B.V.;;;;;;;;2;2
AZ;Multi-Post Nederland B.V.;;;1;;;;;;1
AZ;Nielsen Media Research B.V.;;;;1;;;;;1
AZ;Office Depot B.V.;;1;;;;;;;1
AZ;Oped (II) B.V.;;;;2;;;;;2
AZ;Pardon Consult;;;;1;1;;;;1
AZ;Preware IT B.V.;;;;;1;;;;1
AZ;Prik! Vormgeving;;;;;1;;;;1
AZ;Prisma-IT B.V.;;;;;1;;;;1
AZ;Protinus IT B.V.;;1;;1;1;;;;1
AZ;Reconi B.V.;;;;1;;;;;1
AZ;SAP Nederland B.V.;;;;;2;;;;2
AZ;Slik Media;;;;1;;;;;1
AZ;Softcrow B.V.;;;;;1;;;;1
AZ;SoftwareONE B.V.;;;;;4;;;4;4
AZ;Solvinity B.V.;;;;;;;;1;1
AZ;Square Information Solutions;;;;1;1;;;;2
AZ;Tele2 Nederland B.V.;;;;;1;;2;;2
AZ;Telindus-ISIT B.V.;;;;;4;;;;4
AZ;TOPdesk Nederland B.V.;;;;;1;;;2;2
AZ;UNIT4 Business Software B.V.;;;;;3;;;;3
AZ;VCD Business Intelligence B.V.;;;;;1;;;;1
AZ;Vodafone;;;;;;;3;1;3
AZ;Xerox (Nederland) B.V.;;1;1;;1;;;;2
AZ;Ziggo B.V.;;;;;1;;2;;2
BZ;Atos Nederland B.V.;;;;;;;;9;9
BZ;B-Lay B.V.;;;;;1;;;2;2
BZ;BloomReach B.V.;;;;;2;;;;2
BZ;Buyitdirect.com B.V.;;1;;;;;;;1
BZ;Capgemini N.V.;;;;;;;;7;7
BZ;CGI Nederland B.V.;;;;;;;;7;7
BZ;CM.COM Netherlands B.V.;;;;;;;1;;1
BZ;CoBrowser.net B.V.;;;;;;;;2;2
BZ;COMPAREX Nederland B.V.;;;;;5;;;3;5
BZ;Copex Air B.V.;;;;;;;;1;1
BZ;Creapolis Media;;;;;2;;;;2
BZ;De Staffing Groep Nederland B.V.;;;;;;;;4;4
BZ;DXC Technology;;;;;;;;1;1
BZ;easy2rent B.V.;;1;;;;;;1;2
BZ;Ernst & Young Accountants LLP;;;;;;;;2;2
BZ;EsperantoXL B.V.;;;;;;;;2;2
BZ;eXtropy;;;;;;;;2;2
BZ;Fortes Solutions B.V.;;;;;;;;1;1
BZ;Fox-IT;;;;;;;;3;3
BZ;Gartner Nederland B.V.;;;;;5;;;3;6
BZ;GoodHabitz B.V.;;;;;2;;;;2
BZ;GW Cross Media B.V.;;;;;;;;1;1
BZ;Identiteit & Diensten B.V.;;;;;;;1;1;1
BZ;Jstack B.V.;;;;;;;;7;7
BZ;KCM Survey B.V.;;;;;;;;2;2
BZ;Microsoft B.V.;;;;;;;;7;7
BZ;NFGD Zoetermeer B.V.;;;;;;;;2;2
BZ;Oracle Nederland;;;;;6;;;;6
BZ;Orange Business Netherlands B.V.;;;;;;;;9;9
BZ;Ordina Nederland B.V.;;;;;;;;2;2
BZ;PayPlaza B.V.;;;;;;;1;;1
BZ;Planon B.V.;;;;;;;;4;4
BZ;PlanTel;;;;;;;;1;1
BZ;PointLogic HR B.V.;;;;;2;;;;2
BZ;Pricewaterhousecoopers B.V.;;;;;;;;2;2
BZ;Protinus IT B.V.;;;;;2;;;1;2
BZ;QuoVadis Trustlink B.V.;;;;;2;;;;2
BZ;Randstad Uitzendbureau B.V.;;;;;;;;2;2
BZ;SaySimple B.V.;;;;;;;;2;2
BZ;Schut-Copex B.V.;;;;;;;1;1;1
BZ;Schutten It B.V.;;;;;2;;;;2
BZ;Sectra Communications B.V.;;;;;;;7;;7
BZ;SoftwareONE B.V.;;;;;8;;;1;8
BZ;Starsound Productions Exploitatie B.V.;;;;;;;;2;2
BZ;Team zimmerman;;;;;;;;2;2
BZ;Tie Nederland B.V.;;;;;;;;1;1
BZ;TNO B.V.;;;;;;;;2;2
BZ;Transip B.V.;;;;;;;;1;1
BZ;Uno Automatiseringdiensten B.V.;;;;;1;;;;1
BZ;Uptrends B.V.;;;;;;;;1;1
BZ;Vodafone;;;;;;;6;;6
BZ;VX Company IT Services B.V.;;;;;;;;4;4
BZK;.FABRIC;;;;;;;;1;1
BZK;200 OK;;;;;;;;1;1
BZK;20Face B.V.;2;;;;;;;;2
BZK;2Foqus B.V.;;;;;2;;;;2
BZK;A & C Presentations;;;;;1;;;;1
BZK;ACTME B.V.;;;;;1;;;;1
BZK;Adobe;;;;;1;;;;1
BZK;Advisie Business Consultants;;;;3;2;;;;4
BZK;AL HAYAT restaurant;;;;1;;;;;1
BZK;Albron Nederland;;;;1;;;;;1
BZK;AlterNET Internet B.V.;;;;;1;;;;1
BZK;Analys.io b.v.;;;;;;;;2;2
