FID,invent_oms,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
bebouwde_kommen_wegvak.1,WASSENAAR,,600424908,2021-10-01T00:00:00,0,32,060042490820211001,LTK0000475690,R,I,,"LINESTRING (86561.90980000049 460079.8359999992, 86548.12900000066 460064.8258999996, 86544.12090000138 460054.1785000004)"
bebouwde_kommen_wegvak.2,WASSENAAR,,600424907,2022-01-01T00:00:00,0,31,060042490720220101,LTK0000475690,R,I,,"LINESTRING (86582.61829999834 460102.96379999816, 86561.90980000049 460079.8359999992)"
bebouwde_kommen_wegvak.3,WASSENAAR,,600424910,2021-04-01T00:00:00,0,13,060042491020210401,LTK0000475690,R,I,,"LINESTRING (86585.10009999946 460115.3167000003, 86584.44330000132 460107.94629999995, 86582.61829999834 460102.96379999816)"
bebouwde_kommen_wegvak.4,WASSENAAR,,600424902,2020-12-01T00:00:00,0,11,060042490220201201,LTK0000475690,R,I,,"LINESTRING (86595.66750000045 460118.12519999966, 86585.10009999946 460115.3167000003)"
bebouwde_kommen_wegvak.5,WASSENAAR,,600106323,2021-10-01T00:00:00,0,91,060010632320211001,LTK0000475690,R,I,,"LINESTRING (84720.10680000111 458166.73739999905, 84691.30750000104 458138.9763999991, 84671.64310000092 458120.44839999825, 84653.99639999866 458104.2100000009)"
bebouwde_kommen_wegvak.6,WASSENAAR,,600480460,2022-02-01T00:00:00,0,1216,060048046020220201,LTK0000475690,R,I,,"LINESTRING (85575.79030000046 459030.6420999989, 85538.2564000003 458992.0976999998, 85476.16589999944 458926.84120000154, 85448.18609999865 458898.2456, 85433.98020000011 458884.1671999991, 85376.49870000035 458828.51110000163, 85347.96020000055 458800.4809000008, 85314.63929999992 458767.28730000183, 85229.88859999925 458682.32919999957, 85159.71730000153 458611.7195000015, 85061.26370000094 458512.1743000001, 84936.19779999927 458384.8476999998, 84807.87189999968 458253.6020999998, 84793.79419999942 458239.3894999996, 84755.18899999931 458200.99549999833, 84720.10680000111 458166.73739999905)"
bebouwde_kommen_wegvak.7,WASSENAAR,,600480459,2022-02-01T00:00:00,0,368,060048045920220201,LTK0000475690,R,I,,"LINESTRING (85829.48550000042 459297.45160000026, 85819.99610000104 459287.681499999, 85792.05999999866 459255.7223000005, 85791.26240000129 459254.48490000144, 85751.71829999983 459209.01779999956, 85738.31450000033 459194.1545000002, 85711.02219999954 459164.8997000009, 85669.42240000144 459121.66110000014, 85655.2965000011 459107.500500001, 85626.8145999983 459079.40349999815, 85581.45399999991 459035.4210000001, 85575.79030000046 459030.6420999989)"
bebouwde_kommen_wegvak.8,WASSENAAR,,169315048,2021-10-01T00:00:00,164,207,016931504820211001,LTK0000475690,L,I,,"LINESTRING (84657.1715000011 458097.0256999992, 84688.87150000036 458126.58309999853)"
bebouwde_kommen_wegvak.9,WASSENAAR,,600480446,2022-02-01T00:00:00,0,12,060048044620220201,LTK0000475690,L,I,,"LINESTRING (85836.71909999847 459281.5546000004, 85844.9787000008 459289.73580000177)"
bebouwde_kommen_wegvak.10,WASSENAAR,,600480527,2022-02-01T00:00:00,0,7,060048052720220201,LTK0000475690,L,I,,"LINESTRING (88053.48699999973 461650.3980999999, 88059.16519999877 461654.5934999995)"
