Gemeente,CBS Gemeentecode,Bouwjaar,Status Pand,Wijknaam,CBS Wijknummer,Buurtnaam,CBS Buurtnummer,Straatnaam,Huisnummer,Huisnummertoevoeging,Extra adresaanduiding,Postcode,(Woon)plaats,X,Y,latitude,longitude,BAG Pand nummer,BAG Adresnummer,GEOMETRIE
Stichtse Vecht,G1904,1300,Pand in gebruik,Loenen aan de Vecht,WK190403,Loenen Dorpskern,BK19040310,Dorpsstraat,49,,,3632AR,Loenen aan de Vecht,130113.18,469065.95,5.023101,52.209132,0329100000000369,0329200000000292,"POLYGON ((130109.495 469074.872,130105.975 469075.107,130106.061 469075.831,130105.379 469075.941,130105.344 469075.191,130101.804 469075.504,130101.874 469076.247,130101.222 469076.317,130101.152 469075.575,130100 469075.682,130097.438 469075.919,130097.507 469076.662,130096.917 469076.685,130096.876 469075.99,130092.907 469076.313,130092.4 469077.147,130091.752 469076.676,130092.203 469076.015,130091.956 469071.886,130091.142 469063.921,130090.723 469059.916,130090.096 469059.369,130090.56 469058.778,130091.429 469059.368,130095.383 469059.067,130095.322 469058.269,130095.974 469058.199,130096.049 469059.067,130099.568 469058.741,130099.485 469058.019,130100 469057.961,130100.172 469057.942,130100.158 469058.719,130103.67 469058.357,130103.572 469057.657,130104.322 469057.623,130104.433 469058.393,130108.064 469058.08,130107.679 469053.223,130107.155 469052.835,130107.666 469052.216,130108.128 469052.561,130116.732 469052.097,130117.481 469051.397,130117.686 469051.693,130117.877 469051.969,130117.318 469052.436,130117.707 469059.867,130118.296 469059.845,130118.402 469061.067,130121.088 469060.809,130120.995 469059.656,130121.772 469059.58,130121.858 469060.698,130125.28 469060.427,130125.194 469059.309,130125.894 469059.302,130126.043 469060.372,130128.334 469060.206,130128.26 469059.158,130129.05 469059.152,130129.153 469060.159,130131.164 469060.893,130131.694 469059.892,130132.425 469060.239,130131.999 469061.31,130133.318 469062.662,130134.46 469062.228,130134.658 469062.718,130134.764 469062.981,130133.711 469063.595,130133.968 469065.129,130135.129 469065.557,130134.9 469066.339,130133.753 469065.981,130132.773 469067.643,130133.435 469068.669,130132.779 469069.19,130132.032 469068.198,130130.193 469069.032,130130.307 469070.379,130129.522 469070.42,130129.392 469069.455,130127.199 469069.655,130127.356 469070.67,130123.599 469071.077,130123.872 469073.833,130124.476 469074.546,130123.896 469075.088,130123.256 469074.472,130119.104 469074.882,130119.543 469078.507,130120.107 469079.011,130119.548 469079.478,130119.088 469079.044,130110.772 469079.974,130110.371 469080.519,130109.655 469079.97,130110.062 469079.461,130109.495 469074.872))"
Stichtse Vecht,G1904,1350,Pand in gebruik,Loenersloot,WK190410,Poldergebied Loenersloot,BK19041001,Rijksstraatweg,211,a,,3634AL,Loenersloot,128350.81,471351.6,4.997138,52.229592,0329100000003168,1904200000032174,"POLYGON ((128341.026 471352.678,128344.693 471344.42,128353.859 471348.588,128356.56 471342.465,128355.925 471341.827,128355.323 471341.05,128354.861 471340.096,128354.719 471339.262,128354.829 471338.323,128355.106 471337.645,128355.5 471336.963,128356.678 471335.83,128358.106 471331.121,128358.66 471329.292,128367.38 471331.773,128365.877 471336.603,128370.468 471338.402,128371.012 471338.615,128378.122 471341.401,128369.943 471363.346,128369.729 471363.267,128342.075 471353.065,128341.327 471352.789,128341.092 471352.702,128341.026 471352.678))"
Stichtse Vecht,G1904,1350,Pand in gebruik,Loenersloot,WK190410,Poldergebied Loenersloot,BK19041001,Rijksstraatweg,211,b,,3634AL,Loenersloot,128353.9,471353.8,4.997183,52.229612,0329100000003168,1904200000032175,"POLYGON ((128341.026 471352.678,128344.693 471344.42,128353.859 471348.588,128356.56 471342.465,128355.925 471341.827,128355.323 471341.05,128354.861 471340.096,128354.719 471339.262,128354.829 471338.323,128355.106 471337.645,128355.5 471336.963,128356.678 471335.83,128358.106 471331.121,128358.66 471329.292,128367.38 471331.773,128365.877 471336.603,128370.468 471338.402,128371.012 471338.615,128378.122 471341.401,128369.943 471363.346,128369.729 471363.267,128342.075 471353.065,128341.327 471352.789,128341.092 471352.702,128341.026 471352.678))"
Stichtse Vecht,G1904,1350,Pand in gebruik,Loenersloot,WK190410,Poldergebied Loenersloot,BK19041001,Rijksstraatweg,211,,,3634AL,Loenersloot,128365.57,471346.31,4.997354,52.229545,0329100000003168,0329200000002156,"POLYGON ((128341.026 471352.678,128344.693 471344.42,128353.859 471348.588,128356.56 471342.465,128355.925 471341.827,128355.323 471341.05,128354.861 471340.096,128354.719 471339.262,128354.829 471338.323,128355.106 471337.645,128355.5 471336.963,128356.678 471335.83,128358.106 471331.121,128358.66 471329.292,128367.38 471331.773,128365.877 471336.603,128370.468 471338.402,128371.012 471338.615,128378.122 471341.401,128369.943 471363.346,128369.729 471363.267,128342.075 471353.065,128341.327 471352.789,128341.092 471352.702,128341.026 471352.678))"
Stichtse Vecht,G1904,1400,Pand in gebruik,Vreeland,WK190406,Vreeland Dorp,BK19040603,Kerkplein,1,,,3633BG,Vreeland,130854.74,471467.53,5.033779,52.23075,0329100000004596,0329200000003168,"POLYGON ((130855.152 471473.559,130838.548 471474.817,130837.655 471463.031,130853.921 471461.799,130853.66 471458.352,130858.754 471457.966,130859.162 471463.347,130871.1 471462.443,130871.68 471470.093,130865.193 471470.585,130865.445 471473.914,130860.469 471474.291,130860.653 471476.713,130855.421 471477.11,130855.152 471473.559))"
Stichtse Vecht,G1904,1400,Pand in gebruik,Nigtevecht,WK190408,Nigtevecht Dorp,BK19040804,Dorpsstraat,45,,,1393NG,Nigtevecht,130552.26,476149.05,5.029013,52.272812,0329100000005514,0329200000003758,"POLYGON ((130538.091 476149.956,130538.1 476149.057,130538.126 476146.536,130538.14 476145.105,130542.449 476145.149,130542.471 476143.023,130548.146 476143.081,130550.093 476143.101,130556.005 476143.161,130555.994 476144.218,130563.106 476144.29,130566.469 476146.168,130566.427 476150.246,130563.321 476152.168,130559.541 476152.13,130559.511 476155.088,130555.554 476155.048,130555.577 476152.863,130542.583 476152.568,130542.555 476152.207,130539.411 476152.175,130539.433 476149.97,130538.091 476149.956))"
Stichtse Vecht,G1904,1400,Pand in gebruik,Vreeland,WK190406,Vreeland Dorp,BK19040603,Kerkplein,1,A,,3633BG,Vreeland,130866.45,471448.51,5.033952,52.230579,0329100000004596,1904200000034717,"MULTIPOLYGON (((130838.548 471474.817,130837.655 471463.031,130853.921 471461.799,130853.66 471458.352,130858.754 471457.966,130859.162 471463.347,130871.1 471462.443,130871.68 471470.093,130865.193 471470.585,130865.445 471473.914,130860.469 471474.291,130860.653 471476.713,130855.421 471477.11,130855.152 471473.559,130838.548 471474.817)),((130863.2 471442.264,130869.297 471442.036,130869.371 471443.998,130869.694 471452.587,130869.73 471453.558,130862.005 471453.847,130861.991 471453.478,130861.863 471450.07,130861.572 471442.325,130863.2 471442.264)))"
Stichtse Vecht,G1904,1459,Pand in gebruik,Breukelen,WK190402,Breukelen Midden,BK19040215,Kerkbrink,35,,,3621AN,Breukelen,128747.37,464968.68,5.003437,52.172244,0311100000005759,0311200000002572,"POLYGON ((128746.813 464984.388,128736.171 464981.639,128734.442 464981.236,128734.519 464980.603,128735.038 464978.789,128731.058 464978.009,128732.003 464974.822,128733.21 464975.179,128735.677 464975.69,128736.229 464973.67,128738.132 464974.046,128738.241 464973.624,128742.101 464974.559,128742.692 464972.288,128744.963 464963.482,128752.124 464965.201,128749.608 464973.881,128749.028 464975.881,128746.813 464984.388))"
Stichtse Vecht,G1904,1459,Pand in gebruik,Breukelen,WK190402,Breukelen Midden,BK19040215,Kerkbrink,35,,,3621AN,Breukelen,128747.37,464968.68,5.003437,52.172244,0311100000005759,0311200000002572,"POLYGON ((128746.813 464984.388,128736.171 464981.639,128734.442 464981.236,128734.519 464980.603,128735.038 464978.789,128731.058 464978.009,128732.003 464974.822,128733.21 464975.179,128735.677 464975.69,128736.229 464973.67,128738.132 464974.046,128738.241 464973.624,128742.101 464974.559,128742.692 464972.288,128744.963 464963.482,128752.124 464965.201,128749.608 464973.881,128749.028 464975.881,128746.813 464984.388))"
Stichtse Vecht,G1904,1500,Pand in gebruik,Loenen aan de Vecht,WK190403,Loenen Dorpskern,BK19040310,Dorpsstraat,68,,,3632AV,Loenen aan de Vecht,130136.65,469031.46,5.023447,52.208823,0329100000000153,0329200000000109,"POLYGON ((130127.738 469042.986,130133.924 469028.518,130135.686 469024.636,130134.483 469024.049,130135.483 469021.728,130137.293 469022.456,130136.84 469023.385,130139.601 469024.75,130137.163 469028.957,130140.668 469030.83,130132.901 469045.713,130127.738 469042.986))"
Stichtse Vecht,G1904,1500,Pand in gebruik,Loenen aan de Vecht,WK190403,Loenen Dorpskern,BK19040310,Torenstraat,4,,,3632EK,Loenen aan de Vecht,130088.05,469068.83,5.022733,52.209157,0329100000002551,0329200000001751,"POLYGON ((130084.231 469064.3,130091.142 469063.921,130091.956 469071.886,130089.332 469072.187,130089.38 469073.005,130088.805 469073.672,130087.758 469073.745,130087.006 469073.293,130086.874 469072.418,130084.826 469072.627,130084.231 469064.3))"
Stichtse Vecht,G1904,1520,Pand in gebruik,Maarssen,WK190401,Componistenbuurt,BK19040108,Kerkweg,19,,,3603CL,Maarssen,131414.63,461160.96,5.042691,52.138141,0333100000018737,0333200000005416,"POLYGON ((131402.888 461167.636,131403.532 461166.985,131403.625 461162.49,131403.672 461160.198,131403.764 461155.724,131403.316 461155.077,131404.072 461154.607,131404.471 461155.145,131408.619 461155.447,131409.284 461154.842,131409.762 461155.399,131409.077 461155.971,131409.005 461156.885,131412.016 461156.882,131412.068 461155.809,131412.809 461155.839,131412.863 461154.771,131412.752 461154.732,131412.763 461154.311,131413.561 461154.29,131413.548 461152.108,131415.63 461152.208,131415.425 461154.391,131416.334 461154.434,131416.426 461152.517,131420.941 461152.733,131420.854 461154.541,131421.733 461154.584,131421.733 461152.501,131423.811 461152.601,131423.618 461154.517,131424.424 461154.556,131424.523 461151.057,131423.936 461150.487,131424.503 461149.905,131425.172 461150.555,131432.805 461150.722,131433.565 461150.135,131434.05 461150.707,131433.336 461151.279,131433.17 461157.843,131435.4 461157.937,131435.434 461156.947,131436.337 461156.967,131436.339 461157.973,131438.297 461158.072,131438.338 461157.586,131438.807 461157.621,131438.841 461157.055,131439.745 461157.09,131439.724 461158.152,131442.062 461158.255,131442.517 461157.304,131443.35 461157.677,131442.898 461158.653,131444.686 461160.56,131445.582 461160.229,131445.928 461161.115,131444.872 461161.505,131444.799 461163.956,131445.789 461164.495,131445.375 461165.373,131444.363 461164.923,131442.531 461166.63,131442.925 461167.669,131442.078 461167.979,131441.446 461168.637,131441.691 461169.035,131441.213 461169.319,131440.891 461168.804,131439.872 461168.793,131439.519 461169.284,131439.153 461168.977,131439.368 461168.678,131438.827 461168.006,131437.472 461167.937,131437.193 461172.254,131437.557 461172.643,131436.851 461173.246,131436.492 461172.792,131432.546 461172.533,131432.572 461173.224,131433.218 461173.991,131432.51 461174.633,131431.883 461173.941,131424.151 461173.716,131423.375 461174.361,131422.753 461173.633,131423.456 461173.024,131423.51 461172.193,131423.291 461172.163,131423.251 461171.63,131422.549 461170.839,131422.002 461170.827,131422.033 461170.476,131422.566 461170.487,131423.367 461169.779,131423.41 461169.203,131423.645 461169.205,131423.744 461166.56,131420.674 461166.413,131420.613 461167.482,131419.62 461167.464,131419.67 461166.362,131416.693 461166.272,131416.634 461167.348,131415.646 461167.302,131415.682 461166.24,131412.645 461166.139,131412.603 461167.209,131411.624 461167.178,131411.655 461166.117,131408.65 461166.024,131408.593 461167.176,131409.236 461167.897,131408.614 461168.438,131408.024 461167.709,131404.111 461167.58,131403.409 461168.253,131402.888 461167.636))"
Stichtse Vecht,G1904,1583,Pand in gebruik,Nieuwer Ter Aa,WK190404,Nieuwer Ter Aa,BK19040402,Kerklaan,2,,,3626AP,Nieuwer Ter Aa,127074.65,467151.19,4.978806,52.191777,0311100000001722,0311200000000065,"POLYGON ((127058.45 467153.674,127058.554 467151.476,127058.62 467150.077,127058.727 467147.83,127063.841 467148.072,127063.958 467145.629,127064.927 467145.69,127064.89 467146.469,127067.458 467146.591,127067.495 467145.812,127068.228 467145.847,127068.191 467146.626,127070.548 467146.738,127070.586 467145.944,127071.275 467145.977,127071.239 467146.771,127073.858 467146.895,127074.004 467143.801,127073.34 467143.225,127073.905 467142.572,127074.423 467143.048,127078.402 467143.237,127078.878 467142.719,127079.524 467143.284,127078.97 467143.888,127078.823 467146.984,127079.482 467147.015,127079.46 467147.809,127081.527 467147.9,127081.579 467147.157,127082.252 467147.181,127082.232 467147.929,127084.311 467148.028,127084.374 467147.304,127085.037 467147.329,127085.016 467148.069,127087.1 467148.161,127087.167 467147.43,127087.846 467147.485,127087.805 467148.344,127090.475 467150.11,127091.137 467149.745,127091.448 467150.357,127090.744 467150.718,127090.63 467153.946,127091.26 467154.334,127090.909 467154.928,127090.208 467154.495,127087.375 467156.022,127087.347 467156.826,127086.665 467156.819,127086.705 467155.991,127084.612 467155.892,127084.572 467156.742,127083.898 467156.703,127083.938 467155.86,127083.406 467155.834,127083.307 467158.842,127082.301 467159.325,127082.406 467159.466,127082.007 467159.806,127081.804 467159.533,127073.731 467159.15,127073.274 467159.699,127072.605 467159.142,127073.104 467158.543,127073.223 467156.035,127070.645 467155.913,127070.608 467156.695,127069.819 467156.658,127069.856 467155.876,127067.529 467155.765,127067.492 467156.547,127066.703 467156.51,127066.74 467155.728,127064.233 467155.609,127064.195 467156.391,127063.446 467156.355,127063.534 467153.915,127058.45 467153.674))"
Stichtse Vecht,G1904,1594,Pand in gebruik,Loenersloot,WK190410,Loenersloot Dorp,BK19041003,Slotlaan,8,,,3634AP,Loenersloot,128530,471263.94,4.999767,52.228813,0329100000003191,0329200000002172,"POLYGON ((128522.45 471276.801,128521.819 471272.088,128525.084 471271.651,128522.539 471252.652,128534.242 471251.085,128537.419 471274.796,128522.45 471276.801))"
Stichtse Vecht,G1904,1600,Pand in gebruik,Vreeland,WK190406,Vreeland Dorp,BK19040603,Lindengracht,9,,,3633AS,Vreeland,130891.91,471330.44,5.034333,52.229519,0329100000005079,0329200000003477,"POLYGON ((130886.578 471331.427,130887.046 471328.012,130897.29 471329.219,130896.797 471332.757,130886.578 471331.427))"
