;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
ADP International Services B.V.;;;;4;4
AEVES B.V.;2;;;;2
Boardroom@Crisis B.V.;;1;;;1
Branchever. Particul. Org. Int. Samenwerk.;;1;;;1
Bureau van Bijlert;;1;;;1
Change in Context;;2;;;2
Cleve Dominum Beheer;1;;;;1
Customer Revolution B.V.;;;2;;2
EcoValue;;2;;;2
Edith van Ewijk;;1;;;1
Ferro Explore B.V.;;;2;;2
FreedomLab B.V.;;1;;;1
G.J. van Loon Consultancy;;3;;;3
Getronics / Kpn Den Haag7;;;;4;4
GH+O;;;3;;3
Haarlemvalley MarCom & Events B.V.;2;;;;2
Hdb2002 B.V.;;1;;;1
IDTV Live360 B.V.;;;3;;3
in60seconds B.V.;;;4;;4
Intercult. Business Improvement Holding B.V.;;2;;;2
Kantar Netherlands B.V.;;;2;;2
Koninklijk Instituut voor de Tropen;;2;;;2
Kpmg Amsterdam2;;;;3;3
Kronenburg Promotie & Begeleiding B.V.;3;;;;3
MetrixLab Nederland B.V.;;;2;;2
NEP Media Solutions B.V.;;;5;;5
Nuance door Training & Advies (NTA) B.V.;;1;;;1
Obvious Advisory;2;;;;2
OnePlanet Journalistiek;;2;;;2
Part-up B.V.;;2;;;2
Quality Support B.V.;2;;;;2
RAP Consultancy;;2;;;2
SD Worx Nederland B.V.;;;;1;1
Significant APE B.V.;;2;;;2
Stichting Fonds Instituut Clingendael;;2;;;2
Stichting Ictu;;1;;;1
Stichting Netherlands Water Partnership (Nwp);;2;;;2
Stichting Sustainable Scale Up Foundation;4;;;;4
Teun van Dongen Editing and Policy Analysis;;1;;;1
The Next Web B.V.;;;3;;3
TMF Netherlands B.V.;;;;4;4
TNO B.V.;;2;;;2
UVA-Kaartenmakers B.V.;;1;;;1
Van Ierschot;2;;;;2
Van Rijssen Publicaties;;1;;;1
VerversAdvies B.V.;;2;;;2
Willem Elbers Consultancy;;1;;;1
Eindtotaal;5;5;6;6;7
