OBJECTID,BSKIDENT,PVBOMSCH,PVBDIKTE,PVBSGWT,PVBSOORT,PVBMATERIAAL,GlobalID,SHAPE_Length,SHAPE_Area
1, ,,,,99,99,{9DDACFB1-6942-4656-BD33-EB555277C8F6},0.00568384019862571,8.48354379373267e-08
2,3, ,0,0,99,99,{A1D795B2-1BFC-4CA2-95C4-53DAAFDE8443},0.00732732903319196,9.12155580856076e-08
3,5, ,0,0,99,99,{512A5B32-ACE0-4F98-A0A4-2D91E57CF333},0.000465164067431714,7.30448041759959e-09
4,9, ,0,0,99,99,{C65132A1-5505-4241-8CD2-962FC7F11132},0.00223231876518801,2.19612490257883e-08
5,16, ,0,0,99,99,{0D6ACDE1-54D3-4A17-8EB9-91128634973F},0.0127939754320037,4.89805679742438e-07
6,18, ,0,0,99,99,{1FF4DFBE-AE88-4230-A4B9-347F4A5D4290},0.000386831023465366,4.89305567795926e-09
7,BC660,breuksteensortering 10/60 kg,,,2,,{31703826-172B-4104-BD79-C4E778E3ED78},0.00100109348959055,1.97159831940129e-08
8,8, ,0,0,99,99,{D6F45A33-EA05-4667-83C4-392CFBD88791},0.00164722166060266,1.5415013495154e-08
9,14, ,0,0,99,99,{5DC5EB46-1ABB-471F-9C8D-1E25F1B4BA8A},0.00464928371143774,4.96748118042254e-08
10,2025,,0.5,750,2,99,{2D63CECF-DA1D-495D-9279-EB398CB03783},0.00104244472840006,3.12925570183674e-08
11,2023,,0.5,750,2,99,{0F923260-1632-412B-86BC-F037A210E0AA},0.00151095309560711,9.01154106438426e-08
12,2024,vol en zat penetreren met colloïdaal beton,0.5,750,2,99,{07FBE060-6F6D-4B89-9235-EF4B00B2C096},0.00120626525359666,6.35168223087134e-08
13,BC342,stortsteen,,,,,{5E12FBC1-60DC-4C3C-828D-8629020AF617},0.000632239574652247,2.44274211137792e-08
14,340,stortsteen,,,,,{3888B362-F4AE-4550-8791-B344695E9E72},0.000323263111096942,6.66926836510086e-09
15,BC661,breuksteensortering 10/60 kg,,,2,,{8D44F4EE-44A1-45DA-9754-ADFD3AA5CD39},0.00659241191681038,1.30080918562609e-07
16,BC662,stortsteen,,,,,{F48AD995-92AB-4BC3-9CE3-5DAD5B6A99B5},0.0107873092545011,1.62030303288923e-07
17,19, ,0,0,99,99,{65F731AB-1322-4023-8499-9568528D31F7},0.000247145054045094,3.13547496511914e-09
18,10, ,0,0,99,99,{22FDE46B-3514-4A7E-AAA9-A86E6036FE92},0.00118432485724036,1.17659224482465e-08
19,6, ,0,0,99,99,{68556CC4-12C0-4240-8FF3-1FA7E9B26FA9},0.000222666133247349,2.44810014643727e-09
20,17, ,0,0,99,99,{D2454F07-5CC4-4C42-B772-9F9503835822},0.000253990221435558,2.65508094308049e-09
21,15, ,0,0,99,99,{CAA315C0-B477-4ECD-BBCE-823675DBB156},0.000496346252171979,7.42193631583896e-09
22,12, ,0,0,99,99,{3404B630-7DFF-4083-B51E-6D5A2D9C9652},0.00293919969903444,3.29772204360531e-08
23,13, ,0,0,99,99,{CC8BA92E-74BC-4B76-8946-5833F1D917B3},0.000274091108146117,3.65092095596106e-09
24,1, ,0,0,99,99,{8ED7C800-18AF-4B5F-976D-542D17DE307B},0.00164215405586014,1.63612832128727e-08
25,2, ,0,0,99,99,{EC13C5C3-E13E-4D23-A7D6-51271D9C25B8},0.00164410596436303,1.67132306850057e-08
26,7, ,0,0,99,99,{AE392F7C-3C3A-4DC7-A16B-10FC56592FCF},0.00398878627071111,3.38546063387253e-08
27,4, ,0,0,99,99,{1C3D3427-F005-4CA9-A267-6664BDEE6C00},0.00263583489658363,4.25919384455173e-08
28,11, ,0,0,99,99,{CA6ADE19-F690-4C12-BB54-7929BDC96010},0.000493327784993662,1.11575612649887e-08
