ELEMENTNUMMER,SRT_NAAM,Nederlandse naam,HOOGTE,DIAMETER,AANLEGJAAR,STANDPLAATS,BOOMVORM,EIGENDOM,EINDBEELD,STATUS,COORD_X,COORD_Y,longitude,latitude
"01-05-241-0330","Tilia tomentosa","Zilverlinde","8","15","2006","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105744.661","425741.472","4.67316808840044","51.8190606415576"
"01-05-241-0320","Tilia tomentosa","Zilverlinde","8","15","2006","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105738.861","425741.394","4.67308397415788","51.81905942816"
"01-05-241-0310","Tilia tomentosa","Zilverlinde","8","15","2006","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105733.086","425735.177","4.67300109758692","51.8190030343454"
"01-05-206-0060","Pyrus calleryana 'Chanticleer'","","4","10","2004","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","105655.243","425583.666","4.6718936652482","51.8176342425819"
"01-05-006-0181","Alnus cordata","hartbladige els","7","20","1999","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","106200.474","425337.827","4.67983636216389","51.815472401941"
"01-05-001-0050","Platanus x hispanica","plataan","13","20","2003","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","106087.797","425429.344","4.6781892371887","51.8162851674664"
"01-05-241-0300","Tilia tomentosa","Zilverlinde","8","15","2006","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105738.807","425735.392","4.67308404635195","51.8190054722973"
"00-01-721-0100","Populus nigra 'Italica'","Italiaanse populier","20","40","1950","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105008.365","425349.273","4.66254532107441","51.8154697139635"
"00-01-721-0060","Acer pseudoplatanus","Gewone esdoorn","10","30","1955","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105013.051","425346.828","4.66261362674345","51.8154481543407"
"00-01-761-0050","Tilia tomentosa","Zilverlinde","10","20","2006","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105458.951","425683.114","4.66903241700804","51.818510764909"
