Case code;Gem code;Gem Naam;Landcode;Periode;Jaar;Klant naam;Poststuk inhoud;Beleidskader;Soort subsidie;Klant kvk;Bedrag aanvraag;Toegekend bedrag
15SUB0010;0355;Zeist;NLD;2015;2015;Kwintes Regiokantoor;Inloop Zeist / KreaKtief 2015 - 2016;Welzijn en zorg;E. Overige incidentele subsidies;30211012;€ 398.845,00;€ 140.000,00
15SUB0045;0355;Zeist;NLD;2016;2016;St. Slachtofferhulp Ned. Regio Midden;aanvraag 2016;Welzijn en zorg;B. Prestatiesubsidie;40534401;€ 15.312,00;€ 9.971,00
15SUB0048;0355;Zeist;NLD;2016;2016;Bibliotheek Idea;Aanvraag 2016;Cultuur;A. Budgetsubsidie;0;€ 1.590.691,00;€ 1.573.903,00
15SUB0052;0355;Zeist;NLD;2016;2016;Vrouwen Taalgroep Zeist;waarderingssubsidie 2016;Welzijn en zorg;C. Waarderingssubsidie;30262540;€ 3.500,00;€ 3.342,00
15SUB0053;0355;Zeist;NLD;2016;2016;Stichting 't Gilde Zeist;prestatiesubsidie 2016;Welzijn en zorg;B. Prestatiesubsidie;0;€ 36.000,00;€ 32.500,00
15SUB0054;0355;Zeist;NLD;2016;2016;U Centraal;FIOM 2016;Welzijn en zorg;B. Prestatiesubsidie;57243484;€ 37.050,09;€ 0,00
15SUB0055;0355;Zeist;NLD;2016;2016;U Centraal;Buddyzorg 2016;Welzijn en zorg;B. Prestatiesubsidie;57243484;€ 11.388,84;€ 11.309,12
15SUB0056;0355;Zeist;NLD;2016;2016;Christelijke Koorvereniging 'Credo' ;amateurkunst 2016;Cultuur;C. Waarderingssubsidie;40481574;€ 0,00;€ 697,50
15SUB0071;0355;Zeist;NLD;2016;2016;Kunst Centraal;prestatiesubsiddie 2016;Cultuur;B. Prestatiesubsidie;30177145;€ 23.995,00;€ 23.995,00
15SUB0074;0355;Zeist;NLD;2016;2016;Buurtver. Rond het Wilhelminapark;waarderingssubsidie 2016;Welzijn en zorg;C. Waarderingssubsidie;40482260;€ 0,00;€ 500,00
15SUB0078;0355;Zeist;NLD;2015;2016;St. Wijkinloophuis Kerckebosch;activiteiten in 2015 en 2016;Welzijn en zorg;E. Overige incidentele subsidies;0;€ 30.000,00;€ 30.000,00
15SUB0082;0355;Zeist;NLD;2016;2016;Humanitas Heuvelrug ;aanvraag 2016;Welzijn en zorg;B. Prestatiesubsidie;40530895;€ 38.368,00;€ 38.368,00
15SUB0084;0355;Zeist;NLD;2016;2016;Stichting Literaire Activiteiten Zeist ;aanvraagformulier 2016;Cultuur;C. Waarderingssubsidie;30193492;€ 4.317,22;€ 4.141,00
15SUB0085;0355;Zeist;NLD;2016;2016;Toneelgroep West-End;amateurkunstsubsidie 2016;Cultuur;C. Waarderingssubsidie;30283225;€ 0,00;€ 1.681,60
15SUB0086;0355;Zeist;NLD;2016;2016;Muz.Ver. Voorwaarts;amateurkunstsubsidie 2016;Cultuur;C. Waarderingssubsidie;40477846;€ 0,00;€ 3.680,50
15SUB0090;0355;Zeist;NLD;2016;2016;Scouting Prinses Amalia Groep Zeist;waarderingssubsidie 2016;Welzijn en zorg;C. Waarderingssubsidie;59773685;€ 3.600,00;€ 3.574,80
