FID,puntnummer,entiteit_vaargeul,entiteit_ankergebied,entiteit_separatiezone,entiteit_begrenzing,entiteit_lodvak,opmerking,groep,geul,x_etrs89,y_etrs89,vaargeul,kilometer,hoek_label,eindcijfer,kmvijf,kmtien,se_anno_cad_data,gdb_geomattr_data,shape
kilometrering_labels.1, ,kmpunt as geul, , , , , , , ,0,0,Maasgeul,5,270,5,5,0,,,POINT (567071.9233999997 5762307.9969)
kilometrering_labels.2, ,kmpunt as geul, , , , , , , ,0,0,Maasgeul,6,270,6,0,0,,,POINT (566138.8614999996 5762669.678400001)
kilometrering_labels.3, ,kmpunt as geul, , , , , , , ,0,0,Maasgeul,7,270,7,0,0,,,POINT (565206.4671999998 5763031.101399999)
kilometrering_labels.4, ,kmpunt as geul, , , , , , , ,0,0,Maasgeul,8,270,8,0,0,,,POINT (564274.0678000003 5763392.5265999995)
kilometrering_labels.5, ,kmpunt as geul, , , , , , , ,0,0,Maasgeul,9,270,9,0,0,,,POINT (563341.6775000002 5763753.947799999)
kilometrering_labels.6, ,kmpunt as geul, , , , , , , ,0,0,Maasgeul,10,270,0,5,10,,,POINT (562409.2836999996 5764115.3707)
kilometrering_labels.7, ,kmpunt as geul, , , , , , , ,0,0,Maasgeul,11,270,1,0,0,,,POINT (561476.8737000003 5764476.761700001)
kilometrering_labels.8, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,12,90,2,0,0,,,POINT (560505.8392000003 5764504.172)
kilometrering_labels.9, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,13,90,3,0,0,,,POINT (559515.5685 5764364.723999999)
kilometrering_labels.10, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,14,90,4,0,0,,,POINT (558525.3958 5764225.2829)
kilometrering_labels.11, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,15,90,5,5,0,,,POINT (557535.1712999996 5764085.834899999)
kilometrering_labels.12, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,16,90,6,0,0,,,POINT (556544.9484999999 5763946.3868)
kilometrering_labels.13, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,17,90,7,0,0,,,POINT (555554.7243999997 5763806.9388)
kilometrering_labels.14, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,18,90,8,0,0,,,POINT (554564.5011999998 5763667.490700001)
kilometrering_labels.15, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,19,90,9,0,0,,,POINT (553574.2770999996 5763528.042199999)
kilometrering_labels.16, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,20,90,0,5,10,,,POINT (552584.0538999997 5763388.5942)
kilometrering_labels.17, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,21,90,1,0,0,,,POINT (551593.8399 5763249.147500001)
kilometrering_labels.18, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,22,90,2,0,0,,,POINT (550603.6167000001 5763109.6994)
kilometrering_labels.19, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,23,90,3,0,0,,,POINT (549613.3938999996 5762970.2513999995)
kilometrering_labels.20, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,24,90,4,0,0,,,POINT (548623.1706999997 5762830.803300001)
kilometrering_labels.21, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,25,90,5,5,0,,,POINT (547632.9466000004 5762691.3553)
kilometrering_labels.22, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,26,90,6,0,0,,,POINT (546642.7233999996 5762551.907199999)
kilometrering_labels.23, ,kmpunt as geul, , , , , , , ,0,0,Eurogeul,27,90,7,0,0,,,POINT (545652.5001999997 5762412.4592)
