NUMMER,INHOUD,SOORT,FRACTIE,X_RD,Y_RD,longitude,latitude
"10331","5000 liter","Ondergrondse container","Restafval","107141.747","423186.846","4.69345007067873","51.7952742021346"
"219","UNKNOWN","Bovengrondse container","Glas","105590.856985949","424298.685430754","4.67081134325634","51.8051321262271"
"10401","5000 liter","Ondergrondse container","Restafval","105722","425315","4.67256790404112","51.8142781600886"
"INP109","1000 liter","Inpandige container","Restafval","106213.966889931","423588.614811898","4.67994534116052","51.7988049404447"
"10297","5000 liter","Ondergrondse container","Restafval","106358.514","424052.395","4.68197552927139","51.8029859315616"
"10373","5000 liter","Ondergrondse container","Restafval","105248.549","425276.882","4.66570787121805","51.8138935549533"
"294","UNKNOWN","Ondergrondse container","Glas","105575.755","425879.794","4.67036648710998","51.8193414811274"
"10332","5000 liter","Ondergrondse container","Restafval","107450.526","422945.697","4.69795893116501","51.7931331683345"
"10130","5000 liter","Ondergrondse container","Restafval","105003.686310082","423729.422961728","4.66238074618345","51.7999634263843"
"INP101","1400 liter","Inpandige container","Restafval","105698.19","421898.334","4.67270926182049","51.7835676782857"
"10200","5000 liter","Ondergrondse container","Restafval","105192.251090446","424918.529462771","4.66494310045189","51.8106677343638"
"","UNKNOWN","Achter lossen","Glas","104397.14","423690.629","4.65359369707095","51.7995601060647"
"289","UNKNOWN","Bovengrondse container","Restafval","108901.840127891","424954.562996621","4.71872719143173","51.8113103290012"
"286","UNKNOWN","Ondergrondse container","Glas","104537.247","424827.416","4.6554589504196","51.8097899868978"
"INP078","1400 liter","Inpandige container","Restafval","105038.920009438","423642.214402906","4.66290409516392","51.7991827671686"
"443","UNKNOWN","Ondergrondse container","Glas","108484.409","424321.979","4.71275941588129","51.8055901101026"
"10033","5000 liter","Ondergrondse container","Restafval","105944.689","424240.345","4.67594950071285","51.8046389804885"
"230","UNKNOWN","Bovengrondse container","Glas","107397.994","423398.191","4.69713530425127","51.7971956463839"
"","UNKNOWN","Half verdiepte container","Textiel","106362.686524676","424131.691838055","4.68202487577464","51.8036990016491"
"10110","5000 liter","Ondergrondse container","Restafval","105521.740095572","423999.59317997","4.66985204361288","51.8024378195008"
"10250","5000 liter","Ondergrondse container","Restafval","104438.871","422989.376","4.65430105589122","51.7932611699503"
"233","UNKNOWN","Ondergrondse container","Glas","106497.909","424864.445","4.68388257011349","51.810296627547"
"INP029","1400 liter","Inpandige container","Restafval","105837.591","425839.345","4.67416955455769","51.8190010652894"
"10288","5000 liter","Ondergrondse container","Restafval","106564.231","424870.577","4.68484336542714","51.8103575005622"
