naam_stembureau,bag_referentie_nummer,Straatnaam,Huisnummer,Huisnummertoevoeging,postcode,_woon_plaats,Gemeente,CBS Gemeentecode,Wijknaam,CBS Wijknummer,Buurtnaam,CBS Buurtnummer,latitude,longitude,X,Y
Gemeentekantoor,333100000019517,Endelhovenlaan,1,,3601 GR,Maarssen,Stichtse Vecht,G1904,Maarssen,WK190401,Omgeving Goudestein,BK19040107,5.032985,52.144572,130753.67,461879.72
De Vondel,333100000009480,Achter Maria Dommer,8,,3601 EX,Maarssen,Stichtse Vecht,G1904,Maarssen,WK190401,Lanenkwartier,BK19040109,5.038439,52.143581,131126.48,461767.63
Basisschool De Klaroen,333100000013689,Michiel Adriaanszoon de Ruyterstraat,2,,3601 TJ,Maarssen,Stichtse Vecht,G1904,Maarssen,WK190401,Zeeheldenbuurt,BK19040115,5.042356,52.146364,131396.04,462075.99
Gymzaal Huis ten Bosch,333100000018238,Huis ten Boschstraat,7,,3601 AA,Maarssen,Stichtse Vecht,G1904,Maarssen,WK190401,Schilderskwartier,BK19040112,5.048083,52.1411,131785.32,461488.47
Basisschool Het Kompas 2,333100000017478,Buitenweg,328,,3602 ZK,Maarssen,Stichtse Vecht,G1904,Maarssen,WK190401,Zandweg-Oostwaard,BK19040105,5.053434,52.136105,132149.07,460931.07
OVVO hal,333100000014618,Sportparkweg,9,,3604 AW,Maarssen,Stichtse Vecht,G1904,Maarssen,WK190401,Op Buuren,BK19040104,5.060945,52.124606,132657.53,459649.31
Dorpshuis De Veenkluit,333100000012122,Ds. Ulferslaan,25,,3612 BH,Tienhoven,Stichtse Vecht,G1904,Tienhoven,WK190407,Tienhoven-Oud Maarsseveen,BK19040703,5.082458,52.165755,134149.99,464221.18
Basisschool Het Kompas,333100000017852,Bolensteinsestraat,9,,3603 AZ,Maarssen,Stichtse Vecht,G1904,Maarssen,WK190401,Centrum ten zuiden van de Vecht,BK19040110,5.038306,52.139382,131115.13,461300.54
Het Trefpunt,333100000016021,Kerkweg,21,,3603 CL,Maarssen,Stichtse Vecht,G1904,Maarssen,WK190401,Componistenbuurt,BK19040108,5.042615,52.137657,131409.17,461107.21
Sportzaal Bloemstede,333100000014424,Bloemstede,223,,3608 TA,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Bloemstede,BK19041209,5.03372,52.126709,130794.26,459892.08
