FID,loc_nr,oid,loc_type,loc_des,roadnumber,roadname,first_name,secnd_name,junct_ref,exit_nr,hstart_pos,hend_pos,hstart_neg,hend_neg,hecto_char,hecto_dir,pos_in,pos_out,neg_in,neg_out,dir,area_ref,lin_ref,inter_ref,pos_off,neg_off,urban_code,pres_pos,pres_neg,far_away,city_distr,top_sign,type_code,mw_ref,rw_nr,aw_ref,gdb_geomattr_data,shape
knooppunt__triangle__66.123,7000,1349,P1.2,Knooppunt (triangle),A1, ,Watergraafsmeer,A10,7000, ,40,50,50,30, ,1,1,0,0,1, ,2415,3000,7187,7002,0,0,1,1,0, , ,0,0,1,421,,POINT (126111.62200000137 485019.29630000144)
knooppunt__triangle__66.129,7006,1355,P1.2,Knooppunt (triangle),A1, ,Diemen,A9,7006, ,77,100,101,75, ,1,1,1,1,1, ,2427,3000,10560,7007,7005,0,1,1,0, , ,0,0,1,421,,POINT (128812.69310000166 482859.8302000016)
knooppunt__triangle__66.136,7015,1362,P1.2,Knooppunt (triangle),A1, ,Muiderberg,A6,7015, ,150,165,164,154, ,1,1,1,1,1, ,2450,3000,9880,7016,7014,0,1,1,0, , ,0,0,1,421,,POINT (135776.6015000008 480858.4776000008)
knooppunt__triangle__66.200,7102,1426,P1.2,Knooppunt (triangle),A1, ,Azelo,A35,7102, ,1408,1425,1423,1408, ,1,0,1,1,0, ,2258,3002,9025,0,7103,0,1,1,0, , ,0,0,1,630,,POINT (244329.78649999946 481152.67880000174)
knooppunt__triangle__66.202,7106,1428,P1.2,Knooppunt (triangle),A1, ,Buren,A35,7106, ,1550,1565,1560,1547, ,1,1,0,0,1, ,2258,3003,9019,7149,0,0,1,1,0, , ,0,0,1,630,,POINT (246890.69299999997 478832.4791000001)
knooppunt__triangle__66.241,7187,1467,P1.2,Knooppunt (triangle),A10, ,Watergraafsmeer,A1,7187, ,112,123,121,110, ,1,1,1,1,1, ,2415,3016,7000,7188,7186,0,1,1,0, , ,0,0,10,421,,POINT (126051.50620000064 484816.8440000005)
knooppunt__triangle__66.255,7202,1481,P1.2,Knooppunt (triangle),A10, ,De Nieuwe Meer,A4,7202, ,200,213,213,200, ,1,1,1,1,1, ,2415,3014,9237,7203,7201,0,1,1,0, , ,0,0,10,421,,POINT (117847.46970000118 483484.95109999925)
knooppunt__triangle__66.266,7213,1492,P1.2,Knooppunt (triangle),A10, ,Coenplein,A8,7213, ,309,326,326,309, ,1,1,1,1,1, ,2415,3015,10552,7214,7212,0,1,1,0, , ,0,0,10,421,,POINT (120354.55209999904 492971.0111999996)
knooppunt__triangle__66.286,7269,1512,P1.2,Knooppunt (triangle),A12, ,Gouwe,A20,7269, ,269,269,270,270, ,1,1,0,0,1, ,2557,3020,8112,7270,22364,0,1,1,0, , ,0,0,12,425,,POINT (105233.87550000101 448675.8594999984)
knooppunt__triangle__66.328,7315,1554,P1.2,Knooppunt (triangle),A12, ,Grijsoord,A50,7315, ,1203,1215,1216,1206, ,1,1,1,1,1, ,2304,3021,9398,7316,7314,0,1,1,0, , ,0,0,12,645,,POINT (184625.558699999 448623.0833999999)
knooppunt__triangle__66.332,7319,1558,P1.2,Knooppunt (triangle),A12, ,Waterberg,A50,7319, ,1270,1292,1293,1272, ,1,1,1,1,1, ,2304,3021,9405,7320,7318,0,1,1,0, , ,0,0,12,645,,POINT (191714.01819999889 447667.69640000165)
knooppunt__triangle__66.345,7333,1571,P1.2,Knooppunt (triangle),A12, ,Oud-Dijk,A18,7333, ,1471,1471,1473,1473, ,1,0,1,1,0, ,2372,3022,7750,7335,7332,0,1,1,0, , ,0,0,12,645,,POINT (206486.71009999886 436724.7894000001)
knooppunt__triangle__66.365,7383,1591,P1.2,Knooppunt (triangle),A12, ,Maanderbroek,A30,7383, ,1062,1071,1064,1055, ,1,1,1,1,1, ,2321,3021,8743,7385,7384,0,1,1,0, , ,0,0,12,645,,POINT (170596.98429999873 448530.6031000018)
knooppunt__triangle__66.381,7412,1607,P1.2,Knooppunt (triangle),A13, ,Ypenburg,A4,7412, ,42,30,51,51, ,-1,1,1,1,1, ,2495,3040,9198,7413,7410,0,1,1,0, , ,0,0,13,425,,POINT (84768.60009999946 451940.9728000015)
knooppunt__triangle__66.401,7438,1627,P1.2,Knooppunt (triangle),A15,Ring Rotterdam,Benelux,A4,7438, ,498,516,517,498, ,1,1,1,1,1, ,967,3059,9150,7439,7437,0,1,1,0, , ,0,0,15,427,,POINT (86051.51339999959 432091.79349999875)
knooppunt__triangle__66.482,7591,1708,P1.2,Knooppunt (triangle),A16, ,Galder,A58,7591, ,682,670,669,678, ,-1,1,1,1,1, ,2601,3064,9615,7592,7590,0,1,1,0, , ,0,0,16,577,,POINT (110382.8115000017 393309.5029999986)
knooppunt__triangle__66.485,7596,1711,P1.2,Knooppunt (triangle),A16, ,Princeville,A58,7596, ,620,615,614,621, ,-1,1,1,1,1, ,2601,3065,9607,7684,7683,0,1,1,0, , ,0,0,16,577,,POINT (109080.70549999923 399380.1446999982)
knooppunt__triangle__66.489,7601,1715,P1.2,Knooppunt (triangle),A16, ,Zonzeel,A59,7601, ,544,530,531,538, ,-1,1,1,1,1, ,2728,3065,9780,7602,7600,0,1,1,0, , ,0,0,16,577,,POINT (106890.23039999977 406515.1473999992)
knooppunt__triangle__66.495,7608,1721,P1.2,Knooppunt (triangle),A16, ,Klaverpolder,A17,7608, ,469,462,465,475, ,-1,1,1,1,1, ,2728,3065,7724,7609,7607,0,1,1,0, , ,0,0,16,577,,POINT (103972.42760000005 412710.9334000014)
knooppunt__triangle__66.516,7633,1742,P1.2,Knooppunt (triangle),A16,Ring Rotterdam,Terbregseplein,A20,7633, ,166,140,156,156, ,-1,1,1,1,1, ,2536,3065,7682,0,7632,0,1,1,0, , ,0,0,16,425,,POINT (96076.18679999933 440552.92550000176)
knooppunt__triangle__66.522,7682,1748,P1.2,Knooppunt (triangle),A16 hrb,A16 Hoofdrijbaan,Terbregseplein,A20,7682, ,166,141,157,157, ,-1,1,1,1,1, ,2536,3070,8101,0,7681,0,1,1,0, , ,0,0,16,425,,POINT (95313.85860000178 440375.2355999984)
knooppunt__triangle__66.525,7685,1751,P1.2,Knooppunt (triangle),A16, ,Antwerpen-Noord, ,7685, ,432,455,455,432, ,1,1,0,0,1, ,52,3066,9245,7580,0,0,1,1,0, , ,0,0,0,0,,POINT (88516.7276000008 364154.4384999983)
knooppunt__triangle__66.528,7700,1754,P1.2,Knooppunt (triangle),A17, ,De Stok,A58,7700, ,255,244,244,256, ,-1,1,1,1,1, ,2713,3080,9593,7702,0,0,1,1,0, , ,0,0,17,577,,POINT (88395.37099999934 393450.05680000037)
knooppunt__triangle__66.540,7714,1766,P1.2,Knooppunt (triangle),A17, ,Noordhoek,A59,7714, ,103,98,97,112, ,-1,1,1,1,1, ,2728,3080,9761,7715,7713,0,1,1,0, , ,0,0,17,577,,POINT (96516.40900000185 405489.4968999997)
knooppunt__triangle__66.549,7724,1775,P1.2,Knooppunt (triangle),A17, ,Klaverpolder,A16,7724, ,5,0,4,4, ,-1,0,1,1,0, ,2728,3080,7608,0,7723,0,1,1,0, , ,0,0,17,577,,POINT (104033.25699999928 412603.5067999996)
knooppunt__triangle__66.550,7750,1776,P1.2,Knooppunt (triangle),A18, ,Oud-Dijk,A12,7750, ,1890,1894,1894,1890, ,1,1,0,0,1, ,2372,3090,7333,7751,0,0,1,1,0, , ,0,0,15,645,,POINT (206751.53379999846 436567.7280000001)
knooppunt__triangle__66.585,7854,1811,P1.2,Knooppunt (triangle),A2, ,Kruisdonk,A79/N2,7854, ,2538,2538,2537,2537, ,-1,0,1,1,0, ,2674,3102,10510,22386,7853,0,1,1,0, , ,0,0,2,550,,POINT (178755.90190000087 319767.07090000063)
knooppunt__triangle__66.622,7912,1848,P1.2,Knooppunt (triangle),A2, ,Leenderheide,A67,7912, ,1706,1697,1697,1707, ,-1,1,1,1,1, ,2606,3102,10029,7913,7911,0,1,1,0, , ,0,0,2,578,,POINT (163018.76570000127 379544.6827000007)
knooppunt__triangle__66.627,7918,1853,P1.2,Knooppunt (triangle),A2, ,De Hogt,A67,7918, ,1661,1645,1647,1656, ,-1,1,1,1,1, ,2606,3102,10025,7919,7914,0,1,1,0, , ,0,0,2,578,,POINT (158093.71049999818 379552.01850000024)
knooppunt__triangle__66.634,7925,1860,P1.2,Knooppunt (triangle),A2, ,Batadorp,A58,7925, ,1573,1550,1559,1570, ,-1,1,1,1,1, ,2606,3102,9655,7926,7924,0,1,1,0, , ,0,0,2,578,,POINT (156325.33320000023 388235.3240999989)
knooppunt__triangle__66.638,7929,1864,P1.2,Knooppunt (triangle),A2, ,Ekkersweijer,A50,7929, ,1440,1423,1424,1432, ,-1,1,1,1,1, ,2597,3103,9658,7930,7927,0,1,1,0, , ,0,0,2,578,,POINT (157929.24720000103 389292.9745000005)
knooppunt__triangle__66.649,7943,1875,P1.2,Knooppunt (triangle),A2, ,Vught,A65,7943, ,1217,1198,1199,1217, ,-1,1,1,1,1, ,2641,3103,9997,7944,7942,0,1,1,0, , ,0,0,2,578,,POINT (149561.83049999923 408829.09750000015)
knooppunt__triangle__66.655,7949,1881,P1.2,Knooppunt (triangle),A2,Ring A2,Hintham,A59,7949, ,1158,1153,1151,1155, ,-1,1,1,1,1, ,2615,3104,9822,7950,7948,0,1,1,0, , ,0,0,2,578,,POINT (152557.80409999937 412257.21440000087)
knooppunt__triangle__66.659,7954,1885,P1.2,Knooppunt (triangle),A2, ,Empel,A59,7954, ,1125,1115,1115,1125, ,-1,1,1,1,1, ,2615,3104,9820,7955,7953,0,1,1,0, , ,0,0,2,578,,POINT (150734.4235999994 414969.4838999994)
knooppunt__triangle__66.744,8101,1970,P1.2,Knooppunt (triangle),A20,Ring Rotterdam,Terbregseplein,A16,8101, ,347,364,365,348, ,1,1,1,1,1, ,2536,3123,7633,8102,8100,0,1,1,0, , ,0,0,20,425,,POINT (95973.21330000088 440554.40940000117)
knooppunt__triangle__66.753,8112,1979,P1.2,Knooppunt (triangle),A20, ,Gouwe,A12,8112, ,490,490,485,485, ,1,0,1,1,0, ,2557,3123,7269,0,8110,0,1,1,0, , ,0,0,20,425,,POINT (105269.06069999933 448698.6462999992)
knooppunt__triangle__66.806,8230,2032,P1.2,Knooppunt (triangle),A22, ,Velsen,A9,8230, ,84,98,100,89, ,1,1,0,0,1, ,2462,3463,10591,8231,0,0,1,1,0, , ,0,0,22,409,,POINT (106083.8225999996 494990.4461000003)
knooppunt__triangle__66.812,8236,2038,P1.2,Knooppunt (triangle),A22, ,Beverwijk,A9,8236, ,158,171,166,166, ,1,0,1,1,0, ,2435,3463,10594,0,8235,0,1,1,0, , ,0,0,22,409,,POINT (107977.58080000058 500342.3431000002)
knooppunt__triangle__66.815,8240,2041,P1.2,Knooppunt (triangle),A256, ,De Poel,A58,8240, ,12,18,19,1, ,1,1,0,0,1, ,2571,3146,9557,8242,0,0,1,1,0, , ,0,0,0,0,,POINT (49618.29899999872 389277.6939000003)
knooppunt__triangle__66.828,8290,2054,P1.2,Knooppunt (triangle),A27, ,Sint Annabosch,A58,8290, ,12,22,20,0, ,1,1,0,0,1, ,2601,3170,9621,8292,0,0,1,1,0, , ,0,0,27,577,,POINT (117261.25809999928 396313.257100001)
knooppunt__triangle__66.901,8376,2127,P1.2,Knooppunt (triangle),A27, ,Almere,A6,8376, ,1177,1189,1179,1177, ,1,0,1,1,0, ,2212,3171,9892,0,8375,0,1,1,0, , ,0,0,27,405,,POINT (149065.19739999995 488164.3333999999)
knooppunt__triangle__66.961,8536,2187,P1.2,Knooppunt (triangle),A28, ,Lankhorst,A32,8536, ,1136,1144,1149,1141, ,1,1,1,1,1, ,2287,3192,8800,8537,8535,0,1,1,0, , ,0,0,28,610,,POINT (209833.81439999864 519866.08960000053)
knooppunt__triangle__66.992,8580,2218,P1.2,Knooppunt (triangle),A28, ,Julianaplein,N7,8580, ,1998,2004,2004,1999, ,1,0,1,1,0, ,2205,3193,10192,0,8590,0,1,1,0, , ,0,0,28,712,,POINT (233675.96040000021 580269.8471000008)
knooppunt__triangle__66.1013,8665,2239,P1.2,Knooppunt (triangle),A29, ,Sabina,A59/A4,8665, ,1045,1032,1031,1041, ,-1,1,1,1,1, ,2728,3210,9754,22173,0,0,1,1,0, , ,0,0,4,577,,POINT (88012.92220000178 408343.40459999815)
knooppunt__triangle__66.1018,8670,2244,P1.2,Knooppunt (triangle),A29, ,Hellegatsplein,N59,8670, ,997,978,978,994, ,-1,1,1,1,1, ,2491,3210,9747,8671,8669,0,1,1,0, , ,0,0,4,509,,POINT (86434.17159999907 412745.06390000135)
knooppunt__triangle__66.1042,8743,2268,P1.2,Knooppunt (triangle),A30, ,Maanderbroek,A12,8743, ,75,82,83,66, ,1,1,0,0,1, ,2321,3220,7383,8741,0,0,1,1,0, , ,0,0,30,645,,POINT (170497.48360000178 448438.9690999985)
knooppunt__triangle__66.1044,8750,2270,P1.2,Knooppunt (triangle),N31, ,Zurich,A7,8750, ,56,70,73,53, ,1,1,0,0,1, ,2585,3230,10135,8782,0,0,1,1,0, , ,0,0,31,705,,POINT (154256.31179999933 567328.5262000002)
knooppunt__triangle__66.1054,8771,2280,P1.2,Knooppunt (triangle),N31, ,Werpsterhoek,N32,8771, ,497,506,505,495, ,1,0,1,1,0, ,2234,3232,8831,22199,22198,0,1,1,0, , ,0,0,31,705,,POINT (181953.57889999822 574706.1983000003)
knooppunt__triangle__66.1066,8800,2292,P1.2,Knooppunt (triangle),A32, ,Lankhorst,A28,8800, ,58,62,62,50, ,1,1,0,0,1, ,2287,3240,8536,8836,0,0,1,1,0, , ,0,0,32,610,,POINT (209824.71759999916 519978.64079999924)
knooppunt__triangle__66.1096,8831,2322,P1.2,Knooppunt (triangle),N32, ,Werpsterhoek,N31,8831, ,704,712,704,704, ,1,1,1,1,1, ,2234,3243,8771,0,22202,0,1,1,0, , ,0,0,32,705,,POINT (181943.3049999997 574696.0449000001)
knooppunt__triangle__66.1125,8900,2351,P1.2,Knooppunt (triangle),A326, ,Bankhoef,A50,8900, ,0,12,13,7, ,1,1,0,0,1, ,2369,3263,9375,8902,0,0,1,1,0, , ,0,0,0,0,,POINT (175140.1372999996 425216.5826999992)
knooppunt__triangle__66.1189,9019,2415,P1.2,Knooppunt (triangle),A35, ,Buren,A1,9019, ,563,546,548,563, ,-1,1,1,1,1, ,2258,3283,7106,9020,9018,0,1,1,0, , ,0,0,35,630,,POINT (246905.51909999922 478857.6053000018)
knooppunt__triangle__66.1193,9025,2419,P1.2,Knooppunt (triangle),A35, ,Azelo,A1,9025, ,523,516,508,524, ,-1,1,1,1,1, ,2258,3283,7102,9026,9024,0,1,1,0, , ,0,0,35,630,,POINT (244347.33040000126 481149.2628000006)
knooppunt__triangle__66.1227,9108,2453,P1.2,Knooppunt (triangle),A4, ,Markiezaat,A58,9108, ,2442,2430,2429,2443, ,-1,1,1,1,1, ,2645,3290,9574,9110,9107,0,1,1,0, , ,0,0,4,577,,POINT (77892.23600000143 383086.59270000085)
knooppunt__triangle__66.1233,9115,2459,P1.2,Knooppunt (triangle),A4, ,Zoomland,A58,9115, ,2349,2341,2340,2347, ,-1,1,1,1,1, ,2596,3290,9583,21694,9114,0,1,1,0, , ,0,0,4,577,,POINT (80567.44509999827 390576.1484999992)
knooppunt__triangle__66.1234,9150,2460,P1.2,Knooppunt (triangle),A4,Ring Rotterdam,Benelux,A15,9150, ,762,758,752,773, ,-1,1,1,1,1, ,2536,3301,7438,9152,0,0,1,1,0, , ,0,0,4,427,,POINT (86743.38839999959 432109.5258000009)
knooppunt__triangle__66.1251,9198,2477,P1.2,Knooppunt (triangle),A4, ,Ypenburg,A13,9198, ,492,476,476,492, ,-1,1,1,1,1, ,2495,3301,7412,9199,9197,0,1,1,0, , ,0,0,4,425,,POINT (83814.2666000016 451111.85649999976)
knooppunt__triangle__66.1267,9218,2493,P1.2,Knooppunt (triangle),A4, ,Burgerveen,A44,9218, ,177,177,181,181, ,-1,1,0,0,1, ,2433,3300,9303,9219,9217,0,1,1,0, , ,0,0,4,421,,POINT (104688.55000000075 472133.97129999846)
knooppunt__triangle__66.1283,9237,2509,P1.2,Knooppunt (triangle),A4, ,De Nieuwe Meer,A10,9237, ,10,0,0,14, ,-1,0,1,1,0, ,2415,3300,7202,0,9235,0,1,1,0, , ,0,0,4,421,,POINT (117828.44440000132 483383.3013000004)
knooppunt__triangle__66.1286,9240,2512,P1.2,Knooppunt (triangle),A4, ,De Hoek,A5,9240, ,109,100,99,109, ,-1,0,1,1,1, ,966,3300,19646,21901,9241,0,1,1,0, , ,0,0,4,421,,POINT (110246.72540000081 478353.5604000017)
knooppunt__triangle__66.1289,9245,2515,P1.2,Knooppunt (triangle),A4, ,Antwerpen-Noord,A1/E19,9245, ,360,370,376,360, ,1,1,0,0,1, ,52,3293,7685,9246,0,0,1,1,0, , ,0,0,0,0,,POINT (88522.47890000045 364176.1358000003)
knooppunt__triangle__66.1293,9249,2519,P1.2,Knooppunt (triangle),A4, ,Antwerpen-Haven,R2,9249, ,451,463,467,454, ,1,1,0,0,1, ,52,3293,0,9100,9248,0,1,1,0, , ,0,0,0,0,,POINT (82928.85689999908 370104.6810000017)
knooppunt__triangle__66.1318,9303,2544,P1.2,Knooppunt (triangle),A44, ,Burgerveen,A4,9303, ,5,0,0,8, ,-1,0,1,1,0, ,2433,3321,9218,0,9302,0,1,1,0, , ,0,0,44,421,,POINT (104987.74340000004 472468.5965999998)
knooppunt__triangle__66.1322,9365,2548,P1.2,Knooppunt (triangle),A50, ,Paalgraven,A59,9365, ,1316,1316,1315,1315, ,1,1,0,0,1, ,2719,3349,9835,9515,9487,0,1,1,0, , ,0,0,50,578,,POINT (168731.15850000083 416972.66429999843)
knooppunt__triangle__66.1328,9375,2554,P1.2,Knooppunt (triangle),A50, ,Bankhoef,A326,9375, ,1422,1430,1424,1417, ,1,1,1,1,1, ,2369,3340,8900,9376,9374,0,1,1,0, , ,0,0,50,645,,POINT (175122.22040000185 425065.24020000175)
knooppunt__triangle__66.1345,9398,2571,P1.2,Knooppunt (triangle),A50, ,Grijsoord,A12,9398, ,1693,1708,1698,1698, ,1,0,1,1,0, ,2304,3340,7315,0,9397,0,1,1,0, , ,0,0,50,645,,POINT (184637.77180000022 448637.55150000006)
knooppunt__triangle__66.1347,9405,2573,P1.2,Knooppunt (triangle),A50, ,Waterberg,A12,9405, ,1823,1823,1832,1816, ,1,1,1,1,1, ,2304,3341,7319,9406,0,0,1,1,0, , ,0,0,50,645,,POINT (191686.92830000073 447655.03869999945)
knooppunt__triangle__66.1382,9463,2608,P1.2,Knooppunt (triangle),N50, ,Emmeloord,A6,9463, ,2683,2689,2688,2679, ,1,0,1,1,0, ,961,3343,9915,0,9462,0,1,1,0, , ,0,0,50,406,,POINT (181209.19949999824 522876.9173000008)
knooppunt__triangle__66.1418,9553,2644,P1.2,Knooppunt (triangle),A58, ,Stelleplas,N62,9553, ,1556,1544,1540,1557, ,-1,1,1,1,1, ,2571,3351,21585,22327,22326,0,1,1,0, , ,0,0,58,508,,POINT (44483.44860000163 389992.60009999946)
knooppunt__triangle__66.1429,9835,2786,P1.2,Knooppunt (triangle),A59, ,Paalgraven,A50,9835, ,1576,1576,1576,1576, ,1,0,1,1,0, ,2719,3375,9365,0,9843,0,1,1,0, , ,0,0,59,578,,POINT (168708.46200000122 416967.0438000001)
knooppunt__triangle__66.1435,9880,2792,P1.2,Knooppunt (triangle),A6, ,Muiderberg,A1,9880, ,413,428,423,408, ,1,1,0,0,1, ,2450,3370,7015,9881,0,0,1,1,0, , ,0,0,6,421,,POINT (135735.8227000013 480781.65579999983)
knooppunt__triangle__66.1446,9892,2803,P1.2,Knooppunt (triangle),A6, ,Almere,A27,9892, ,569,584,584,569, ,1,1,1,1,1, ,2212,3370,8376,9893,9891,0,1,1,0, , ,0,0,6,406,,POINT (149049.55260000005 488214.6020999998)
knooppunt__triangle__66.1463,9915,2820,P1.2,Knooppunt (triangle),A6, ,Emmeloord,N50,9915, ,1111,1125,2797,2788, ,1,1,1,1,1, ,961,3371,9463,9916,9914,0,1,1,0, , ,0,0,6,406,,POINT (181199.44040000066 522884.0938999988)
knooppunt__triangle__66.1478,9933,2835,P1.2,Knooppunt (triangle),A6, ,Joure,A7,9933, ,3086,3100,3100,3086, ,1,1,1,1,1, ,2219,3372,10159,22490,9932,0,1,1,0, , ,0,0,6,705,,POINT (182858.75829999894 551077.2133999988)
knooppunt__triangle__66.1481,9940,2838,P1.2,Knooppunt (triangle),A6, ,Gooimeer,N702,9940, ,469,478,480,471, ,1,1,1,1,1, ,2212,3370,17908,9941,9939,0,1,1,0, , ,0,0,6,406,,POINT (140632.47509999946 483919.5716999993)
