FID,land,opmerking,vliegveld,point,se_anno_cad_data,gdb_geomattr_data,shape
vliegvelden.33,Duitsland,Vliegveld,NORDHOLZ,ETMN,,,POINT (872789.1517000003 5972429.928300001)
vliegvelden.296,Nederland,Vliegveld,AMSTERDAM,EHAM,,,POINT (620215.5433 5796865.454600001)
vliegvelden.297,Verenigd Koninkrijk,Vliegveld,NEWCASTLE,EGNT,,,POINT (200375.86220000032 6108999.3368)
vliegvelden.298,Verenigd Koninkrijk,Vliegveld,ABERDEEN,EGPD,,,POINT (186128.5055999998 6352256.803200001)
vliegvelden.299,Noorwegen,Vliegveld,STAVANGER,ENZV,,,POINT (651688.9178999998 6529927.487299999)
vliegvelden.300,Noorwegen,Vliegveld,HAUGESUND,ENHD,,,POINT (625647.6995999999 6579981.8061)
vliegvelden.301,Noorwegen,Vliegveld,FLORO,ENFL,,,POINT (608105.8930000002 6835801.320900001)
vliegvelden.302,Noorwegen,Vliegveld,ALESUND,ENAL,,,POINT (670985.1919 6944081.920899998)
vliegvelden.303,Denemarken,Vliegveld,ESBJERG,EKEB,,,POINT (849045.5426000003 6165264.0359000005)
vliegvelden.304,Noorwegen,Vliegveld,BERGEN,ENBR,,,POINT (622626.0245000003 6686154.162900001)
vliegvelden.305,Verenigd Koninkrijk,Vliegveld,SUMBURGH,EGPB,,,POINT (259669.5636 6645845.362299999)
vliegvelden.306,Noorwegen,Vliegveld,KRISTIAN SAND,ENCN,,,POINT (798778.4392999997 6463011.4111)
vliegvelden.307,Verenigd Koninkrijk,Vliegveld,INVERNESS,EGPE,,,POINT (78389.2686999999 6399416.721000001)
vliegvelden.308,Denemarken,Vliegveld,ARHUS,EKAH,,,POINT (970949.1941 6265584.01)
vliegvelden.309,Verenigd Koninkrijk,Vliegveld,EDINBURGH,EGHP,,,POINT (102953.40600000042 6219167.8649)
vliegvelden.310,Duitsland,Vliegveld,WESTERLAND,EDXW,,,POINT (842295.5268999999 6098215.1953)
vliegvelden.311,Duitsland,Vliegveld,KIEL,EDCK,,,POINT (963705.9543000003 6049538.9243)
vliegvelden.312,Duitsland,Vliegveld,NORDHOLZ,EDCN,,,POINT (872808.0728000002 5972608.308)
vliegvelden.313,Duitsland,Vliegveld,BORKUM,EDWR,,,POINT (745400.6721000001 5945032.300000001)
vliegvelden.314,Verenigd Koninkrijk,Vliegveld,HUMBERSIDE,EGNJ,,,POINT (278343.2945999997 5941615.8356)
vliegvelden.315,Duitsland,Vliegveld,WILLEMSHAVEN,EDWI,,,POINT (834942.4363000002 5940509.2775)
vliegvelden.316,Nederland,Vliegveld,LEEUWARDEN,EHLW,,,POINT (683703.2611999996 5901006.138900001)
vliegvelden.317,Nederland,Vliegveld,GRONINGEN,EHGG,,,POINT (739657.5787000004 5892158.457800001)
vliegvelden.318,Nederland,Vliegveld,TEXEL,EHTX,,,POINT (622610.5669 5886801.2596)
vliegvelden.319,Nederland,Vliegveld,DEN HELDER,EHKD,,,POINT (619570.6138000004 5865391.695599999)
vliegvelden.320,Verenigd Koninkrijk,Vliegveld,NORWICH,EGSH,,,POINT (383950.70160000026 5837478.397600001)
vliegvelden.321,Nederland,Vliegveld,ROTTERDAM,EHRD,,,POINT (598632.2690000003 5757171.210999999)
vliegvelden.322,Verenigd Koninkrijk,Vliegveld,BIGGIN HILL,EGKB,,,POINT (293222.19290000014 5690493.1742)
vliegvelden.323,Belgie,Vliegveld,OOSTENDE,EBOS,,,POINT (490358.6238000002 5672050.363500001)
vliegvelden.324,Verenigd Koninkrijk,Vliegveld,DURHAM-TEES,EGNV,,,POINT (213257.9500000002 6049114.579700001)
