FID,vwk_id,vwk_begdtm,pos_tov_as,gtlwaarde,ltrwaarde,afstand,mst_code,gdb_geomattr_data,shape
kilometermarkeringen.1,1805,1998-01-01T00:00:00,R,3, ,1756,O,,POINT (49028 365487)
kilometermarkeringen.2,703,1998-01-01T00:00:00,L,1004, ,24,B,,POINT (90332 435043)
kilometermarkeringen.3,695,1998-01-01T00:00:00,R,998, ,637,B,,POINT (95067 436215)
kilometermarkeringen.4,2064,1998-01-01T00:00:00,R,27, ,2164,O,,POINT (128823 462859)
kilometermarkeringen.5,1582,1998-01-01T00:00:00,L,3, ,4485,O,,POINT (127937 473196)
kilometermarkeringen.6,596,1998-01-01T00:00:00,L,31, ,1025,O,,POINT (186062 578013)
kilometermarkeringen.7,594,1998-01-01T00:00:00,L,14, ,2106,O,,POINT (170160 577980)
kilometermarkeringen.8,1873,1998-01-01T00:00:00,R,39, ,200,P,,POINT (180523 513921)
kilometermarkeringen.9,601,1998-01-01T00:00:00,R,25, ,1375,O,,POINT (180289 577913)
kilometermarkeringen.10,3520,2000-03-01T00:00:00,L,4, ,256,O,,POINT (203554 519885)
kilometermarkeringen.11,2553,1998-01-01T00:00:00,R,977, ,584,B,,POINT (104905.76199999824 425717.91899999976)
kilometermarkeringen.12,2618,2002-06-01T00:00:00,R,976, ,161,B,,POINT (105821.71999999881 426090.6490000002)
kilometermarkeringen.13,1995,2003-05-01T00:00:00,R,14, ,1984,O,,POINT (117727.6261 525841.1515999995)
kilometermarkeringen.14,1999,2018-03-01T00:00:00,L,8, ,4512,O,,POINT (118563.79210000113 534432.2703999989)
kilometermarkeringen.15,2595,2003-05-01T00:00:00,R,13, ,10320,O,,POINT (180661.06439999864 331351.74639999866)
kilometermarkeringen.16,947,2003-05-01T00:00:00,L,84, ,2891,O,,POINT (174404.1724999994 385994.94150000066)
kilometermarkeringen.17,2643,2003-05-01T00:00:00,L,909, ,1151,B,,POINT (164393.87950000167 433777.8691000007)
kilometermarkeringen.18,2643,2003-05-01T00:00:00,R,908, ,170,B,,POINT (165262.44189999998 434231.07459999993)
kilometermarkeringen.19,1636,2003-05-01T00:00:00,L,13, ,5435,O,,POINT (119905.9048999995 474706.0221000016)
kilometermarkeringen.20,2040,2003-05-01T00:00:00,R,8, ,1471,O,,POINT (129832.97509999946 481480.6862999983)
kilometermarkeringen.21,907,2003-05-01T00:00:00,R,140, ,3976,P,,POINT (118069.04349999875 516240.95419999957)
