FID,diepte_org,diepte_cm,typering,opmerking,se_anno_cad_data,gdb_geomattr_data,shape
dieptepunten_1905.1,27,-270,dieptepunt, ,,,POINT (133694.5978000015 488538.7190000005)
dieptepunten_1905.2,26,-260,dieptepunt, ,,,POINT (133744.82759999856 489094.64449999854)
dieptepunten_1905.3,27,-270,dieptepunt, ,,,POINT (134434.94159999862 489325.8278999999)
dieptepunten_1905.4,24,-240,dieptepunt, ,,,POINT (133264.24080000073 490910.7736000009)
dieptepunten_1905.5,19,-190,dieptepunt, ,,,POINT (132541.80319999903 491123.34109999985)
dieptepunten_1905.6,21,-210,dieptepunt, ,,,POINT (132376.88080000132 490564.7091999985)
dieptepunten_1905.7,24,-240,dieptepunt, ,,,POINT (132741.9085999988 490160.5342999995)
dieptepunten_1905.8,15,-150,dieptepunt, ,,,POINT (132713.17880000174 491837.6640999988)
dieptepunten_1905.9,21,-210,dieptepunt, ,,,POINT (133525.7597000003 491844.7034999989)
dieptepunten_1905.10,18,-180,dieptepunt, ,,,POINT (131413.64240000024 490567.38280000165)
dieptepunten_1905.11,22,-220,dieptepunt, ,,,POINT (131387.8011999987 489183.0417999998)
dieptepunten_1905.12,21,-210,dieptepunt, ,,,POINT (130554.85300000012 488763.5408000015)
dieptepunten_1905.13,25,-250,dieptepunt, ,,,POINT (132447.81170000136 488529.5485999994)
dieptepunten_1905.14,24,-240,dieptepunt, ,,,POINT (131129.7148000002 488074.12000000104)
dieptepunten_1905.15,23,-230,dieptepunt, ,,,POINT (131881.27299999818 487943.9464999996)
dieptepunten_1905.16,26,-260,dieptepunt, ,,,POINT (131350.11039999872 487688.38069999963)
dieptepunten_1905.17,24,-240,dieptepunt, ,,,POINT (132865.29549999908 488455.38439999893)
dieptepunten_1905.18,23,-230,dieptepunt, ,,,POINT (134130.91450000182 490579.1138000004)
dieptepunten_1905.19,23,-230,dieptepunt, ,,,POINT (134857.1486000009 491026.6658000015)
dieptepunten_1905.20,24,-240,dieptepunt, ,,,POINT (134689.16849999875 491887.8973999992)
dieptepunten_1905.21,15,-150,dieptepunt, ,,,POINT (133830.92799999937 492659.24639999866)
dieptepunten_1905.22,14,-140,dieptepunt, ,,,POINT (134091.1587000005 493427.9545000009)
dieptepunten_1905.23,21,-210,dieptepunt, ,,,POINT (134612.05519999936 493069.4653999992)
dieptepunten_1905.24,19,-190,dieptepunt, ,,,POINT (134927.52760000154 493819.57250000164)
dieptepunten_1905.25,21,-210,dieptepunt, ,,,POINT (135609.186999999 493341.8509000018)
dieptepunten_1905.26,23,-230,dieptepunt, ,,,POINT (135506.3436000012 492801.9074999988)
dieptepunten_1905.27,28,-280,dieptepunt, ,,,POINT (136706.23299999908 492378.39189999923)
dieptepunten_1905.28,30,-300,dieptepunt, ,,,POINT (137471.50510000065 493045.0291999988)
dieptepunten_1905.29,30,-300,dieptepunt, ,,,POINT (138191.8563000001 493702.40850000083)
dieptepunten_1905.30,20,-200,dieptepunt, ,,,POINT (135353.77629999816 494523.46550000086)
dieptepunten_1905.31,30,-300,dieptepunt, ,,,POINT (137525.5020999983 491333.6378999986)
dieptepunten_1905.32,31,-310,dieptepunt, ,,,POINT (136798.47899999842 490620.80849999934)
dieptepunten_1905.33,30,-300,dieptepunt, ,,,POINT (136749.40480000153 489623.1325000003)
dieptepunten_1905.34,27,-270,dieptepunt, ,,,POINT (136610.9114000015 488579.6851999983)
dieptepunten_1905.35,30,-300,dieptepunt, ,,,POINT (138101.04030000046 490445.2364999987)
dieptepunten_1905.36,30,-300,dieptepunt, ,,,POINT (137797.2804000005 489722.73490000144)
dieptepunten_1905.37,30,-300,dieptepunt, ,,,POINT (135767.6862999983 489376.94139999896)
dieptepunten_1905.38,30,-300,dieptepunt, ,,,POINT (135557.39869999886 488543.7237999998)
