FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkingen,symbol,se_anno_cad_data,gdb_geomattr_data,shape
trend_2010_25.1,400340,4,340,700,606,-94,4.621,-,1 - - - - -,2,,,"POLYGON ((140879.69099999964 599735.5909999982, 140792.50299999863 599811.3830000013, 140923.71499999985 599962.3249999993, 141010.90300000086 599886.5329999998, 140879.69099999964 599735.5909999982))"
trend_2010_25.2,400360,4,360,700,623,-77,4.805,-,1 - - - - -,2,,,"POLYGON ((141010.69099999964 599886.5909999982, 140920.0309999995 599965.4010000005, 141051.24300000072 600116.3429999985, 141141.90300000086 600037.5329999998, 141010.69099999964 599886.5909999982))"
trend_2010_25.3,400380,4,380,730,670,-60,3.636,-,1 - - - - -,2,,,"POLYGON ((141141.69099999964 600036.5920000002, 141073.08799999952 600096.2270000018, 141204.30000000075 600247.1689999998, 141272.90300000086 600187.5340000018, 141141.69099999964 600036.5920000002))"
trend_2010_25.4,400400,4,400,720,707,-13,3.167,-,1 - - - - -,2,,,"POLYGON ((141273.69099999964 600187.5920000002, 141213.936999999 600239.5350000001, 141345.1490000002 600390.4770000018, 141404.90300000086 600338.5340000018, 141273.69099999964 600187.5920000002))"
trend_2010_25.5,400420,4,420,685,743,58,1.884,-,- - - - - -,1,,,"POLYGON ((141404.69099999964 600338.5920000002, 141369.14400000125 600369.4919999987, 141500.35599999875 600520.4340000004, 141535.90300000086 600489.5340000018, 141404.69099999964 600338.5920000002))"
trend_2010_25.6,400440,4,440,650,751,101,-0.687,>2020,- - - - - -,3,,,"POLYGON ((141667.90300000086 600640.5340000018, 141680.86499999836 600629.2659999989, 141549.65300000086 600478.324000001, 141536.69099999964 600489.5920000002, 141667.90300000086 600640.5340000018))"
trend_2010_25.7,400460,4,460,615,735,120,-6.973,>2020,- - - - - -,3,,,"POLYGON ((141798.90300000086 600791.5329999998, 141930.46700000018 600677.1660000011, 141799.25499999896 600526.2239999995, 141667.69099999964 600640.5909999982, 141798.90300000086 600791.5329999998))"
trend_2010_25.8,400480,4,480,575,688,113,-13.96,2018,- - - - - -,3,,,"POLYGON ((141930.90300000086 600942.5329999998, 142194.2960000001 600713.5689999983, 142063.0850000009 600562.6270000003, 141799.69099999964 600791.5909999982, 141930.90300000086 600942.5329999998))"
trend_2010_25.9,400500,4,500,520,634,114,-16.125,2017,- - - - - -,3,,,"POLYGON ((142061.90300000086 601092.5340000018, 142366.14499999955 600828.0599999987, 142234.93299999833 600677.1180000007, 141930.69099999964 600941.5920000002, 142061.90300000086 601092.5340000018))"
trend_2010_25.10,400501,4,501,520,614,94,-19.266,2014,- - - - - -,3,,,"POLYGON ((142170.40900000185 601181.2930000015, 142486.3990000002 600817.7870000005, 142335.45800000057 600686.5760000013, 142019.46700000018 601050.0819999985, 142170.40900000185 601181.2930000015))"
trend_2010_25.11,400502,4,502,520,602,82,-20.6,2013,- - - - - -,3,,,"POLYGON ((142274.71599999815 601245.9820000008, 142562.70100000128 600819.0280000009, 142396.89299999923 600707.1889999993, 142108.90900000185 601134.1429999992, 142274.71599999815 601245.9820000008))"
trend_2010_25.12,400503,4,503,520,599,79,-21.443,2013,- - - - - -,3,,,"POLYGON ((142386.1160000004 601297.3990000002, 142629.48900000006 600819.7529999986, 142451.28799999878 600728.9539999999, 142207.9149999991 601206.6009999998, 142386.1160000004 601297.3990000002))"
trend_2010_25.13,400504,4,504,520,608,88,-20.471,2014,- - - - - -,3,,,"POLYGON ((142502.9539999999 601334.8900000006, 142677.9910000004 600853.9780000001, 142490.05299999937 600785.574000001, 142315.0150000006 601266.4860000014, 142502.9539999999 601334.8900000006))"
trend_2010_25.14,704125,7,4125,84,111,27,-1.678,>2020,- - - - - -,3,,,"POLYGON ((101591.6400000006 511774.12900000066, 101633.27699999884 511769.0170000009, 101608.90300000086 511570.5080000013, 101567.2659999989 511575.62000000104, 101591.6400000006 511774.12900000066))"
trend_2010_25.15,704150,7,4150,86,115,29,-0.995,>2020,- - - - - -,3,,,"POLYGON ((101562.65199999884 511543.21400000155, 101587.28500000015 511539.7529999986, 101559.44999999925 511341.69900000095, 101534.81700000167 511345.16099999845, 101562.65199999884 511543.21400000155))"
trend_2010_25.16,704175,7,4175,103,123,20,-1.079,>2020,- - - - - -,3,,,"POLYGON ((101528.65199999884 511296.21400000155, 101555.36400000006 511292.4600000009, 101527.53000000119 511094.4070000015, 101500.81700000167 511098.16099999845, 101528.65199999884 511296.21400000155))"
trend_2010_25.17,1301628,13,1628,81,125,44,-2.255,>2020,- - - 4 - -,3,,,"POLYGON ((37309.4450000003 410145.13500000164, 37350.675000000745 410183.58300000057, 37487.074000000954 410037.311999999, 37445.84400000051 409998.86400000006, 37309.4450000003 410145.13500000164))"
