Handelsnaam;7410 - Verwerven en afstoten;Eindtotaal
Aalbers Holding B.V.;6;6
Aon B.V.;1;1
Atelier Kempe-Thill B.V.;1;1
Bea print B.V.;1;1
Bouwburo De Wilde B.V.;2;2
Brink Groep B.V.;1;1
CBRE Valuation Advisory;1;1
Chubb Fire & Security Amsterdam;7;7
Copijn;1;1
Cushman & Wakefield V.O.F.;2;2
De Vries Projekt Design B.V.;1;1
EGM Architecten B.V.;5;5
Ex Interiors B.V.;2;2
Facilitylinq B.V.;3;3
Gunnebo Nederland B.V.;1;1
Hago Electronics;1;1
HaskoningDHV Nederland B.V.;4;4
Het Sleutelhuis B.V.;2;2
Ir. Rudy Uytenhaak Architectenbureau B.V.;1;1
Kamp & Van Gulik V.O.F.;1;1
Koninklijke Haskoning DHV Groep B.V.;3;3
Korporaal Installatietechniek B.V.;5;5
Kortmann Art Packers & Shippers B.V.;2;2
Kwerreveld Dakbedekkingen B.V.;3;3
Lyreco Nederland B.V.;4;4
Nauta B.V.;3;3
New Babylon Meeting Center B.V.;1;1
Nextel B.V.;1;1
Nonhebel Entreematten en Antislip Producten;1;1
PDS Professional Driving Solutions B.V.;2;2
Pols Aggregaten B.V.;2;2
QC Light Factory B.V.;2;2
REDEPT;2;2
Regus Amsterdam B.V.;2;2
Schut-Copex B.V.;5;5
Stas B.V.;1;1
Sweco Nederland;4;4
Technisch Bureau Koppes B.V.;4;4
TNO B.V.;2;2
UTS International (Europe) B.V.;1;1
Van Vliet Parts B.V.;2;2
VCK Travel B.V.;2;2
VOB-Issos B.V.;3;3
Vogelzang Onroerend Goed Consultant B.V.;1;1
Windmill Forwarding B.V.;1;1
Zwartwoud Groningen B.V.;1;1
Eindtotaal;7;7
