Handelsnaam anonimiseerd;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Every Angle Software Solutions B.V.;;;;6;;;;6
Exact Software Nederland B.V.;;;;1;;;;1
Experis Ciber;;;;;;;3;3
Exploitatie Maatschappij Komfort B.V.;2;;;;;1;;2
Fabory Nederland;1;;;;;;;1
Faes Cases B.V.;1;;;;;;;1
Farnell (Netherlands) B.V.;1;;;;;;;1
Festo B.V.;2;;;;;;;2
Fieldworks Direct B.V.;3;1;1;;;;;3
Fifo Color B.V.;2;;;;;;;2
FilterWorks B.V.;;;;6;;;;6
FixedToday B.V.;;;;;;;4;4
Fofic;2;;;;;;;2
Fortes Solutions B.V.;;;;4;2;;;4
Foto Konijnenberg B.V.;1;;;;;;;1
Gannexion B.V.;;6;;;7;6;;7
Gartner Nederland B.V.;;;4;;1;;;4
Gemnet B.V.;;;;;;1;;1
Getronics Nederland B.V.;;;;;;1;;1
Global Systems and Software B.V.;1;;;;;;;1
Grabowsky B.V.;1;;;5;;;;5
Groningen Airport Eelde N.V.;;;;;;2;;2
GroupSecure B.V.;1;;;;;;;1
Hamer B.V.;;;;;;1;;1
Hawa Nederland B.V.;2;2;;;;;;2
Health2Work B.V.;;;;;;1;;1
Hecla Electronics B.V.;2;;;;;1;;2
Helion IT B.V.;;;;;;;3;3
Hescon B.V.;2;;;;;;;2
Het Stalplein B.V.;;;;;;1;;1
Hewlett-Packard Nederland B.V.;4;1;1;1;2;2;;4
Holland Shielding Systems B.V.;2;;;;;;;2
Hulskamp Audiovisueel Utrecht;;;;;;1;;1
I.T.M. Interma V.O.F.;1;;;;;;;1
iBabs B.V.;2;;;;;;;2
IBM Nederland B.V.;;;7;2;;;;7
ICQ Groep B.V.;;;;;;;3;3
Igo-Post B.V.;1;;;;;;;1
Imagem;;;;;;6;;6
Impulse Info Systems;;;2;;;;2;2
In2Content B.V.;2;;;;;;;2
Incentro Nederland B.V.;;;;2;;;;2
Incontrol Management Consultants B.V.;;;;;;1;;1
Index Hospitality Systems B.V.;;;;1;;;;1
Infinite Simulation Systems B.V.;;;3;;;;;3
Infotheek Projektpartners;4;5;;;;;;5
Infratel B.V.;;;;;1;;;1
ING Bank N.V.;;;;;;2;;2
Integrc Netherlands B.V.;;;;;;;5;5
Inter (VCD) B.V.;;;;;;2;;2
International Numbering Plans B.V.;;;;;;1;;1
Intronics;6;1;;;2;;;6
Isconnected B.V.;1;;;;;;;1
ITANNEX;;;;;;1;;1
itslearning Nederland B.V.;;;;;1;;;1
IT-Staffing Nederland B.V.;;;;;;;4;4
J.B.S. Handelsonderneming;1;;;;;;;1
JD Knowledge B.V.;;;;;;5;;5
Jenrick Nederland B.V.;;;;;;4;;4
JetSupport B.V.;;;;;;2;;2
JetSupport Infra B.V.;;;;;;1;;1
Kahuna Network Solutions B.V.;;;;2;;;;2
Kamera Express;1;;;;;;;1
KantoorExpert Groep;;;;;;1;;1
Kirkman Company B.V.;;;;;;;4;4
Knapzak Benelux B.V.;1;;;;;;;1
KnowledgePlaza Professional Services B.V.;;;;;;4;3;4
Koning & Hartman B.V.;1;;;;;1;;1
Koninklijke Scheepsagentuur Dirkzwager B.V.;;;;4;;;;4
Koninklijke van der Most B.V.;;;;;;4;;4
KPN B.V.;3;4;6;;;8;;9
KPN Consulting B.V.;;;;;;1;;1
KPN Corporate Market;;;;;;3;;3
Kreisler Import B.V.;1;;;;;;;1
LampVision B.V.;1;;;;;;;1
Lens B.V.;;;1;;;;;1
LINKIT B.V.;;;;;;;3;3
Lionconnect B.V.;;;;;;2;;2
Lloyd's Register Nederland B.V.;;;;;1;;;1
Logistiekconcurrent;1;;;;;;;1
Maastricht Aachen Airport B.V.;;;;;;2;;2
Mag. 45 B.V.;1;;;;;;;1
Mainpress B.V.;;;;;;1;;1
Max ICT B.V.;;1;;;;1;;1
MB Safety B.V.;;2;;;;;;2
Mercateo Nederland B.V.;1;;;;;;;1
Merlin Gerin;;;1;;;;;1
Metrohm Nederland B.V.;;;1;;;;;1
Micro-Mail Zeewolde B.V.;2;;;;;;;2
Minerva Meettechniek B.V.;;;;;;2;;2
Minkels B.V.;2;;;;1;;;2
Misco Nederland B.V.;1;3;1;;;3;;4
Misco Solutions B.V.;6;3;;2;;2;;6
Mitutoyo Nederland B.V.;;;1;2;;;;2
Moduli Print B.V.;;;;;;5;;5
Motiv It Masters B.V.;;;6;6;;;;7
Myler;;;;;;;5;5
MyMicro Group B.V.;1;;;;;;;1
N.O.D. Netwerk Onderzoek Diensten V.O.F.;1;;;;4;2;;4
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;;5;;5
Nederlands Centrum voor Informatie Management;;;;;;;4;4
NedGraphics B.V.;;;;3;;;;3
Negometrix B.V.;;;;;2;;;2
NEP Creative Technology B.V.;2;;;;;;;2
NetwerkShop;1;;;;;1;;1
NFGD Zoetermeer B.V.;;;;;;1;;1
NHG Uitgeverij B.V.;;;1;;;;;1
NiVo Engineering B.V.;;;;;;;4;4
NMS National Multiple Services B.V.;;;;;;1;;1
NoorderSoft B.V.;;;;;;1;;1
Northwave B.V.;;;;;;;3;3
OBT B.V.;;;;;;2;;2
OCLC B.V.;;;;;;4;;4
Omega Energietechniek B.V.;;;;;;1;;1
Onkenhout en Onkenhout B.V.;;1;;;;;;1
Onsight Solutions B.V.;5;;7;6;;2;1;7
Open Text Coöperatief U.A.;;;;;;3;;3
OPEN.satisfaction B.V.;;;;;;2;;2
Oracle Nederland;;;6;7;;;1;7
Orcavoice B.V.;;;;;;1;;1
Ordina Technologie & Competenties B.V.;;;;;;;7;7
P2000 Alarmeringsystemen B.V.;;;;;;1;;1
Paralax B.V.;;;5;;;1;;5
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;;3;;3
Picturae ICT B.V.;;;;;;2;;2
PINE ICT B.V.;1;1;;;;1;;2
PIPNL;;;;;;1;;1
Planon B.V.;;;4;2;2;;;4
Policy Research Corporation Nederland B.V.;;;;;;1;;1
PQR B.V.;8;7;7;7;5;4;;9
Primaned B.V.;;;;3;;2;1;4
Pro Systems International B.V.;;;;;;1;;1
Procyon Networks B.V.;;;;;;2;;2
Prodicom B.V.;;;;;;;4;4
Protinus IT B.V.;4;3;;;2;;;4
Prysmian Netherlands B.V.;;;;;;2;;2
PS Printer Supplies;1;;;;;;;1
PWJ Digital Repair Services;1;;;;;;;1
QS solutions B.V.;;;2;;;;;2
Rajapack Benelux;1;;;;;;;1
Ram Mobile Data (Netherlands) B.V.;;;;;;2;;2
Randstad Resource Bedrijf Zakelijk B.V.;1;;;;;;;1
Rebo B.V.;1;;;;;1;;2
