titel_dataset;thema_s;restricties_aan_toegang_tot_data;update_frequentie;data_vanaf_jaar;data_tot_en_met_jaar;bevat_historie;afdeling_dataverzameling;geo_aanduiding_aanwezig;type_geo_data;metadata_aanwezig;mag_data_openbaar;beschikbaar_als_open_data;locatie_open_data;url_open_data;naam_open_data_verzameling;beschikbaar_op_andere_wijze;plaats_data_andere_wijze_toegankelijk;url_data_andere_wijze_toegankelijk;beschikbaar_in_andere_vorm;plaats_data_andere_vorm_toegankelijk;url_data_andere_vorm_toegankelijk
Administratie subsidie voor- en vroegschoolse educatie;Zorg en gezondheid;Beperkte groep binnen de organisatie;;2010;;Niet gevuld;SD.BV.FBV Financiën en Bedrijfsvoering;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;landelijke register kinderopvang;www.Landelijkregisterkinderopvang.nl
Administratie subsidieregeling Wetenschap en technologie;Zorg en gezondheid;Beperkte groep binnen de organisatie;;2010;;Niet gevuld;SD.BV.FBV Financiën en Bedrijfsvoering;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Brochures met informatie voor bedrijven die zich potentieel in Eindhoven kunnen vestigen;Economie;Beperkte groep binnen de organisatie;;2016;;Niet gevuld;EC.EZA Economische Zaken en Arbeidsmarkt;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Kolken;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;;2011;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Lijnafwatering;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;;2011;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Randbeheer;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Meerder keren per maand;2011;;Dataverzameling bevat historie;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Deels beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/dataset/randbeheer;Randbeheer;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Redlining 2016;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Continu;2011;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Administratie kranten bibliotheek gemeente Eindhoven;Bestuur;Beperkte groep binnen de organisatie;Onregelmatig;2010;;Dataverzameling bevat historie;FAO.DIVP DIV Post;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Afname en kosten van de beschikbare producten in het sociaal domein per kwartaal en per buurt;Zorg en gezondheid;Alle medewerkers;1 x Per maand;2015;;Dataverzameling bevat geen historie;SD Sociaal Domein;Geo-aanduiding aanwezig in dataverzameling;Wijk;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://data.eindhoven.nl/Government/Dashboard-Sociaal-Domein-Donut-data-producten/ngg4-8j3t;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Alcoholverbodsgebieden;Openbare orde en veiligheid;Alle medewerkers;Onregelmatig;;;Niet gevuld;VJB Veiligheid, Juridische zaken en Bestuur;Geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/alcoholverbodsgebieden/?disjunctive.naam;data.eindhoven.nl;Volledig beschikbaar op andere wijze;gemeenteblad, echter zonder kaartje;https://www.eindhoven.nl/sites/default/files/2017-06/2017.003%20Gemeenteblad%20Alcoholverbodsgebied.pdf;Niet beschikbaar in andere vorm;;
