FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
B1.429,EHAM,Norra,281, ,14.38524447,B1,,,"LINESTRING (620215.5433 5796865.454600001, 593778.3837000001 5800303.251)"
B1.430,Norra,NL2,349, ,8.55266841,B1,,,"LINESTRING (593778.3837000001 5800303.251, 590539.4556999998 5815819.199100001)"
B1.431,NL2,NL3,0, ,36.41722092,B1,,,"LINESTRING (590539.4556999998 5815819.199100001, 589288.6248000003 5883298.5502)"
B1.432,NL3,NL4,29, ,24.80595295,B1,,,"LINESTRING (589288.6248000003 5883298.5502, 610671.0177999996 5923995.354499999)"
B1.433,NL4,NL5,71, ,64.00104623,B1,,,"LINESTRING (610671.0177999996 5923995.354499999, 721745.3496000003 5965602.013800001)"
B1.434,NL5,NL10,324, ,16.22606771,B1,,,"LINESTRING (721745.3496000003 5965602.013800001, 703030.5692999996 5989140.0502)"
B1.435,NL10,NL15,324, ,16.1878461,B1,,,"LINESTRING (703030.5692999996 5989140.0502, 684356.2418999998 6012619.7535999995)"
B1.436,NL15,NL16,290, ,26.05307824,B1,,,"LINESTRING (684356.2418999998 6012619.7535999995, 638370.4919999996 6027336.967599999)"
B1.437,NL16,NL17,311, ,18.85729169,B1,,,"LINESTRING (638370.4919999996 6027336.967599999, 611257.2177999998 6049387.111)"
B1.438,NL17,NL18,360, ,20.767947,B1,,,"LINESTRING (611257.2177999998 6049387.111, 610134.8839999996 6087859.357100001)"
B1.439,NL18,NL21,310, ,17.48783381,B1,,,"LINESTRING (610134.8839999996 6087859.357100001, 584837.3071999997 6108118.177999999)"
B1.440,NL21,NL24,310, ,17.49922325,B1,,,"LINESTRING (584837.3071999997 6108118.177999999, 559523.7783000004 6128390.8467999995)"
B1.441,NL24,NL27,309, ,17.49275666,B1,,,"LINESTRING (559523.7783000004 6128390.8467999995, 534214.6061000004 6148649.782400001)"
B1.442,NL27,NL26,194, ,69.24806347,B1,,,"LINESTRING (534214.6061000004 6148649.782400001, 503014.08779999986 6024164.875700001)"
B1.443,NL26,NL25,172, ,44.75015821,B1,,,"LINESTRING (503014.08779999986 6024164.875700001, 515430.8965999996 5942165.5337000005)"
B1.444,NL25,NL13,171, ,22.30700417,B1,,,"LINESTRING (515430.8965999996 5942165.5337000005, 521920.0449000001 5901337.0989)"
B1.445,NL13,NL12,172, ,36.42005342,B1,,,"LINESTRING (521920.0449000001 5901337.0989, 532126.7723000003 5834617.0964)"
B1.446,NL12,NL7,108, ,16.51794308,B1,,,"LINESTRING (532126.7723000003 5834617.0964, 561292.0471000001 5825316.879000001)"
B1.447,NL7,NL2,109, ,16.5927703,B1,,,"LINESTRING (561292.0471000001 5825316.879000001, 590539.4556999998 5815819.199100001)"
B1.448,NL2,Norra,169, ,8.55266841,B1,,,"LINESTRING (590539.4556999998 5815819.199100001, 593778.3837000001 5800303.251)"
B1.449,Norra,EHAM,101, ,14.34474923,B1,,,"LINESTRING (593778.3837000001 5800303.251, 620128.0291999998 5796775.913000001)"
