CODE;ID;OMSCHRIJVING;NAAM;STADSDLCD;STADSDEEL;STRAATNAAM;COUNTER;GUID
GGG01;81197;Grote groengebieden;Scheveningse Bos;4;Scheveningen;Scheveningse Bos;15;{09EDE8D7-5F59-3FE1-E053-293C0B0AF01F}
GGG01;81198;Grote groengebieden;Nieuwe Scheveningse Bosjes;4;Scheveningen;Nieuwe Scheveningse Bosjes;16;{09EDE8D7-5F5A-3FE1-E053-293C0B0AF01F}
GGG01;81454;Grote groengebieden;Bosjes van Poot;3;Segbroek;Bosjes van Poot;17;{09EDE8D7-5BB3-3FE1-E053-293C0B0AF01F}
GGG01;81519;Grote groengebieden;Westduinpark;3;Segbroek;Fuutpad;18;{09EDE8D7-6DA6-3FE1-E053-293C0B0AF01F}
GGG01;81531;Grote groengebieden;Madestein NoordWest;1;Loosduinen;Madestein west;19;{09EDE8D7-5AD5-3FE1-E053-293C0B0AF01F}
GGG01;81532;Grote groengebieden;Ockenburgh;1;Loosduinen;Monsterseweg;20;{09EDE8D7-5AD9-3FE1-E053-293C0B0AF01F}
GGG01;81775;Grote groengebieden;Zuiderpark;2;Escamp;Zuiderpark;1;{09EDE8D7-5D73-3FE1-E053-293C0B0AF01F}
GGG01;81803;Grote groengebieden;Kapelweg;4;Scheveningen;Westbroekpark Rosarium;2;{09EDE8D7-65D7-3FE1-E053-293C0B0AF01F}
GGG01;124275;Grote groengebieden;Arendsdorp;7;Haagse Hout;Arendsdorp;3;{09EDE8D7-649B-3FE1-E053-293C0B0AF01F}
GGG01;124413;Grote groengebieden;Oostduin;7;Haagse Hout;Oostduin;4;{09EDE8D7-674F-3FE1-E053-293C0B0AF01F}
GGG01;124493;Grote groengebieden;Clingendael;7;Haagse Hout;Clingendael;5;{09EDE8D7-6493-3FE1-E053-293C0B0AF01F}
GGG01;124601;Grote groengebieden;Park Marlot;7;Haagse Hout;Park Marlot;6;{09EDE8D7-6492-3FE1-E053-293C0B0AF01F}
GGG01;124674;Grote groengebieden;Reigersbergen;7;Haagse Hout;Reigersbergen;7;{09EDE8D7-6490-3FE1-E053-293C0B0AF01F}
GGG01;124763;Grote groengebieden;Paleistuin;5;Centrum;Paleistuin;8;{09EDE8D7-6DF6-3FE1-E053-293C0B0AF01F}
GGG01;124857;Grote groengebieden;Park Oosterbeek;7;Haagse Hout;Park Oosterbeek;9;{09EDE8D7-6491-3FE1-E053-293C0B0AF01F}
GGG01;80812;Grote groengebieden;Meer en Bos;1;Loosduinen;Meer en Bos;10;{09EDE8D7-5AD8-3FE1-E053-293C0B0AF01F}
GGG01;80813;Grote groengebieden;Bosjes van Pex;1;Loosduinen;Bosjes van Pex;11;{09EDE8D7-5ADB-3FE1-E053-293C0B0AF01F}
GGG01;80814;Grote groengebieden;Wapendal;1;Loosduinen;Wapendal;12;{09EDE8D7-5ADD-3FE1-E053-293C0B0AF01F}
GGG01;81091;Grote groengebieden;De Uithof;2;Escamp;De Uithof;13;{09EDE8D7-5DB3-3FE1-E053-293C0B0AF01F}
GGG01;81190;Grote groengebieden;Westlbroekpark speelweiden;4;Scheveningen;Westbroekpark Speelweiden;14;{09EDE8D7-5F48-3FE1-E053-293C0B0AF01F}
GGG01;4702586;Grote groengebieden;Hubertuspark;4;Scheveningen;Hubertuspark;21;{DA1B8E4F-45FC-4270-8700-92EE557AB13A}
