AreaManagerId,AreaId,AreaDesc,StartDateArea,EndDateArea,UsageId
2448,603_BOGP4,In de Bogaard P4 (Rijswijk),20140101,29991231,GARAGEP
303,303_STRAND,Strand Drontermeer,20170101,29991231,BETAALDP
2448,518_GRMA,Garage Grote Markt (Den Haag),20131125,29991231,GARAGEP
1900,1900_LEMM,Lemmerweg,20140101,29991231,BETAALDP
796,020121,Luybenstraat,20110930,20111001,BETAALDP
2585,HEINING,Truckparking De Heining,20201005,29991231,TRUCKP
361,TESTGEBIED,Gebied zonder kernwinkeltijden,20160101,20170101,ONTHEFFING
164,3004,Parkeerterrein Eikstraat,20120210,20140101,BETAALDP
385,BZVOLENDAM,Blauwe zone Volendam,20120605,29991231,BLAUWEZ
344,V10200,Nieuw Welgelegen west,20131201,29991231,VERGUNP
599,599_PERNIS,P+R Pernis (Rotterdam),20140101,29991231,PARKRIDE
476,CENCAL,Centrum Callantsoog,20120228,20120301,BETAALDP
361,TESTGEB2,testgebied2,20160101,20170101,ONTHEFFING
546,P6,,20200910,29991231,VERGUNP2
400,BZ,Blauwe Zone,20121019,29991231,BLAUWEZ
2449,363_OOST,Terrein Oostenburgereiland (Amsterdam),20131106,29991231,TERREINP
599,S25,Sector 25,20200831,29991231,BEZOEKP
307,B7P,zone B7 uitzondering,20200603,29991231,VERGUNP
439,GORSNOORD,tarief Gors-noord,20131125,29991231,BETAALDP
984,3A4,Hoog onbeperkt 4,20120502,20120503,BETAALDP
424,1,Muiderslot,20120413,29991231,BETAALDP
200,200_ZW,Straatparkeren Zone W woonwijken (Apeldoorn),20131212,20131213,BETAALDP
537,537_TRAM,Garage Tramstraat (Katwijk),20131004,29991231,GARAGEP
363,OZ25-02,OZ25-02 Oud Zuid 2,20050101,29991231,VERGUNP
612,612_CPG,Garage City Plaza (Spijkenisse),20131010,20201019,GARAGEP
612,236299,Centrum Kern ondernemers,20121026,20201019,BETAALDPO
441,441_VOMAR,Straatparkeren Vomar Parkeerdek (Schagen),20131023,29991231,BETAALDP
612,236286,Langparkeerterrein Vredehofstraat,20121025,20201019,BETAALDP
1783,1783_KIJKW,Straatparkeren Kijkerweg te de Lier (Westland),20131024,29991231,BETAALDP
612,236287,Langparkeerterrein Breestraat,20121025,20201019,BETAALDP
363,ZO70,ZO70 Amsterdam Zuidoost niet fiscaal,20050101,29991231,VERGUNP
612,236260,Centrum Kern,20121025,20201019,BETAALDP
518,T00,Den Haag (paraplu),20151002,20161231,BETAALDP
1900,1900_BPMV,Boschplein (maaiveld),20140630,29991231,BETAALDP
1684,3,Smidstraat,20120301,29991231,BETAALDP
796,020308,Jan Schofferlaan,20110930,20111001,BETAALDP
612,236262,Centrum Zuid,20121025,20201019,BETAALDP
479,ZD001,Zaandam1,20130517,29991231,BETAALDP
392,392_APP,Garage De Appelaar (Haarlem),20130926,29991231,GARAGEP
363,RB45B,RB45B Zuideramstel 1,20050101,29991231,VERGUNP
717,28,Parkeerterrein De Vier Hoogten,20121016,20130423,BETAALDP
612,236280,P+R terrein metro-/busstation Spijkenisse Centrum,20121025,20201019,BETAALDP
1900,1900_STKL,Steenklip,20140630,29991231,BETAALDP
166,52F3,Maximaal-4-uur Begrittenstraat,20120511,20140101,BETAALDP
114,78119,Wilhelminastraat (tussen Sterrenkamp en Van Schaikweg),20140722,29991231,BETAALDP
