FID,strooknaam,vliegdatum,shape_leng,se_anno_cad_data,gdb_geomattr_data,shape
vliegln_krib_waal_2013.1,grd01,2013-09-08T00:00:00,2797.6974,,,"LINESTRING (147282.6640000008 426333.6719999984, 150080.36199999973 426333.6719999984)"
vliegln_krib_waal_2013.2,grd02,2013-09-08T00:00:00,21022.9332067,,,"LINESTRING (130650.46499999985 426988.3960000016, 151656.6799999997 426150.1499999985)"
vliegln_krib_waal_2013.3,grd03,2013-09-08T00:00:00,21608.6992947,,,"LINESTRING (131887.72899999842 426701.02899999917, 153475.05000000075 425740.07400000095)"
vliegln_krib_waal_2013.4,grd04_1,2013-09-08T00:00:00,26196.9871479,,,"LINESTRING (125942.82400000095 426715.55999999866, 152117.3449999988 425630.8570000008)"
vliegln_krib_waal_2013.5,grd04_2,2013-09-08T00:00:00,26448.9582326,,,"LINESTRING (127307.71200000122 426643.91600000113, 153733.98800000176 425548.7800000012)"
vliegln_krib_waal_2013.6,grd05,2013-09-08T00:00:00,26401.244424,,,"LINESTRING (127303.4990000017 426376.36499999836, 153683.2410000004 425311.0240000002)"
vliegln_krib_waal_2013.7,grd06,2013-09-08T00:00:00,26452.0133532,,,"LINESTRING (126214.8759999983 426244.3999999985, 152640.7199999988 425068.05900000036)"
vliegln_krib_waal_2013.8,grd07,2013-09-08T00:00:00,26880.0700446,,,"LINESTRING (127292.67700000107 425922.40300000086, 154147.95699999854 424768.2199999988)"
vliegln_krib_waal_2013.9,grd08,2013-09-08T00:00:00,27873.0637249,,,"LINESTRING (125821.84099999815 425768.19900000095, 153669.08399999887 424568.70899999887)"
vliegln_krib_waal_2013.10,grd09,2013-09-08T00:00:00,27879.8627079,,,"LINESTRING (127264.10700000077 425426.98099999875, 155120.2809999995 424277.9389999993)"
vliegln_krib_waal_2013.11,grd10,2013-09-08T00:00:00,27688.0615376,,,"LINESTRING (125990.11499999836 425267.97300000116, 153653.0949999988 424089.7039999999)"
vliegln_krib_waal_2013.12,grd11,2013-09-08T00:00:00,15477.3457639,,,"LINESTRING (139412.4690000005 424451.5949999988, 154874.6339999996 423766.2710000016)"
vliegln_krib_waal_2013.13,grd12,2013-09-08T00:00:00,6497.37674887,,,"LINESTRING (148404.25499999896 423842.3900000006, 154895.6400000006 423563.40399999917)"
vliegln_krib_waal_2013.14,grd13,2013-09-08T00:00:00,15177.8429392,,,"LINESTRING (151204.5469999984 421508.4070000015, 159161.73000000045 434433.1950000003)"
vliegln_krib_waal_2013.15,grd14,2013-09-08T00:00:00,15005.5579582,,,"LINESTRING (152271.1959999986 422703.1570000015, 160103.7259999998 435502.30700000003)"
vliegln_krib_waal_2013.16,grd15,2013-09-08T00:00:00,15063.8940319,,,"LINESTRING (151683.60599999875 421357.80999999866, 159572.44000000134 434190.86100000143)"
vliegln_krib_waal_2013.17,grd16,2013-09-08T00:00:00,14971.1257022,,,"LINESTRING (152683.82200000063 422471.4059999995, 160519.18200000003 435228.43299999833)"
vliegln_krib_waal_2013.18,grd17,2013-09-08T00:00:00,14906.5179459,,,"LINESTRING (152194.1640000008 421219.5150000006, 159987.18499999866 433926.72199999914)"
