Rijlabels;7110 - Gebruik en onderhoud gebouw en terreinen;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
anoniem 2;;;1;1
BCD Travel Nederland B.V.;1;;;1
Carbonfilters B.V.;1;;;1
Carl Zeiss B.V.;1;;;1
Croonwolter&dros B.V.;1;;;1
E.A.L. Electronic Application Laboratory B.V.;2;;;2
Elnosro B.V.;1;;;1
ICE Airconditioning B.V.;1;;;1
Infogreffe.fr;1;;;1
IV-Software B.V.;1;;;1
kluisopening.nl;1;;;1
Landuwasco B.V.;3;;;3
Mondial Movers B.V.;;1;;1
Multiwal B.V.;1;;;1
Nauta Services B.V.;1;;;1
Prinsenpoort C.V.;;;1;1
Propertyview B.V.;;;2;2
SACO Serviced Apartments B.V.;;;1;1
Safe2lock;1;;;1
SBK-Amsterdam;1;;;1
Top Movers Nederland B.V.;;2;;2
Transportbedrijf P.A. Van Rooyen B.V.;1;2;;2
Trigion Beveiliging B.V.;4;;;4
Verwey Vastgoed B.V.;;;1;1
Eindtotaal;5;3;2;5
