ID,STEMBUREAU,Wijk,GROOTSTEPERWIJK,Buurt,GROOTSTEPERBUURT,,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
1,Stembureau Stadskantoor,Centrum,Forum voor Democratie,Centrum,Forum voor Democratie,,59,70,54,125,101,210,41,92,62,44,0,29,0,181,1,16
2,Stembureau Stadsgehoorzaal,Oostwijk,P.v.d.A./Europese Sociaaldemocraten,Oostbuurt,P.v.d.A./Europese Sociaaldemocraten,,47,49,23,104,47,116,23,88,39,11,1,3,0,107,1,18
3,Stembureau Watertoren,Oostwijk,P.v.d.A./Europese Sociaaldemocraten,Hofbuurt,P.v.d.A./Europese Sociaaldemocraten,,65,31,4,114,33,95,26,90,30,25,0,0,0,46,1,7
4,Stembureau Kerkgebouw de Fontein,Centrum,Forum voor Democratie,Centrum,Forum voor Democratie,,25,38,31,71,46,64,44,46,26,37,0,10,0,98,3,6
5,Stembureau Rehobothkerk,Centrum,Forum voor Democratie,Indische Buurt,Forum voor Democratie,,24,41,40,74,35,103,59,36,30,42,3,24,0,136,2,7
6,Stembureau Zorgcentrum Soenda,Centrum,Forum voor Democratie,Indische Buurt,Forum voor Democratie,,28,64,69,61,67,84,68,44,23,43,2,20,3,141,1,8
7,Stembureau Basisschool Het Visnet,Centrum,Forum voor Democratie,Vettenoordse Polder Oost,Forum voor Democratie,,24,27,38,44,49,87,24,53,28,44,2,51,0,105,2,11
8,Stembureau Wooncentrum De Bolder,Vettenoordse Polder,Forum voor Democratie,Maasboulevard,Forum voor Democratie,,8,16,25,30,29,55,20,11,10,22,1,3,1,72,0,6
9,Stembureau Calvijnschool,Westwijk,Forum voor Democratie,Wetering,Forum voor Democratie,,13,22,14,39,16,46,67,12,10,15,0,10,0,46,0,3
10,Stembureau CBS de Schakel,Westwijk,Forum voor Democratie,Wetering,Forum voor Democratie,,23,58,46,59,58,81,35,35,34,41,0,55,0,114,0,4
11,Stembureau O.B.S. de Wereldwijzer,Westwijk,Forum voor Democratie,Hoogkamer,P.v.d.A./Europese Sociaaldemocraten,,20,52,51,77,59,90,38,51,27,41,3,41,0,117,1,16
12,Stembureau Wijkcentrum Westÿ,Westwijk,Forum voor Democratie,Zuidbuurt,Forum voor Democratie,,17,25,42,31,53,66,19,43,11,26,0,85,0,78,0,5
13,Stembureau Marnix Revalidatiecentrum,Westwijk,Forum voor Democratie,Zuidbuurt,Forum voor Democratie,,3,24,16,18,22,41,21,11,9,21,2,19,0,60,0,6
