FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkinge,symbol,shape_leng,shape_le_1,se_anno_cad_data,gdb_geomattr_data,shape
trend_2016_100.1,301180,3,1180,-30,104.59,134.59,9.38,-,- - - - - -,1,2276.00026527,2276.00026527,,,"POLYGON ((179291.22450000048 609388.4721000008, 179209.47250000015 610322.9028999992, 179408.7115000002 610340.3339000009, 179490.46350000054 609405.9032999985, 179291.22450000048 609388.4721000008))"
trend_2016_100.2,200100,2,100,725,2413.38,1688.38,11.63,-,- - - - - -,1,2725.9999681,2725.9999681,,,"POLYGON ((205419.0331000015 608732.1349, 205378.4448999986 607569.8434999995, 205178.56679999828 607576.8233000003, 205219.1548999995 608739.1149000004, 205419.0331000015 608732.1349))"
trend_2016_100.3,200101,2,101,705,2351.08,1646.08,-15.71,>2026,- - - - - -,3,3541.99983492,3541.99983492,,,"POLYGON ((205065.02479999885 608772.4558999985, 205364.78550000116 610314.5920999981, 205561.1110999994 610276.430300001, 205261.35009999946 608734.2941000015, 205065.02479999885 608772.4558999985))"
trend_2016_100.4,200102,2,102,700,2192.29,1492.29,-16.78,>2026,- - - - - -,3,3755.99992692,3755.99992692,,,"POLYGON ((204918.01529999822 608829.5148999989, 205491.9250999987 610406.3191, 205679.8638000004 610337.9151000008, 205105.95380000025 608761.1108999997, 204918.01529999822 608829.5148999989))"
trend_2016_100.5,200103,2,103,689,2062,1373,-9.39,>2026,- - - - - -,3,2278.00007172,2278.00007172,,,"POLYGON ((204781.72580000013 608908.8561000004, 205236.9620999992 609730.1240999997, 205411.88589999825 609633.1623000018, 204956.64979999885 608811.8942999989, 204781.72580000013 608908.8561000004))"
trend_2016_100.6,200104,2,104,694,1956.18,1262.18,-4.23,>2026,- - - - - -,3,1245.99986758,1245.99986758,,,"POLYGON ((204672.32409999892 608996.556499999, 204926.89180000126 609334.3792999983, 205086.61890000105 609214.0163000003, 204832.05110000074 608876.193500001, 204672.32409999892 608996.556499999))"
trend_2016_100.7,200105,2,105,699,1928.87,1229.87,3.27,-,- - - - - -,1,1054.00004636,1054.00004636,,,"POLYGON ((204704.122299999 608968.3784999996, 204468.89809999987 608741.2252999991, 204329.96649999917 608885.0932999998, 204565.19079999998 609112.2465000004, 204704.122299999 608968.3784999996))"
trend_2016_100.8,200106,2,106,709,2002.08,1293.08,12.13,-,- - - - - -,1,2825.99978102,2825.99978102,,,"POLYGON ((204603.76330000162 609066.2857999988, 203622.4257999994 608353.3022999987, 203504.86879999936 608515.1057999991, 204486.2063000016 609228.0890999995, 204603.76330000162 609066.2857999988))"
trend_2016_100.9,200120,2,120,770,2122.76,1352.76,20.85,-,- - - - - -,1,4570.00001809,4570.00001809,,,"POLYGON ((204488.76289999858 609224.2859000005, 202801.9624999985 607998.7534999996, 202684.40549999848 608160.5568999983, 204371.20589999855 609386.0892999992, 204488.76289999858 609224.2859000005))"
trend_2016_100.10,200140,2,140,810,2206.57,1396.57,21.2,-,- - - - - -,1,4639.99971894,4639.99971894,,,"POLYGON ((204370.7628000006 609386.2857999988, 202655.64680000022 608140.1810999997, 202538.0898000002 608301.9844999984, 204253.20580000058 609548.0890999995, 204370.7628000006 609386.2857999988))"
trend_2016_100.11,200160,2,160,806,2169.93,1363.93,15.93,-,- - - - - -,1,3586.00003134,3586.00003134,,,"POLYGON ((204253.76309999824 609546.2857999988, 202964.99909999967 608609.9439000003, 202847.44189999998 608771.747299999, 204136.2060999982 609708.0890999995, 204253.76309999824 609546.2857999988))"
trend_2016_100.12,200180,2,180,791,2003.92,1212.92,5.96,-,- - - - - -,1,1591.99997732,1591.99997732,,,"POLYGON ((204134.76309999824 609709.2861000001, 203652.58889999986 609358.9660999998, 203535.03189999983 609520.7694999985, 204017.2060999982 609871.0894999988, 204134.76309999824 609709.2861000001))"
trend_2016_100.13,200200,2,200,732,1855.58,1123.58,9.72,-,- - - - - -,1,2343.99992574,2343.99992574,,,"POLYGON ((204017.76289999858 609871.2859000005, 203231.39829999954 609299.9587999992, 203113.8412999995 609461.7620999999, 203900.20580000058 610033.0892999992, 204017.76289999858 609871.2859000005))"
trend_2016_100.14,200201,2,201,723,1509.52,786.52,2.8,-,- - - - - -,1,959.99962291,959.99962291,,,"POLYGON ((203931.9941000007 609982.2052999996, 203684.7688000016 609850.7533, 203590.874499999 610027.3427999988, 203838.09980000183 610158.7947999984, 203931.9941000007 609982.2052999996))"
trend_2016_100.15,200202,2,202,580,1420.15,840.15,5.65,-,- - - - - -,1,1529.99967165,1529.99967165,,,"POLYGON ((203870.25879999995 610088.2670999989, 203342.78590000048 609885.7890999988, 203271.11230000108 610072.5051000006, 203798.58509999886 610274.9831000008, 203870.25879999995 610088.2670999989))"
trend_2016_100.16,200203,2,203,510,1345.84,835.84,5.49,-,- - - - - -,1,1497.9999042,1497.9999042,,,"POLYGON ((203816.12029999867 610217.625500001, 203281.191300001 610094.1273000017, 203236.2008999996 610289.0012999997, 203771.13010000065 610412.499499999, 203816.12029999867 610217.625500001))"
trend_2016_100.17,200204,2,204,480,1304.95,824.95,6.5,-,- - - - - -,1,1699.99977863,1699.99977863,,,"POLYGON ((203780.52809999883 610353.2555, 203133.0014999993 610296.6042999998, 203115.5705000013 610495.8431000002, 203763.09690000117 610552.4945, 203780.52809999883 610353.2555))"
trend_2016_100.18,200205,2,205,460,1286.18,826.18,8.19,-,- - - - - -,1,2038.00023001,2038.00023001,,,"POLYGON ((203764.14130000025 610492.4494999982, 202946.2637999989 610535.3128000014, 202956.73090000078 610735.0388000011, 203774.6085000001 610692.1755000018, 203764.14130000025 610492.4494999982))"
trend_2016_100.19,200206,2,206,450,1284.03,834.03,8.39,-,- - - - - -,1,2078.00020555,2078.00020555,,,"POLYGON ((203765.82290000096 610615.1444999985, 202939.56909999996 610760.8352999985, 202974.29879999906 610957.7969000004, 203800.55249999836 610812.1061000004, 203765.82290000096 610615.1444999985))"
trend_2016_100.20,200220,2,220,440,1281.46,841.46,5.59,-,- - - - - -,1,1518.00024753,1518.00024753,,,"POLYGON ((203800.82279999927 610817.1442999989, 203250.3150999993 610914.2137999982, 203285.0447999984 611111.1752999984, 203835.5522999987 611014.1059000008, 203800.82279999927 610817.1442999989))"
trend_2016_100.21,200240,2,240,420,1344.69,924.69,10.52,-,- - - - - -,1,2503.99988895,2503.99988895,,,"POLYGON ((203834.82290000096 611015.1444999985, 202798.8051000014 611197.8222999983, 202833.53489999846 611394.7839000002, 203869.55249999836 611212.1061000004, 203834.82290000096 611015.1444999985))"
trend_2016_100.22,200260,2,260,380,1315.11,935.11,-2,>2026,- - - - - -,3,800.00021482,800.00021482,,,"POLYGON ((203903.55249999836 611409.1057999991, 204100.51410000026 611374.3761, 204065.78449999914 611177.4145000018, 203868.82290000096 611212.1440999992, 203903.55249999836 611409.1057999991))"
trend_2016_100.23,200280,2,280,340,1276.32,936.32,4.01,-,- - - - - -,1,1201.99985773,1201.99985773,,,"POLYGON ((203902.82279999927 611407.1444999985, 203507.91490000114 611476.7773000002, 203542.64449999854 611673.7388999984, 203937.5522999987 611604.1061000004, 203902.82279999927 611407.1444999985))"
trend_2016_100.24,200300,2,300,280,1137.12,857.12,-3.79,>2026,- - - - - -,3,1158.00004266,1158.00004266,,,"POLYGON ((203971.5522999987 611801.1057999991, 204344.79450000077 611735.2930999994, 204310.06480000168 611538.3315000013, 203936.82279999927 611604.1440999992, 203971.5522999987 611801.1057999991))"
trend_2016_100.25,200301,2,301,280,960.99,680.99,-12.96,>2026,- - - - - -,3,2992.0000953,2992.0000953,,,"POLYGON ((204026.04129999876 611949.1145000011, 205251.43329999968 611527.1781000011, 205186.31980000064 611338.0742999986, 203960.9277999997 611760.0108000003, 204026.04129999876 611949.1145000011))"
trend_2016_100.26,200302,2,302,280,813.43,533.43,-20.1,>2026,- - - - - -,3,4419.99978898,4419.99978898,,,"POLYGON ((204102.99390000105 612086.7947999984, 205877.7184999995 611143.1568999998, 205783.82429999858 610966.567499999, 204009.09950000048 611910.2052999996, 204102.99390000105 612086.7947999984))"
trend_2016_100.27,200303,2,303,280,699.37,419.37,-28.45,>2026,- - - - - -,3,6089.99984509,6089.99984509,,,"POLYGON ((204224.79129999876 612236.0273000002, 206435.77149999887 610445.6108000018, 206309.9074999988 610290.181499999, 204098.9272999987 612080.5980999991, 204224.79129999876 612236.0273000002))"
