OBJECTID,PUNTNUMMER,CONTROLEDATUM,PUNTTYPE,KWALITEIT,ZEKERING,GPS_GESCHIKTHEID,VEILIGHEID,STABILITEIT,STATIEFOPSTELBAAR,OPMERKING,X,Y,Z,MEETDATUM,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,POSITIONELE_NAUWKEURIGHEID_MM
1,0341001,2017/01/10 00:00:00+00,XYZ,Eerste orde,meetspijker,Geschikt bewaakt,Geen,Zettingsvrij,Ja,"Meetspijker geplaatst in betonnen rand voetbrug tpv Onderdandamsterdweg, Ernaast ligt een spoorbrug met in Zuidelijk landhoofd NAP-bout 3D0114",233079.555,600614.952,2.117,2017/01/10 00:00:00+00,200,,200,200__,Winsum - Roodeschool,Swd-Rd,Sauwerd - Roodeschool ,12.264232,"12,264232",-3.879232,"-3,879232",10
2,0341005,2017/01/09 00:00:00+00,XYZ,Eerste orde,kruiskopbout,Geschikt onbewaakt,Geen,Zettingsvrij,Ja,,239951.64,602684.494,0.824,2017/01/09 00:00:00+00,200,,200,200__,Winsum - Roodeschool,Swd-Rd,Sauwerd - Roodeschool ,19.618647,"19,618647",520.596394,"520,596394",10
3,0341006,2017/01/10 00:00:00+00,XYZ,Eerste orde,meetspijker,Geschikt onbewaakt,Geen,Zettingsvrij,Ja,,236248.632,602173.509,0.651,2017/01/10 00:00:00+00,200,,200,200__,Winsum - Roodeschool,Swd-Rd,Sauwerd - Roodeschool ,16.009538,"16,009538",145.496427,"145,496427",10
4,0371001,2017/01/09 00:00:00+00,XYZ,Eerste orde,meetspijker,Geschikt bewaakt,Geen,Zettingsvrij,Ja,Meetspijker geplaatst in betonnen muur van fietstunnel.,241949.083,603708.841,1.627,2017/01/09 00:00:00+00,200,,200,200__,Winsum - Roodeschool,Swd-Rd,Sauwerd - Roodeschool ,22.127064,"22,127064",53.693586,"53,693586",10
5,0371003,2017/01/09 00:00:00+00,XYZ,Eerste orde,meetspijker,Geschikt bewaakt,Geen,Zettingsvrij,Ja,"Meetspijker geplaatst in betonnen muur van gemaal ""KGM10"". (Tilweg)",245736.103,603349.995,0.543,2017/01/09 00:00:00+00,200,,200,200__,Winsum - Roodeschool,Swd-Rd,Sauwerd - Roodeschool ,25.733185,"25,733185",417.35875,"417,358750",10
6,0371005,2017/01/09 00:00:00+00,XYZ,Eerste orde,meetspijker,Geschikt bewaakt,Geen,Zettingsvrij,Ja,Meetspijker geplaatst in betonnen vloer van pompstation aan de Westerreemsweg.,249574.005,607941.694,7.446,2017/01/09 00:00:00+00,815,a,815,815_a,Roodeschool Eemshaven,Rda-Eem,Rodeschool Aansl. - Eemshaven ,6.116247,"6,116247",46.909969,"46,909969",10
7,0371006,2017/01/09 00:00:00+00,XYZ,Eerste orde,meetspijker,Geschikt onbewaakt,Overig - weg,Zettingsvrij,Ja,,247948.967,606313.211,-0.206,2017/01/09 00:00:00+00,815,a,815,815_a,Roodeschool Eemshaven,Rda-Eem,Rodeschool Aansl. - Eemshaven ,3.2,"3,200000",531.646358,"531,646358",10
8,0541001,2015/11/24 00:00:00+00,XYZ,Eerste orde,bronzen bout,Geschikt bewaakt,Spoorweg,Zettingsvrij,Ja,NS-nr oud: B0.8-1 Muur van O-lhfd 0.31m van Z-kant 4.73m uit rail van doorgaand spoor,157352.588,575953.485,1.543,2014/03/06 00:00:00+00,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,0.901766,"0,901766",4.90705,"4,907050",10
9,0571009,2015/11/24 00:00:00+00,XYZ,Eerste orde,ijzeren bout,Geschikt onbewaakt,Overig - weg,Zettingsvrij,Ja,In betonnen rand van put van stuwduiker onder Slachtedijk in Franekeradeel. Nabij boerderij Slachtedijk 5.,161625.711,575876.71,0.93,2014/03/06 00:00:00+00,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,5.151414,"5,151414",393.623575,"393,623575",10
10,0571012,2015/08/06 00:00:00+00,XYZ,Eerste orde,meetspijker,Geschikt onbewaakt,Geen,Zettingsvrij,Ja,Messing meetspijker in noordwestelijke hoek van pompput ten noorden van Spoordijk Leeuwarden - Harlingen. T.h.v. hmp 7.9.,164289.3375,576596.0659,-0.0159,2015/08/06 00:00:00+00,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,7.876372,"7,876372",-19.616098,"-19,616098",10
11,0571013,2015/08/06 00:00:00+00,XYZ,Eerste orde,ijzeren bout,Geschikt onbewaakt,Geen,Zettingsvrij,Ja,Hart noordwestelijke draadeind van de noordwestelijke mastvoet van HSM 19 nabij Franeker.,166784.6278,576429.5129,0.8096,2015/08/06 00:00:00+00,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,10.816794,"10,816794",647.391959,"647,391959",10
12,0581009,2015/11/24 00:00:00+00,XYZ,Eerste orde,ijzeren bout,Geschikt onbewaakt,Geen,Zettingsvrij,Ja,Op betonnen kademuur van Harinxmakanaal langs Snelliusweg ten Z van Zwettebrug in Leeuwarden. Meetpunt is RVS draadeinde.,179936.47,578326.247,0.456,2014/03/06 00:00:00+00,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,24.006851,"24,006851",79.785699,"79,785699",10
13,0581010,2015/11/27 00:00:00+00,XYZ,Eerste orde,bout -RVS,Geschikt bewaakt,Spoorweg,Zettingsvrij,Ja,Op ZW landhoofd van spoorbrug over Bolswardertrekvaart nabij Deinum in Menaldumadeel.,174977.682,577494.578,2.853,2014/03/06 00:00:00+00,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,19.007229,"19,007229",4.683941,"4,683941",10
14,0581011,2015/11/27 00:00:00+00,XYZ,Eerste orde,bout - koper,Geschikt onbewaakt,Geen,Onbekend,Ja,Op betonnen rand  van kunstwerk onder rijksweg N31 nabij Deinum. Ten ZO van spoorviaduct.,177906.466,578052.146,0.181,2014/03/06 00:00:00+00,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,21.996313,"21,996313",32.993243,"32,993243",10
15,0581012,2014/03/06 00:00:00+00,XYZ,Eerste orde,bout - koper,Geschikt bewaakt,Spoorweg,Zettingsvrij,Ja,Op duiker onder spoor ten W van ovw in Hatzum en station Dronrijp in Menaldumadeel. Bereikbaar vai toegangsroute via schouwpad.,171373.89,576767.3,-0.508,2014/03/06 00:00:00+00,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,15.336431,"15,336431",8.737684,"8,737684",10
16,0581013,2014/03/06 00:00:00+00,XYZ,Eerste orde,bout - koper,Geschikt onbewaakt,Geen,Zettingsvrij,Ja,hoogte uit GPS 2.192. LET OP: Mogelijk zit er op 86cm in oostelijke richting nog een bout!,179034.2992,577764.2211,2.1828,2014/03/06 00:00:00+00,008,,8,008__,Leeuwarden - Stavoren,Lw-Stv,Leeuwarden - Stavoren ,3.395526,"3,395526",-8.02266,"-8,022660",10
17,0631012,2017/02/03 00:00:00+00,XYZ,Eerste orde,imbusbout,Geschikt bewaakt,Overig - weg,Zettingsvrij,Ja,"imbusbout in voetpad boven op viaduct, 1.47 meter van fietspad. Puntnummer was 5000",181041.97,578693.442,8.898,2017/02/03 00:00:00+00,550,,550,550__,Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,25.180038,"25,180038",14.556007,"14,556007",10
18,0631013,2017/02/03 00:00:00+00,XYZ,Eerste orde,bout - koper,Geschikt bewaakt,Spoorweg,Zettingsvrij,Ja,Koperen bout in put in voetpad langs de Merodestraat bij kruising met Stuyvesantweg. 0.05 Meter uit westrand punt en 0.46 uit zuidrand put. Was nr 5001,183759.602,579266.068,1.039,2017/02/03 00:00:00+00,002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,27.956724,"27,956724",-7.142311,"-7,142311",10
19,0631016,2017/02/13 00:00:00+00,XYZ,Eerste orde,meetspijker,Geschikt onbewaakt,Overig - weg,Zettingsvrij,Ja,,182038.656,575703.548,2.941,2017/02/13 00:00:00+00,009,,9,009__,Meppel - Leeuwarden,Zl-Lw,Zwolle - Leeuwarden ,162.499356,"162,499356",481.955128,"481,955128",10
20,0631017,2017/02/03 00:00:00+00,XYZ,Eerste orde,meetspijker,Geschikt onbewaakt,Overig - weg,Zettingsvrij,Ja,,187015.516,579894.075,0.133,2017/02/03 00:00:00+00,002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,31.267486,"31,267486",17.206716,"17,206716",10
