X,Y,OBJECTID,TITLE,DATE,Groeiplaats,Opmerking,Vegetatie
6.57121223594566,53.0205282818761,87,Punt,,Openbaar groen,,Duizendknoop
6.53638455238035,52.9773641614837,88,Punt,,Nabij particulier terrein,,Duizendknoop
6.55746801209864,52.9961186069683,89,Punt,,Nabij particulier terrein,,Duizendknoop
6.55329084602748,52.9710189031792,90,Punt,,Openbaar groen,,Duizendknoop
6.58434560539949,52.9985407327181,91,Punt,,Nabij particulier terrein,,Duizendknoop
6.53801948619745,53.0072549362453,93,Punt,,Nabij particulier terrein,,Duizendknoop
6.53782185683494,53.0071414250508,94,Punt,,Nabij particulier terrein,,Duizendknoop
6.55478204939912,52.9882511675887,95,Punt,,Nabij particulier terrein,,Duizendknoop
6.59423605667765,52.9904736616874,96,Punt,,Openbaar groen,,Duizendknoop
6.59397554524525,52.9913226134319,97,Punt,,Openbaar groen,,Duizendknoop
6.5814260807261,52.9912036530463,98,Punt,,Openbaar groen,,Duizendknoop
6.56897067470003,52.9846615554855,99,Punt,,Openbaar groen,,Duizendknoop
6.57004681202973,52.9845258816064,100,Punt,,Openbaar groen,,Duizendknoop
6.56972835880076,52.984368798034,101,Punt,,Openbaar groen,,Duizendknoop
6.56241772931413,52.9926581916342,102,Punt,,Nabij particulier terrein,,Duizendknoop
6.53111818411302,52.9819925924049,106,,,Nabij particulier terrein,,Duizendknoop
6.53098103052289,52.9819457539888,107,,,Nabij particulier terrein,,Duizendknoop
6.60523399154119,53.0179196279263,108,,,Openbaar groen,,Duizendknoop
6.60523399154119,53.0179196279263,109,,,Openbaar groen,,Duizendknoop
6.59194265802043,53.0006934577591,110,,,Openbaar groen,,Duizendknoop
6.59194265802043,53.0006934577591,111,,,Openbaar groen,,Duizendknoop
6.59220758169727,53.0005726396114,112,,,Openbaar groen,,Duizendknoop
6.59220758169727,53.0005726396114,113,,,Openbaar groen,,Duizendknoop
6.58101798317681,52.9995045157572,119,,,Openbaar groen,,Duizendknoop
6.58101798317681,52.9995045157572,120,,,Openbaar groen,,Duizendknoop
6.53119635882693,52.9899334778526,121,,,Nabij particulier terrein,,Duizendknoop
6.53087042042407,52.9900137267997,122,,,Nabij particulier terrein,,Duizendknoop
6.58731601937904,52.9918483043818,125,,,Nabij particulier terrein,,Duizendknoop
