FID,arc_length,id,filenaam,links,rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vliegln_krib_ijssel_2003.1,2958.32006836,1,y13da_2,387.6,-397.3,2003-03-09T00:00:00,,,"LINESTRING (194345.4690000005 440735.813000001, 193747.7659999989 443633.125)"
vliegln_krib_ijssel_2003.2,4152.66015625,2,y13db_2,460.2,-415.6,2003-03-09T00:00:00,,,"LINESTRING (194306.4059999995 440766.2809999995, 193564.8440000005 444852.188000001)"
vliegln_krib_ijssel_2003.3,4037.56005859,3,y40_2,410.7,-392.3,2003-03-09T00:00:00,,,"LINESTRING (210347.3280000016 466802.125, 209730.2190000005 462812)"
vliegln_krib_ijssel_2003.4,5843.93017578,4,y41_2,414.6,-413.9,2003-03-09T00:00:00,,,"LINESTRING (209214.9840000011 462323.0309999995, 210316.4690000005 468062.2190000005)"
vliegln_krib_ijssel_2003.5,2674.63989258,5,y42_2,367.7,-434.7,2003-03-09T00:00:00,,,"LINESTRING (210484.563000001 460715.625, 209221.2659999989 463073.125)"
vliegln_krib_ijssel_2003.6,2741.32006836,6,y43_2,391.2,-454.4,2003-03-09T00:00:00,,,"LINESTRING (209481.5159999989 458733.7190000005, 210080.7340000011 461408.75)"
vliegln_krib_ijssel_2003.7,2055.88989258,7,y44_2,418.4,-425.7,2003-03-09T00:00:00,,,"LINESTRING (210222.4530000016 458327.9690000005, 209228.4059999995 460127.563000001)"
vliegln_krib_ijssel_2003.8,2139.44995117,8,y45_2,416.2,-441.3,2003-03-09T00:00:00,,,"LINESTRING (211812.5940000005 458500.811999999, 209706.7809999995 458878.688000001)"
vliegln_krib_ijssel_2003.9,2476.5,9,y46_2,389.5,-398.3,2003-03-09T00:00:00,,,"LINESTRING (212039.7659999989 456371.9690000005, 211632.7030000016 458814.7809999995)"
vliegln_krib_ijssel_2003.10,3624.31005859,10,y47_2,424.6,-404,2003-03-09T00:00:00,,,"LINESTRING (212304.7190000005 456752.438000001, 208703.5780000016 456343.25)"
vliegln_krib_ijssel_2003.11,3753.02001953,11,y48_2,385.7,-429.8,2003-03-09T00:00:00,,,"LINESTRING (212296.0940000005 456389.8440000005, 208572.9059999995 455917.5940000005)"
vliegln_krib_ijssel_2003.12,2197.80004883,12,y49_2,403,-416.1,2003-03-09T00:00:00,,,"LINESTRING (209051.7340000011 456400.3440000005, 208624.9530000016 454244.375)"
vliegln_krib_ijssel_2003.13,6026.85986328,13,y50_2,419.7,-401.1,2003-03-09T00:00:00,,,"LINESTRING (204200.9530000016 450675.0309999995, 208738.2659999989 454641.875)"
vliegln_krib_ijssel_2003.14,1668.54003906,14,y51_2,452.5,-522.7,2003-03-09T00:00:00,,,"LINESTRING (204917.7190000005 451295.125, 204519.0940000005 449674.9059999995)"
vliegln_krib_ijssel_2003.15,2528.26000977,15,y52_2,366.7,-419.1,2003-03-09T00:00:00,,,"LINESTRING (206455.7190000005 449093.2809999995, 204278.8280000016 450379.063000001)"
vliegln_krib_ijssel_2003.16,3269.02001953,16,y53_2,484.5,-431.1,2003-03-09T00:00:00,,,"LINESTRING (206320.0309999995 449682.0309999995, 205541.5469999984 446507.061999999)"
vliegln_krib_ijssel_2003.17,1685.25,17,y54_2,497.8,-448.8,2003-03-09T00:00:00,,,"LINESTRING (205891.5469999984 447231.438000001, 204574.625 446179.875)"
vliegln_krib_ijssel_2003.18,3205.10009766,18,y55_2,456.6,-418,2003-03-09T00:00:00,,,"LINESTRING (203011.7030000016 444862.625, 205713.563000001 446586.75)"
vliegln_krib_ijssel_2003.19,2281.08007813,19,y56_2,398.5,-408.4,2003-03-09T00:00:00,,,"LINESTRING (205163.5469999984 445829.5, 203214.2809999995 444644.7190000005)"
vliegln_krib_ijssel_2003.20,2302.98999023,20,y57_2,460.9,-427.4,2003-03-09T00:00:00,,,"LINESTRING (203271.0159999989 444548.625, 202231.188000001 446603.5)"
vliegln_krib_ijssel_2003.21,1602.14001465,21,y58_2,505.2,-488.2,2003-03-09T00:00:00,,,"LINESTRING (202453.4840000011 445812.5940000005, 202490.125 447414.313000001)"
vliegln_krib_ijssel_2003.22,2243.59008789,22,y59_2,422.2,-417,2003-03-09T00:00:00,,,"LINESTRING (202815.375 446807.2190000005, 200915.061999999 447999.9059999995)"
vliegln_krib_ijssel_2003.23,2200.34008789,23,y60_2,372.4,-439.6,2003-03-09T00:00:00,,,"LINESTRING (201761.1559999995 447904.75, 199919.061999999 446701.3440000005)"
vliegln_krib_ijssel_2003.24,2342.09008789,24,y61_2,470.6,-448,2003-03-09T00:00:00,,,"LINESTRING (200535.125 447617.1559999995, 199711.686999999 445424.5940000005)"
vliegln_krib_ijssel_2003.25,2055.94995117,25,y62_2,416,-430.8,2003-03-09T00:00:00,,,"LINESTRING (198903.1090000011 445239.9690000005, 200406.9690000005 446641.875)"
vliegln_krib_ijssel_2003.26,1901.23999023,26,y63_2,440.7,-389.6,2003-03-09T00:00:00,,,"LINESTRING (199633.75 445426.375, 197755.5159999989 445721.2190000005)"
vliegln_krib_ijssel_2003.27,1974.44995117,27,y64_2,434.4,-433,2003-03-09T00:00:00,,,"LINESTRING (197102.3590000011 444816.0309999995, 198700.9219999984 445974.938000001)"
vliegln_krib_ijssel_2003.28,3032.2800293,28,y65_2,403.8,-385.1,2003-03-09T00:00:00,,,"LINESTRING (197755.5469999984 445804.938000001, 197033.9059999995 442859.7809999995)"
vliegln_krib_ijssel_2003.29,4008.57006836,29,y67_2,375.5,-433.3,2003-03-09T00:00:00,,,"LINESTRING (193639.3590000011 442443.563000001, 197513.7030000016 443472.2190000005)"
vliegln_krib_ijssel_2003.30,2639.95996094,30,y68_2,433.6,-420.2,2003-03-09T00:00:00,,,"LINESTRING (194467.2030000016 443072, 193239.686999999 440734.7809999995)"
vliegln_krib_ijssel_2003.31,1915.22998047,31,y69_2,434.9,-410,2003-03-09T00:00:00,,,"LINESTRING (194112.061999999 439936.188000001, 193282.625 441662.5)"
