CODE;OBJECTI;STD_KPP;STD_D_S;STD_ID_;WK_KPPL;WK_ID_S;WK_ID_I;BRT_KPP;BRT_D_S;SHP_LNG;SHAP_AR;BRT_NAM;WK_NAAM;STD_NAM;AANTBEV;LFT019;LFT2064;LFT65_;GESLM;GESLV;ETNCBS8;ETNCBS9;AANTGEB;ANTSTRF;NATLOOP;VESTTOT;VERTRTT;SALDVEV;BEVSALD;AANTHH;EPHH;MPHHZK;MPHHMK;EENOUD;SRWON3;SRWON4;SRWON5;SRWON6;SRWON7;SRWON8;SRWON9;SRWON10;SRWON11;SRWON12;SRWON1;SRWON2;SRWON13;EIGEND1;EIGEND3;EIGEND2;EIGEND4;AANTOZB;BVOWON;TTPRS;AKANTOR;AWINKLS;ABEDRJF;AHORECA;AHOTELS;AUITGAN;ACULTUR;AATRACT;ASPORTS;ARECRET;AMEDSCH;ABIJZND;ASCHOLN;AKERKEN;ABIJWON;AOVERIG;VESTTTL;WPTOTAL;POTBERP;NW_2014;WPS1;WPS2;WPS3;WPS4;WPS5;WPS6;WPS7;WPS8;WPS9;PARTAUT;PARTMTR
1;1;04 Scheveningen;04;4;07 Scheveningen;07;7;01 Oud Scheveningen;01;2516.749621410000145;256741.563099999999395;Oud Scheveningen;Scheveningen;Scheveningen;2920;498;1901;521;1470;1450;2249;671;0;0;0;0;0;0;0;1638;872;378;263;125;155;311;5;449;272;96;291;0;24;0;411;1192;16;749;334;523;13;1619;142028;197792;12;44;14;12;1;0;0;0;0;3;3;2;1;1;0;107;0;0;2003;0;0;0;0;0;0;0;0;0;0;0;0
2;2;04 Scheveningen;04;4;07 Scheveningen;07;7;02 Vissershaven;02;5708.939859690000048;1179184.982099999906495;Vissershaven;Scheveningen;Scheveningen;3563;699;2094;770;1727;1836;2589;974;0;0;0;0;0;0;0;1835;862;446;313;214;224;392;37;871;302;22;100;0;5;0;127;1826;24;894;374;560;149;1977;207529;229874;69;55;155;35;0;1;1;0;5;7;6;0;0;1;0;370;0;0;2219;0;0;0;0;0;0;0;0;0;0;0;0
3;3;04 Scheveningen;04;4;07 Scheveningen;07;7;03 Scheveningen Badplaats;03;3283.330704559999958;505183.477300000027753;Scheveningen Badplaats;Scheveningen;Scheveningen;5396;969;3518;909;2691;2705;3576;1820;0;0;0;0;0;0;0;2991;1512;767;511;201;396;697;186;867;247;205;541;5;26;0;777;2393;38;1986;865;303;54;3208;338963;259083;36;52;20;40;14;2;4;0;5;8;8;1;1;2;0;168;0;0;3736;0;0;0;0;0;0;0;0;0;0;0;0
4;4;04 Scheveningen;04;4;07 Scheveningen;07;7;04 Visserijbuurt;04;2217.417860019999807;271383.061349999974482;Visserijbuurt;Scheveningen;Scheveningen;3867;750;2256;861;1821;2046;2554;1313;0;0;0;0;0;0;0;2056;1007;501;350;198;256;451;117;677;182;52;297;1;19;0;369;1683;16;915;476;594;83;2068;217385;237702;24;75;25;18;1;0;1;0;1;5;5;0;2;4;0;147;0;0;2427;0;0;0;0;0;0;0;0;0;0;0;0
5;5;04 Scheveningen;04;4;06 Van Stolkpark en Schev. Bos;06;6;05 v Stolkpark/Schev Bosjes;05;4468.195307379999576;1114379.526700000045821;v Stolkpark/Schev Bosjes;Van Stolkpark en Schev. Bos;Scheveningen;758;154;356;248;353;405;444;314;0;0;0;0;0;0;0;346;168;85;79;14;29;48;10;166;8;28;34;37;16;0;115;261;5;245;80;48;8;381;85332;669939;17;3;4;1;1;0;0;1;1;0;2;0;1;0;0;44;0;0;406;0;0;0;0;0;0;0;0;0;0;0;0
6;6;01 Loosduinen;01;1;18 Waldeck;18;18;06 Waldeck-Zuid;06;1921.710662400000047;208190.771149999985937;Waldeck-Zuid;Waldeck;Loosduinen;2043;336;1021;686;913;1130;1340;703;0;0;0;0;0;0;0;1182;620;299;140;123;0;0;24;1055;0;42;56;0;16;0;114;1079;0;542;54;597;0;1193;109625;143363;2;0;0;0;0;0;0;0;2;0;6;1;0;1;0;112;0;0;1095;0;0;0;0;0;0;0;0;0;0;0;0
7;7;04 Scheveningen;04;4;09 Geuzen- en Statenkwartier;09;9;07 Statenkwartier;07;4815.575942569999825;1012293.304450000054203;Statenkwartier;Geuzen- en Statenkwartier;Scheveningen;9669;2428;5563;1678;4642;5027;5238;4431;0;0;0;0;0;0;0;4622;2060;1147;1164;251;707;1514;14;688;128;164;1276;17;39;0;1496;3051;168;3027;1471;125;92;4715;805538;469120;116;187;27;23;7;1;0;0;2;1;20;0;7;2;0;172;0;0;6204;0;0;0;0;0;0;0;0;0;0;0;0
8;8;04 Scheveningen;04;4;09 Geuzen- en Statenkwartier;09;9;08 Geuzenkwartier;08;4640.129441789999873;339317.678550000011455;Geuzenkwartier;Geuzen- en Statenkwartier;Scheveningen;4398;890;2620;888;2108;2290;3201;1197;0;0;0;0;0;0;0;2228;1003;574;482;169;419;482;3;553;171;83;521;2;23;0;629;1628;4;1277;306;668;10;2261;238122;235497;6;16;10;7;0;0;0;0;1;1;4;0;1;2;0;173;0;0;2829;0;0;0;0;0;0;0;0;0;0;0;0
9;9;03 Segbroek;03;3;13 Vogelwijk;13;13;09 Vogelwijk;09;7919.559467050000421;2716602.433050000108778;Vogelwijk;Vogelwijk;Segbroek;5347;1629;2651;1067;2573;2774;3893;1454;0;0;0;0;0;0;0;2099;529;628;825;117;132;150;9;199;0;557;539;68;426;0;1590;490;6;1892;149;44;1;2086;363101;608917;4;8;3;0;0;1;0;0;9;4;10;0;8;3;0;45;0;0;3126;0;0;0;0;0;0;0;0;0;0;0;0
10;10;03 Segbroek;03;3;21 Regentessekwartier;21;21;10 Rond de Energiecentrale;10;3105.377821829999903;515059.494249999988824;Rond de Energiecentrale;Regentessekwartier;Segbroek;5973;1090;4240;643;3015;2958;2402;3571;0;0;0;0;0;0;0;3351;1846;782;453;270;344;863;134;1025;335;52;415;0;2;0;469;2701;130;934;1230;870;266;3300;303919;151265;12;59;83;17;0;0;2;0;4;9;9;1;3;7;0;197;0;0;4520;0;0;0;0;0;0;0;0;0;0;0;0
