Handelsnaam;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
7AM B.V.;;1;;1
Absoluta Food and Facilities B.V.;;1;;1
Achterhoek Antennebouw Aalten B.V.;;;1;1
Amershof B.V.;;1;;1
Amped Concepts B.V.;;1;;1
Antropia B.V.;;1;;1
Arab. Translation Service;;1;;1
Arendshoeve B.V.;;1;;1
Arnage Horeca B.V.;;1;;1
Artikraak;;2;;2
Athlon Car Lease Nederland;;;7;7
Atoomclub Management B.V.;;1;1;1
Autobusbedrijf Doornbos B.V.;;;1;1
Automobielbedrijf Berendsen en de Graaf B.V.;;;1;1
Banketbakkerij Boheemen;;1;;1
Barbarossa Beach B.V.;;1;;1
Bastion Holding B.V.;;1;;1
Beerens & Berens Catering B.V.;;1;;1
Beheer- en Expl.mij. Westergasfabriek B.V.;;1;;1
Belgisch Biercafé Olivier B.V.;;1;;1
Berkman Energie Service BV;;;1;1
Bever Andelst;;;1;1
Bibliotheek Franeker;;1;;1
Bijl Truckwash;;;1;1
Bikeshop Amersfoort B.V.;;;1;1
Bilderberg Kasteel 't Kerckebosch;;1;;1
Bob Tweewielershop;;;1;1
Boerderij Kamps;;1;;1
Boerderij 't Dommeltje;;1;;1
bol.com B.V.;;;1;1
Boomerang Beach;;1;;1
Bouw & Infra Park B.V.;;1;;1
BP Nederland B.V.;;;1;1
BSA Schaderegeling B.V.;;;1;1
Buck Consultants International B.V.;;1;;1
Buitengoed Uylenburg B.V.;;1;;1
Bureau Van Es-RB&B;;2;;2
Café du Midi B.V.;;1;;1
Café Restaurant 'Belvédère' B.V.;;1;;1
Carrosserie Akkermans B.V.;;;1;1
Carwash & Co Ede B.V.;;;1;1
Centrale Wapenhandel Dorhout Mees B.V.;;1;;1
Centrum Quadraat;;1;;1
Century Autogroep;;;1;1
Compass Group Nederland B.V.;;1;;1
Conrad Electronic Benelux B.V.;;;1;1
Coolblue B.V.;;;1;1
CTMabc;;1;;1
C-Track Benelux B.V.;;;1;1
Cyberworks;;;1;1
Daals Traiteurs;;1;;1
De Bankarie;;1;;1
De Bierelier B.V.;;1;;1
De Butler;;1;;1
De Haan Minerale Oliën B.V.;;;1;1
De Hip;;1;;1
De Horeca Academie Zakelijk B.V.;;1;;1
De Meervaart;;2;;2
De Nieuwe Academie B.V.;;1;;1
De Overburen;;1;;1
De Rotterdam B.V.;;1;;1
De Vreugdehoeve;;1;;1
De Winkel van Sinkel B.V.;;1;;1
De Witte Vosch B.V.;;2;;2
De Zilveren Vosch B.V.;;2;;2
Dekxels B.V.;;1;;1
Delta International;1;;;1
Deskbookers;;1;;1
Dorpshuis Ten Post;;1;;1
Eden Den Haag Hotel Exploitatie I B.V.;;;1;1
Eden Hotel Exploitatie Linnaeusstraat B.V.;;1;;1
Egyptian Export Council for Handicrafts (EECH);;1;;1
EHM Hotel Breda B.V.;;1;;1
Ekoboerderij de Lingehof;;1;;1
