Leveranciers;5110 - Verblijf extern;5210 - Wagenpark;5-vervoer en verblijfskosten
7Am;2;;2
Athlon Car Lease;;3;3
Blerick Taxi Centrale;;1;1
Boterwaag;1;;1
Broer Producties;1;;1
Centrum Quadraat;1;;1
Eten bij Werelds;1;;1
Golden Tulip;1;;1
Happy Meat;1;;1
HCT Haagsche City Tax (incl. DirectPay Services);;1;1
HR Via Care;;2;2
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;1;1
Huis van Bewaring Bed & Breakfast;1;;1
Kessels & Smit Learning Company;1;;1
Korzo;1;;1
Leaseplan Nederland;;2;2
Munckhof Reizen;;2;2
Museum Catering;1;;1
NH Hotels (incl. Nhow hotels);1;;1
Nieuwspoort;1;;1
Novotel;1;;1
NS Stations Retailbedrijf (Seats2Meet.com, vh Servex);1;;1
Oud Poelgeest;2;;2
Paul Verhuurbedrijf;1;;1
Prodemos/Huis voor Democratie en Rechtstaat;1;;1
Pulchri Studio;1;;1
Skippi Sneltransport;;1;1
St Theaters Diligentia en Pepijn;2;;2
Wittebrug Autogroep;;1;1
Eindtotaal;4;4;4
